Fecha;Territorio;Medida;Valor;
18/09/2020;Andalucía;Confirmados PCR;47599;
18/09/2020;Andalucía;Confirmados PCR 14 días;11892;
18/09/2020;Andalucía;Confirmados PCR 7 días;5403;
18/09/2020;Andalucía;Total confirmados ;52519;
18/09/2020;Andalucía;Hospitalizados;8673;
18/09/2020;Andalucía;Total UCI;968;
18/09/2020;Andalucía;Fallecidos;1678;
18/09/2020;Andalucía;Curados;22539;
18/09/2020;Almería;Confirmados PCR;6919;
18/09/2020;Almería;Confirmados PCR 14 días;1515;
18/09/2020;Almería;Confirmados PCR 7 días;587;
18/09/2020;Almería;Total confirmados ;7198;
18/09/2020;Almería;Hospitalizados;670;
18/09/2020;Almería;Total UCI;97;
18/09/2020;Almería;Fallecidos;107;
18/09/2020;Almería;Curados;3292;
18/09/2020;Cádiz;Confirmados PCR;5261;
18/09/2020;Cádiz;Confirmados PCR 14 días;1505;
18/09/2020;Cádiz;Confirmados PCR 7 días;629;
18/09/2020;Cádiz;Total confirmados ;5593;
18/09/2020;Cádiz;Hospitalizados;845;
18/09/2020;Cádiz;Total UCI;102;
18/09/2020;Cádiz;Fallecidos;210;
18/09/2020;Cádiz;Curados;2169;
18/09/2020;Córdoba;Confirmados PCR;4819;
18/09/2020;Córdoba;Confirmados PCR 14 días;1291;
18/09/2020;Córdoba;Confirmados PCR 7 días;656;
18/09/2020;Córdoba;Total confirmados ;5228;
18/09/2020;Córdoba;Hospitalizados;778;
18/09/2020;Córdoba;Total UCI;98;
18/09/2020;Córdoba;Fallecidos;135;
18/09/2020;Córdoba;Curados;2271;
18/09/2020;Granada;Confirmados PCR;5863;
18/09/2020;Granada;Confirmados PCR 14 días;1084;
18/09/2020;Granada;Confirmados PCR 7 días;418;
18/09/2020;Granada;Total confirmados ;6670;
18/09/2020;Granada;Hospitalizados;1456;
18/09/2020;Granada;Total UCI;155;
18/09/2020;Granada;Fallecidos;308;
18/09/2020;Granada;Curados;3440;
18/09/2020;Huelva;Confirmados PCR;1072;
18/09/2020;Huelva;Confirmados PCR 14 días;333;
18/09/2020;Huelva;Confirmados PCR 7 días;181;
18/09/2020;Huelva;Total confirmados ;1199;
18/09/2020;Huelva;Hospitalizados;246;
18/09/2020;Huelva;Total UCI;34;
18/09/2020;Huelva;Fallecidos;53;
18/09/2020;Huelva;Curados;546;
18/09/2020;Jaén;Confirmados PCR;3421;
18/09/2020;Jaén;Confirmados PCR 14 días;861;
18/09/2020;Jaén;Confirmados PCR 7 días;474;
18/09/2020;Jaén;Total confirmados ;3918;
18/09/2020;Jaén;Hospitalizados;898;
18/09/2020;Jaén;Total UCI;102;
18/09/2020;Jaén;Fallecidos;200;
18/09/2020;Jaén;Curados;2429;
18/09/2020;Málaga;Confirmados PCR;12520;
18/09/2020;Málaga;Confirmados PCR 14 días;2944;
18/09/2020;Málaga;Confirmados PCR 7 días;1313;
18/09/2020;Málaga;Total confirmados ;14315;
18/09/2020;Málaga;Hospitalizados;2126;
18/09/2020;Málaga;Total UCI;199;
18/09/2020;Málaga;Fallecidos;338;
18/09/2020;Málaga;Curados;4986;
18/09/2020;Sevilla;Confirmados PCR;7724;
18/09/2020;Sevilla;Confirmados PCR 14 días;2359;
18/09/2020;Sevilla;Confirmados PCR 7 días;1145;
18/09/2020;Sevilla;Total confirmados ;8398;
18/09/2020;Sevilla;Hospitalizados;1654;
18/09/2020;Sevilla;Total UCI;181;
18/09/2020;Sevilla;Fallecidos;327;
18/09/2020;Sevilla;Curados;3406;
17/09/2020;Andalucía;Confirmados PCR;45982;
17/09/2020;Andalucía;Confirmados PCR 14 días;11337;
