Lugar de residencia;Edad;Sexo;Medida;Valor;
Andalucía;TOTAL;Ambos sexos;Confirmados PDIA;527516;
Andalucía;TOTAL;Ambos sexos;Tasa_PDIA;6232,164293534423;
Andalucía;TOTAL;Ambos sexos;Confirmados PDIA 14 días;20417;
Andalucía;TOTAL;Ambos sexos;Tasa PDIA 14 dias;241,2099317956087;
Andalucía;TOTAL;Ambos sexos;Confirmados PDIA 7 días;9780;
Andalucía;TOTAL;Ambos sexos;Tasa PDIA 7 dias;115,5425935720749;
Andalucía;TOTAL;Ambos sexos;Fallecidos;9508;
Andalucía;TOTAL;Ambos sexos;Tasa_Mortalidad;112,32913902692107;
Andalucía;TOTAL;Ambos sexos;Total Confirmados;532876;
Andalucía;TOTAL;Ambos sexos;Tasa_total;6295,488250747749;
Andalucía;De 0 a 14 años;Ambos sexos;Confirmados PDIA;65976;
Andalucía;De 0 a 14 años;Ambos sexos;Tasa_PDIA;5046,309079547288;
Andalucía;De 0 a 14 años;Ambos sexos;Confirmados PDIA 14 días;2725;
Andalucía;De 0 a 14 años;Ambos sexos;Tasa PDIA 14 dias;208,42718930772344;
Andalucía;De 0 a 14 años;Ambos sexos;Confirmados PDIA 7 días;1394;
Andalucía;De 0 a 14 años;Ambos sexos;Tasa PDIA 7 dias;106,62293647521705;
Andalucía;De 0 a 14 años;Ambos sexos;Fallecidos;2;
Andalucía;De 0 a 14 años;Ambos sexos;Tasa_Mortalidad;0,15297408389557682;
Andalucía;De 0 a 14 años;Ambos sexos;Total Confirmados;66065;
Andalucía;De 0 a 14 años;Ambos sexos;Tasa_total;5053,1164262806415;
Andalucía;De 15 a 29 años;Ambos sexos;Confirmados PDIA;106676;
Andalucía;De 15 a 29 años;Ambos sexos;Tasa_PDIA;7693,328448497192;
Andalucía;De 15 a 29 años;Ambos sexos;Confirmados PDIA 14 días;5141;
Andalucía;De 15 a 29 años;Ambos sexos;Tasa PDIA 14 dias;370,7619478957222;
Andalucía;De 15 a 29 años;Ambos sexos;Confirmados PDIA 7 días;2438;
