Lugar de residencia;Edad;Sexo;Medida;Valor;
Andalucía;TOTAL;Ambos sexos;Confirmados PDIA;999468;
Andalucía;TOTAL;Ambos sexos;Tasa_PDIA;11807,885982852204;
Andalucía;TOTAL;Ambos sexos;Confirmados PDIA 14 días;128579;
Andalucía;TOTAL;Ambos sexos;Tasa PDIA 14 dias;1519,0543086813718;
Andalucía;TOTAL;Ambos sexos;Confirmados PDIA 7 días;71130;
Andalucía;TOTAL;Ambos sexos;Tasa PDIA 7 dias;840,3419918999681;
Andalucía;TOTAL;Ambos sexos;Fallecidos;11575;
Andalucía;TOTAL;Ambos sexos;Tasa_Mortalidad;136,74903073586574;
Andalucía;TOTAL;Ambos sexos;Total Confirmados;1005047;
Andalucía;TOTAL;Ambos sexos;Tasa_total;11873,797243541223;
Andalucía;De 0 a 4 años;Ambos sexos;Confirmados PDIA;30811;
Andalucía;De 0 a 4 años;Ambos sexos;Tasa_PDIA;8238,389488573315;
Andalucía;De 0 a 4 años;Ambos sexos;Confirmados PDIA 14 días;3568;
Andalucía;De 0 a 4 años;Ambos sexos;Tasa PDIA 14 dias;954,0285513365224;
Andalucía;De 0 a 4 años;Ambos sexos;Confirmados PDIA 7 días;1870;
Andalucía;De 0 a 4 años;Ambos sexos;Tasa PDIA 7 dias;500,00935846392844;
Andalucía;De 0 a 4 años;Ambos sexos;Fallecidos;2;
Andalucía;De 0 a 4 años;Ambos sexos;Tasa_Mortalidad;0,5347693673410999;
Andalucía;De 0 a 4 años;Ambos sexos;Total Confirmados;30849;
Andalucía;De 0 a 4 años;Ambos sexos;Tasa_total;8248,550106552797;
Andalucía;De 5 a 11 años;Ambos sexos;Confirmados PDIA;67846;
Andalucía;De 5 a 11 años;Ambos sexos;Tasa_PDIA;10626,790488735878;
Andalucía;De 5 a 11 años;Ambos sexos;Confirmados PDIA 14 días;9849;
Andalucía;De 5 a 11 años;Ambos sexos;Tasa PDIA 14 dias;1542,659250708364;
Andalucía;De 5 a 11 años;Ambos sexos;Confirmados PDIA 7 días;5067;
Andalucía;De 5 a 11 años;Ambos sexos;Tasa PDIA 7 dias;793,6495505471905;
Andalucía;De 5 a 11 años;Ambos sexos;Fallecidos;1;
Andalucía;De 5 a 11 años;Ambos sexos;Tasa_Mortalidad;0,15663105398602536;
Andalucía;De 5 a 11 años;Ambos sexos;Total Confirmados;67914;
Andalucía;De 5 a 11 años;Ambos sexos;Tasa_total;10637,441400406928;
Andalucía;De 12 a 19 años;Ambos sexos;Confirmados PDIA;114414;
Andalucía;De 12 a 19 años;Ambos sexos;Tasa_PDIA;15196,299144515857;
Andalucía;De 12 a 19 años;Ambos sexos;Confirmados PDIA 14 días;10006;
Andalucía;De 12 a 19 años;Ambos sexos;Tasa PDIA 14 dias;1328,9821983325962;
Andalucía;De 12 a 19 años;Ambos sexos;Confirmados PDIA 7 días;5943;
Andalucía;De 12 a 19 años;Ambos sexos;Tasa PDIA 7 dias;789,3405161593663;
Andalucía;De 12 a 19 años;Ambos sexos;Fallecidos;7;
Andalucía;De 12 a 19 años;Ambos sexos;Tasa_Mortalidad;0,92972970101221;
Andalucía;De 12 a 19 años;Ambos sexos;Total Confirmados;114519;
Andalucía;De 12 a 19 años;Ambos sexos;Tasa_total;15210,24509003104;
Andalucía;De 20 a 29 años;Ambos sexos;Confirmados PDIA;164304;
Andalucía;De 20 a 29 años;Ambos sexos;Tasa_PDIA;17692,36070431756;
Andalucía;De 20 a 29 años;Ambos sexos;Confirmados PDIA 14 días;22309;
Andalucía;De 20 a 29 años;Ambos sexos;Tasa PDIA 14 dias;2402,2475104234863;
Andalucía;De 20 a 29 años;Ambos sexos;Confirmados PDIA 7 días;12332;
Andalucía;De 20 a 29 años;Ambos sexos;Tasa PDIA 7 dias;1327,9177147582784;
Andalucía;De 20 a 29 años;Ambos sexos;Fallecidos;46;
Andalucía;De 20 a 29 años;Ambos sexos;Tasa_Mortalidad;4,953309672306261;
Andalucía;De 20 a 29 años;Ambos sexos;Total Confirmados;164824;
Andalucía;De 20 a 29 años;Ambos sexos;Tasa_total;17748,354639743633;
Andalucía;De 30 a 39 años;Ambos sexos;Confirmados PDIA;154132;
Andalucía;De 30 a 39 años;Ambos sexos;Tasa_PDIA;13517,777756339363;
Andalucía;De 30 a 39 años;Ambos sexos;Confirmados PDIA 14 días;23792;
Andalucía;De 30 a 39 años;Ambos sexos;Tasa PDIA 14 dias;2086,620353844926;
Andalucía;De 30 a 39 años;Ambos sexos;Confirmados PDIA 7 días;12580;
Andalucía;De 30 a 39 años;Ambos sexos;Tasa PDIA 7 dias;1103,298758043425;
Andalucía;De 30 a 39 años;Ambos sexos;Fallecidos;85;
Andalucía;De 30 a 39 años;Ambos sexos;Tasa_Mortalidad;7,45472133813125;
Andalucía;De 30 a 39 años;Ambos sexos;Total Confirmados;154942;
Andalucía;De 30 a 39 años;Ambos sexos;Tasa_total;13588,816865561555;
Andalucía;De 40 a 49 años;Ambos sexos;Confirmados PDIA;167756;
Andalucía;De 40 a 49 años;Ambos sexos;Tasa_PDIA;12111,349679520963;
Andalucía;De 40 a 49 años;Ambos sexos;Confirmados PDIA 14 días;26471;
Andalucía;De 40 a 49 años;Ambos sexos;Tasa PDIA 14 dias;1911,1062338551194;
Andalucía;De 40 a 49 años;Ambos sexos;Confirmados PDIA 7 días;14303;
Andalucía;De 40 a 49 años;Ambos sexos;Tasa PDIA 7 dias;1032,6225855777936;
Andalucía;De 40 a 49 años;Ambos sexos;Fallecidos;196;
Andalucía;De 40 a 49 años;Ambos sexos;Tasa_Mortalidad;14,150459817747853;
Andalucía;De 40 a 49 años;Ambos sexos;Total Confirmados;168893;
Andalucía;De 40 a 49 años;Ambos sexos;Tasa_total;12193,436785708613;
Andalucía;De 50 a 59 años;Ambos sexos;Confirmados PDIA;136627;
Andalucía;De 50 a 59 años;Ambos sexos;Tasa_PDIA;10800,374064936472;
Andalucía;De 50 a 59 años;Ambos sexos;Confirmados PDIA 14 días;19463;
Andalucía;De 50 a 59 años;Ambos sexos;Tasa PDIA 14 dias;1538,5515339271049;
Andalucía;De 50 a 59 años;Ambos sexos;Confirmados PDIA 7 días;11230;
Andalucía;De 50 a 59 años;Ambos sexos;Tasa PDIA 7 dias;887,7322985152026;
Andalucía;De 50 a 59 años;Ambos sexos;Fallecidos;714;
Andalucía;De 50 a 59 años;Ambos sexos;Tasa_Mortalidad;56,44175076935482;
Andalucía;De 50 a 59 años;Ambos sexos;Total Confirmados;137872;
Andalucía;De 50 a 59 años;Ambos sexos;Tasa_total;10898,791403462867;
Andalucía;De 60 a 69 años;Ambos sexos;Confirmados PDIA;81482;
Andalucía;De 60 a 69 años;Ambos sexos;Tasa_PDIA;8893,987536934575;
Andalucía;De 60 a 69 años;Ambos sexos;Confirmados PDIA 14 días;8176;
Andalucía;De 60 a 69 años;Ambos sexos;Tasa PDIA 14 dias;892,4332012220747;
Andalucía;De 60 a 69 años;Ambos sexos;Confirmados PDIA 7 días;4605;
Andalucía;De 60 a 69 años;Ambos sexos;Tasa PDIA 7 dias;502,648592420212;
Andalucía;De 60 a 69 años;Ambos sexos;Fallecidos;1579;
Andalucía;De 60 a 69 años;Ambos sexos;Tasa_Mortalidad;172,35225351390116;
Andalucía;De 60 a 69 años;Ambos sexos;Total Confirmados;82185;
Andalucía;De 60 a 69 años;Ambos sexos;Tasa_total;8970,721947460397;
Andalucía;De 65 años;Ambos sexos;Confirmados PDIA;7472;
Andalucía;De 65 años;Ambos sexos;Tasa_PDIA;8717,870935374349;
Andalucía;De 65 años;Ambos sexos;Confirmados PDIA 14 días;704;
