Fecha diagnóstico;Edad;Medida;Valor;
07/03/2022;TOTAL; ;182;
07/03/2022;De 0 a 4 años; ;3;
07/03/2022;De 5 a 11 años; ;8;
07/03/2022;De 12 a 19 años; ;24;
07/03/2022;De 20 a 29 años; ;18;
07/03/2022;De 30 a 39 años; ;32;
07/03/2022;De 40 a 49 años; ;31;
07/03/2022;De 50 a 59 años; ;26;
07/03/2022;De 60 a 69 años; ;22;
07/03/2022;De 65 años; ;2;
07/03/2022;De 67 años; ;1;
07/03/2022;De 68 años; ;1;
07/03/2022;De 69 años; ;1;
07/03/2022;De 70 a 79 años; ;11;
07/03/2022;De 80 y más años; ;7;
06/03/2022;TOTAL; ;447;
06/03/2022;De 0 a 4 años; ;12;
06/03/2022;De 5 a 11 años; ;22;
06/03/2022;De 12 a 19 años; ;50;
06/03/2022;De 20 a 29 años; ;51;
06/03/2022;De 30 a 39 años; ;56;
06/03/2022;De 40 a 49 años; ;74;
06/03/2022;De 50 a 59 años; ;49;
06/03/2022;De 60 a 69 años; ;44;
06/03/2022;De 65 años; ;8;
06/03/2022;De 66 años; ;2;
06/03/2022;De 67 años; ;6;
06/03/2022;De 68 años; ;5;
06/03/2022;De 69 años; ;1;
06/03/2022;De 70 a 79 años; ;40;
06/03/2022;De 80 y más años; ;49;
05/03/2022;TOTAL; ;734;
05/03/2022;De 0 a 4 años; ;26;
05/03/2022;De 5 a 11 años; ;18;
05/03/2022;De 12 a 19 años; ;92;
05/03/2022;De 20 a 29 años; ;101;
05/03/2022;De 30 a 39 años; ;102;
05/03/2022;De 40 a 49 años; ;118;
05/03/2022;De 50 a 59 años; ;86;
05/03/2022;De 60 a 69 años; ;75;
05/03/2022;De 65 años; ;8;
05/03/2022;De 66 años; ;5;
05/03/2022;De 67 años; ;6;
05/03/2022;De 68 años; ;4;
05/03/2022;De 69 años; ;8;
05/03/2022;De 70 a 79 años; ;63;
05/03/2022;De 80 y más años; ;53;
04/03/2022;TOTAL; ;2253;
04/03/2022;De 0 a 4 años; ;39;
04/03/2022;De 5 a 11 años; ;73;
04/03/2022;De 12 a 19 años; ;190;
04/03/2022;De 20 a 29 años; ;312;
04/03/2022;De 30 a 39 años; ;423;
04/03/2022;De 40 a 49 años; ;465;
04/03/2022;De 50 a 59 años; ;323;
04/03/2022;De 60 a 69 años; ;163;
04/03/2022;De 65 años; ;15;
04/03/2022;De 66 años; ;11;
04/03/2022;De 67 años; ;16;
04/03/2022;De 68 años; ;8;
04/03/2022;De 69 años; ;8;
04/03/2022;De 70 a 79 años; ;136;
04/03/2022;De 80 y más años; ;128;
03/03/2022;TOTAL; ;2685;
03/03/2022;De 0 a 4 años; ;44;
03/03/2022;De 5 a 11 años; ;94;
03/03/2022;De 12 a 19 años; ;282;
03/03/2022;De 20 a 29 años; ;356;
03/03/2022;De 30 a 39 años; ;514;
03/03/2022;De 40 a 49 años; ;586;
03/03/2022;De 50 a 59 años; ;345;
03/03/2022;De 60 a 69 años; ;179;
03/03/2022;De 65 años; ;18;
03/03/2022;De 66 años; ;17;
03/03/2022;De 67 años; ;14;
03/03/2022;De 68 años; ;15;
03/03/2022;De 69 años; ;16;
03/03/2022;De 70 a 79 años; ;145;
03/03/2022;De 80 y más años; ;140;
02/03/2022;TOTAL; ;2526;
02/03/2022;De 0 a 4 años; ;65;
02/03/2022;De 5 a 11 años; ;89;
02/03/2022;De 12 a 19 años; ;284;
02/03/2022;De 20 a 29 años; ;335;
02/03/2022;De 30 a 39 años; ;454;
02/03/2022;De 40 a 49 años; ;561;
02/03/2022;De 50 a 59 años; ;304;
02/03/2022;De 60 a 69 años; ;184;
02/03/2022;De 65 años; ;20;
02/03/2022;De 66 años; ;10;
02/03/2022;De 67 años; ;9;
02/03/2022;De 68 años; ;12;
02/03/2022;De 69 años; ;15;
02/03/2022;De 70 a 79 años; ;131;
02/03/2022;De 80 y más años; ;119;
01/03/2022;TOTAL; ;2082;
01/03/2022;De 0 a 4 años; ;54;
01/03/2022;De 5 a 11 años; ;64;
01/03/2022;De 12 a 19 años; ;201;
01/03/2022;De 20 a 29 años; ;249;
01/03/2022;De 30 a 39 años; ;376;
01/03/2022;De 40 a 49 años; ;458;
01/03/2022;De 50 a 59 años; ;302;
01/03/2022;De 60 a 69 años; ;177;
01/03/2022;De 65 años; ;11;
01/03/2022;De 66 años; ;14;
01/03/2022;De 67 años; ;14;
01/03/2022;De 68 años; ;9;
01/03/2022;De 69 años; ;10;
01/03/2022;De 70 a 79 años; ;100;
01/03/2022;De 80 y más años; ;101;
28/02/2022;TOTAL; ;571;
28/02/2022;De 0 a 4 años; ;15;
28/02/2022;De 5 a 11 años; ;22;
28/02/2022;De 12 a 19 años; ;64;
28/02/2022;De 20 a 29 años; ;73;
28/02/2022;De 30 a 39 años; ;75;
28/02/2022;De 40 a 49 años; ;93;
28/02/2022;De 50 a 59 años; ;57;
28/02/2022;De 60 a 69 años; ;57;
28/02/2022;De 65 años; ;7;
28/02/2022;De 66 años; ;12;
28/02/2022;De 67 años; ;3;
28/02/2022;De 68 años; ;6;
28/02/2022;De 69 años; ;5;
28/02/2022;De 70 a 79 años; ;55;
28/02/2022;De 80 y más años; ;60;
27/02/2022;TOTAL; ;624;
27/02/2022;De 0 a 4 años; ;21;
27/02/2022;De 5 a 11 años; ;29;
27/02/2022;De 12 a 19 años; ;55;
27/02/2022;De 20 a 29 años; ;99;
27/02/2022;De 30 a 39 años; ;89;
27/02/2022;De 40 a 49 años; ;103;
27/02/2022;De 50 a 59 años; ;60;
27/02/2022;De 60 a 69 años; ;47;
27/02/2022;De 65 años; ;4;
27/02/2022;De 66 años; ;5;
27/02/2022;De 67 años; ;3;
27/02/2022;De 68 años; ;4;
27/02/2022;De 69 años; ;1;
27/02/2022;De 70 a 79 años; ;54;
27/02/2022;De 80 y más años; ;67;
26/02/2022;TOTAL; ;765;
26/02/2022;De 0 a 4 años; ;30;
26/02/2022;De 5 a 11 años; ;41;
26/02/2022;De 12 a 19 años; ;71;
26/02/2022;De 20 a 29 años; ;92;
26/02/2022;De 30 a 39 años; ;118;
26/02/2022;De 40 a 49 años; ;142;
26/02/2022;De 50 a 59 años; ;89;
26/02/2022;De 60 a 69 años; ;62;
26/02/2022;De 65 años; ;5;
26/02/2022;De 66 años; ;8;
26/02/2022;De 67 años; ;7;
26/02/2022;De 68 años; ;3;
26/02/2022;De 69 años; ;4;
26/02/2022;De 70 a 79 años; ;61;
26/02/2022;De 80 y más años; ;59;
25/02/2022;TOTAL; ;2107;
25/02/2022;De 0 a 4 años; ;59;
25/02/2022;De 5 a 11 años; ;92;
25/02/2022;De 12 a 19 años; ;169;
25/02/2022;De 20 a 29 años; ;289;
25/02/2022;De 30 a 39 años; ;379;
25/02/2022;De 40 a 49 años; ;446;
25/02/2022;De 50 a 59 años; ;258;
25/02/2022;De 60 a 69 años; ;145;
25/02/2022;De 65 años; ;17;
25/02/2022;De 66 años; ;10;
25/02/2022;De 67 años; ;15;
25/02/2022;De 68 años; ;5;
25/02/2022;De 69 años; ;6;
25/02/2022;De 70 a 79 años; ;128;
25/02/2022;De 80 y más años; ;142;
24/02/2022;TOTAL; ;2302;
24/02/2022;De 0 a 4 años; ;68;
24/02/2022;De 5 a 11 años; ;125;
24/02/2022;De 12 a 19 años; ;220;
24/02/2022;De 20 a 29 años; ;332;
24/02/2022;De 30 a 39 años; ;411;
24/02/2022;De 40 a 49 años; ;444;
24/02/2022;De 50 a 59 años; ;273;
24/02/2022;De 60 a 69 años; ;151;
24/02/2022;De 65 años; ;16;
24/02/2022;De 66 años; ;9;
24/02/2022;De 67 años; ;15;
24/02/2022;De 68 años; ;15;
24/02/2022;De 69 años; ;10;
24/02/2022;De 70 a 79 años; ;129;
24/02/2022;De 80 y más años; ;149;
23/02/2022;TOTAL; ;2458;
23/02/2022;De 0 a 4 años; ;67;
23/02/2022;De 5 a 11 años; ;135;
23/02/2022;De 12 a 19 años; ;252;
23/02/2022;De 20 a 29 años; ;312;
23/02/2022;De 30 a 39 años; ;422;
23/02/2022;De 40 a 49 años; ;504;
23/02/2022;De 50 a 59 años; ;315;
23/02/2022;De 60 a 69 años; ;156;
23/02/2022;De 65 años; ;7;
23/02/2022;De 66 años; ;10;
23/02/2022;De 67 años; ;7;
23/02/2022;De 68 años; ;12;
23/02/2022;De 69 años; ;19;
23/02/2022;De 70 a 79 años; ;159;
23/02/2022;De 80 y más años; ;136;
22/02/2022;TOTAL; ;2925;
22/02/2022;De 0 a 4 años; ;76;
22/02/2022;De 5 a 11 años; ;150;
22/02/2022;De 12 a 19 años; ;260;
22/02/2022;De 20 a 29 años; ;370;
22/02/2022;De 30 a 39 años; ;511;
22/02/2022;De 40 a 49 años; ;650;
22/02/2022;De 50 a 59 años; ;369;
22/02/2022;De 60 a 69 años; ;216;
22/02/2022;De 65 años; ;23;
22/02/2022;De 66 años; ;16;
22/02/2022;De 67 años; ;15;
22/02/2022;De 68 años; ;12;
22/02/2022;De 69 años; ;17;
22/02/2022;De 70 a 79 años; ;157;
22/02/2022;De 80 y más años; ;166;
21/02/2022;TOTAL; ;2792;
21/02/2022;De 0 a 4 años; ;61;
21/02/2022;De 5 a 11 años; ;150;
21/02/2022;De 12 a 19 años; ;202;
21/02/2022;De 20 a 29 años; ;339;
21/02/2022;De 30 a 39 años; ;519;
21/02/2022;De 40 a 49 años; ;623;
21/02/2022;De 50 a 59 años; ;332;
21/02/2022;De 60 a 69 años; ;212;
21/02/2022;De 65 años; ;17;
21/02/2022;De 66 años; ;11;
21/02/2022;De 67 años; ;20;
21/02/2022;De 68 años; ;24;
21/02/2022;De 69 años; ;7;
21/02/2022;De 70 a 79 años; ;164;
21/02/2022;De 80 y más años; ;190;
20/02/2022;TOTAL; ;698;
20/02/2022;De 0 a 4 años; ;34;
20/02/2022;De 5 a 11 años; ;60;
20/02/2022;De 12 a 19 años; ;72;
20/02/2022;De 20 a 29 años; ;77;
20/02/2022;De 30 a 39 años; ;104;
20/02/2022;De 40 a 49 años; ;115;
20/02/2022;De 50 a 59 años; ;78;
20/02/2022;De 60 a 69 años; ;58;
20/02/2022;De 65 años; ;5;
20/02/2022;De 66 años; ;5;
20/02/2022;De 67 años; ;6;
20/02/2022;De 68 años; ;5;
20/02/2022;De 69 años; ;4;
20/02/2022;De 70 a 79 años; ;47;
20/02/2022;De 80 y más años; ;53;
19/02/2022;TOTAL; ;1092;
19/02/2022;De 0 a 4 años; ;55;
19/02/2022;De 5 a 11 años; ;86;
19/02/2022;De 12 a 19 años; ;128;
19/02/2022;De 20 a 29 años; ;120;
19/02/2022;De 30 a 39 años; ;153;
19/02/2022;De 40 a 49 años; ;179;
19/02/2022;De 50 a 59 años; ;110;
19/02/2022;De 60 a 69 años; ;75;
19/02/2022;De 65 años; ;6;
19/02/2022;De 66 años; ;8;
19/02/2022;De 67 años; ;3;
19/02/2022;De 68 años; ;5;
19/02/2022;De 69 años; ;8;
19/02/2022;De 70 a 79 años; ;72;
19/02/2022;De 80 y más años; ;114;
18/02/2022;TOTAL; ;3039;
18/02/2022;De 0 a 4 años; ;105;
18/02/2022;De 5 a 11 años; ;186;
