Fecha,Territorio,nombre.corto,provincia,Edad,Sexo,Casos
2020-04-06,Almería (distrito),Almería,Almería,TOTAL,Ambos sexos,150
2020-04-06,Levante-Alto Almanzora,Levante-Alto Almanzora,Almería,TOTAL,Ambos sexos,67
2020-04-06,Poniente de Almería,Almeria Poniente,Almería,TOTAL,Ambos sexos,153
2020-04-06,Bahía de Cádiz-La Janda,Bahía Cádiz-Janda,Cádiz,TOTAL,Ambos sexos,364
2020-04-06,Campo de Gibraltar,Campo Gibraltar,Cádiz,TOTAL,Ambos sexos,157
2020-04-06,Jerez-Costa Noroeste,Jerez-Costa Noroeste,Cádiz,TOTAL,Ambos sexos,209
2020-04-06,Sierra de Cádiz,Sierra Cádiz,Cádiz,TOTAL,Ambos sexos,115
2020-04-06,Córdoba (distrito),Córdoba,Córdoba,TOTAL,Ambos sexos,458
2020-04-06,Córdoba Norte,Córdoba Norte,Córdoba,TOTAL,Ambos sexos,174
2020-04-06,Córdoba Sur,Córdoba Sur,Córdoba,TOTAL,Ambos sexos,358
2020-04-06,Guadalquivir,Guadalquivir,Córdoba,TOTAL,Ambos sexos,40
2020-04-06,Granada (distrito),Granada,Granada,TOTAL,Ambos sexos,626
2020-04-06,Granada Nordeste,Granada Nordeste,Granada,TOTAL,Ambos sexos,67
2020-04-06,Granada Sur,Granada Sur,Granada,TOTAL,Ambos sexos,109
2020-04-06,Metropolitano de Granada,Granada Metropolitano,Granada,TOTAL,Ambos sexos,666
2020-04-06,Condado-Campiña,Condado-Campiña,Huelva,TOTAL,Ambos sexos,70
2020-04-06,Huelva-Costa,Huelva-Costa,Huelva,TOTAL,Ambos sexos,145
2020-04-06,Sierra de Huelva-Andévalo Central,Sierra-Andévalo,Huelva,TOTAL,Ambos sexos,73
2020-04-06,Jaén (distrito),Jaén,Jaén,TOTAL,Ambos sexos,425
2020-04-06,Jaén Nordeste,Jaén Nordeste,Jaén,TOTAL,Ambos sexos,129
2020-04-06,Jaén Norte,Jaén Norte,Jaén,TOTAL,Ambos sexos,294
2020-04-06,Jaén Sur,Jaén Sur,Jaén,TOTAL,Ambos sexos,79
2020-04-06,Axarquia,Axarquía,Málaga,TOTAL,Ambos sexos,93
2020-04-06,Costa del Sol,Costa Sol,Málaga,TOTAL,Ambos sexos,366
2020-04-06,La Vega,La Vega,Málaga,TOTAL,Ambos sexos,118
2020-04-06,Málaga (distrito),Málaga,Málaga,TOTAL,Ambos sexos,1106
2020-04-06,Serranía,Serranía,Málaga,TOTAL,Ambos sexos,46
2020-04-06,Valle del Guadalhorce,Valle Guadalhorce,Málaga,TOTAL,Ambos sexos,150
2020-04-06,Aljarafe,Aljarafe,Sevilla,TOTAL,Ambos sexos,311
2020-04-06,Sevilla (distrito),Sevilla,Sevilla,TOTAL,Ambos sexos,828
2020-04-06,Sevilla Este,Sevilla Este,Sevilla,TOTAL,Ambos sexos,101
2020-04-06,Sevilla Norte,Sevilla Norte,Sevilla,TOTAL,Ambos sexos,127
2020-04-06,Sevilla Sur,Sevilla Sur,Sevilla,TOTAL,Ambos sexos,295
2020-04-11,Almería (distrito),Almería,Almería,TOTAL,Ambos sexos,162
2020-04-11,Levante-Alto Almanzora,Levante-Alto Almanzora,Almería,TOTAL,Ambos sexos,75
2020-04-11,Poniente de Almería,Almeria Poniente,Almería,TOTAL,Ambos sexos,171
2020-04-11,Bahía de Cádiz-La Janda,Bahía Cádiz-Janda,Cádiz,TOTAL,Ambos sexos,427
2020-04-11,Campo de Gibraltar,Campo Gibraltar,Cádiz,TOTAL,Ambos sexos,182
2020-04-11,Jerez-Costa Noroeste,Jerez-Costa Noroeste,Cádiz,TOTAL,Ambos sexos,240
2020-04-11,Sierra de Cádiz,Sierra Cádiz,Cádiz,TOTAL,Ambos sexos,122
2020-04-11,Córdoba (distrito),Córdoba,Córdoba,TOTAL,Ambos sexos,512
2020-04-11,Córdoba Norte,Córdoba Norte,Córdoba,TOTAL,Ambos sexos,180
2020-04-11,Córdoba Sur,Córdoba Sur,Córdoba,TOTAL,Ambos sexos,410
2020-04-11,Guadalquivir,Guadalquivir,Córdoba,TOTAL,Ambos sexos,49
2020-04-11,Granada (distrito),Granada,Granada,TOTAL,Ambos sexos,745
2020-04-11,Granada Nordeste,Granada Nordeste,Granada,TOTAL,Ambos sexos,82
2020-04-11,Granada Sur,Granada Sur,Granada,TOTAL,Ambos sexos,135
2020-04-11,Metropolitano de Granada,Granada Metropolitano,Granada,TOTAL,Ambos sexos,801
2020-04-11,Condado-Campiña,Condado-Campiña,Huelva,TOTAL,Ambos sexos,75
2020-04-11,Huelva-Costa,Huelva-Costa,Huelva,TOTAL,Ambos sexos,167
2020-04-11,Sierra de Huelva-Andévalo Central,Sierra-Andévalo,Huelva,TOTAL,Ambos sexos,86
2020-04-11,Jaén (distrito),Jaén,Jaén,TOTAL,Ambos sexos,531
2020-04-11,Jaén Nordeste,Jaén Nordeste,Jaén,TOTAL,Ambos sexos,157
2020-04-11,Jaén Norte,Jaén Norte,Jaén,TOTAL,Ambos sexos,356
2020-04-11,Jaén Sur,Jaén Sur,Jaén,TOTAL,Ambos sexos,91
2020-04-11,Axarquia,Axarquía,Málaga,TOTAL,Ambos sexos,110
2020-04-11,Costa del Sol,Costa Sol,Málaga,TOTAL,Ambos sexos,440
2020-04-11,La Vega,La Vega,Málaga,TOTAL,Ambos sexos,153
2020-04-11,Málaga (distrito),Málaga,Málaga,TOTAL,Ambos sexos,1263
2020-04-11,Serranía,Serranía,Málaga,TOTAL,Ambos sexos,53
2020-04-11,Valle del Guadalhorce,Valle Guadalhorce,Málaga,TOTAL,Ambos sexos,172
2020-04-11,Aljarafe,Aljarafe,Sevilla,TOTAL,Ambos sexos,362
2020-04-11,Sevilla (distrito),Sevilla,Sevilla,TOTAL,Ambos sexos,1001
2020-04-11,Sevilla Este,Sevilla Este,Sevilla,TOTAL,Ambos sexos,113
2020-04-11,Sevilla Norte,Sevilla Norte,Sevilla,TOTAL,Ambos sexos,161
2020-04-11,Sevilla Sur,Sevilla Sur,Sevilla,TOTAL,Ambos sexos,394
2020-04-12,Almería (distrito),Almería,Almería,TOTAL,Ambos sexos,164
2020-04-12,Levante-Alto Almanzora,Levante-Alto Almanzora,Almería,TOTAL,Ambos sexos,75
2020-04-12,Poniente de Almería,Almeria Poniente,Almería,TOTAL,Ambos sexos,174
2020-04-12,Bahía de Cádiz-La Janda,Bahía Cádiz-Janda,Cádiz,TOTAL,Ambos sexos,427
2020-04-12,Campo de Gibraltar,Campo Gibraltar,Cádiz,TOTAL,Ambos sexos,182
2020-04-12,Jerez-Costa Noroeste,Jerez-Costa Noroeste,Cádiz,TOTAL,Ambos sexos,243
2020-04-12,Sierra de Cádiz,Sierra Cádiz,Cádiz,TOTAL,Ambos sexos,134
2020-04-12,Córdoba (distrito),Córdoba,Córdoba,TOTAL,Ambos sexos,521
2020-04-12,Córdoba Norte,Córdoba Norte,Córdoba,TOTAL,Ambos sexos,180
2020-04-12,Córdoba Sur,Córdoba Sur,Córdoba,TOTAL,Ambos sexos,417
2020-04-12,Guadalquivir,Guadalquivir,Córdoba,TOTAL,Ambos sexos,49
2020-04-12,Granada (distrito),Granada,Granada,TOTAL,Ambos sexos,765
2020-04-12,Granada Nordeste,Granada Nordeste,Granada,TOTAL,Ambos sexos,89
2020-04-12,Granada Sur,Granada Sur,Granada,TOTAL,Ambos sexos,140
2020-04-12,Metropolitano de Granada,Granada Metropolitano,Granada,TOTAL,Ambos sexos,829
2020-04-12,Condado-Campiña,Condado-Campiña,Huelva,TOTAL,Ambos sexos,76
2020-04-12,Huelva-Costa,Huelva-Costa,Huelva,TOTAL,Ambos sexos,168
2020-04-12,Sierra de Huelva-Andévalo Central,Sierra-Andévalo,Huelva,TOTAL,Ambos sexos,87
2020-04-12,Jaén (distrito),Jaén,Jaén,TOTAL,Ambos sexos,539
2020-04-12,Jaén Nordeste,Jaén Nordeste,Jaén,TOTAL,Ambos sexos,165
2020-04-12,Jaén Norte,Jaén Norte,Jaén,TOTAL,Ambos sexos,370
2020-04-12,Jaén Sur,Jaén Sur,Jaén,TOTAL,Ambos sexos,93
2020-04-12,Axarquia,Axarquía,Málaga,TOTAL,Ambos sexos,110
2020-04-12,Costa del Sol,Costa Sol,Málaga,TOTAL,Ambos sexos,441
2020-04-12,La Vega,La Vega,Málaga,TOTAL,Ambos sexos,153
2020-04-12,Málaga (distrito),Málaga,Málaga,TOTAL,Ambos sexos,1275
2020-04-12,Serranía,Serranía,Málaga,TOTAL,Ambos sexos,53
2020-04-12,Valle del Guadalhorce,Valle Guadalhorce,Málaga,TOTAL,Ambos sexos,173
2020-04-12,Aljarafe,Aljarafe,Sevilla,TOTAL,Ambos sexos,367
2020-04-12,Sevilla (distrito),Sevilla,Sevilla,TOTAL,Ambos sexos,1023
2020-04-12,Sevilla Este,Sevilla Este,Sevilla,TOTAL,Ambos sexos,113
2020-04-12,Sevilla Norte,Sevilla Norte,Sevilla,TOTAL,Ambos sexos,167
2020-04-12,Sevilla Sur,Sevilla Sur,Sevilla,TOTAL,Ambos sexos,396
2020-04-13,Almería (distrito),Almería,Almería,TOTAL,Ambos sexos,164
2020-04-13,Levante-Alto Almanzora,Levante-Alto Almanzora,Almería,TOTAL,Ambos sexos,75
2020-04-13,Poniente de Almería,Almeria Poniente,Almería,TOTAL,Ambos sexos,175
2020-04-13,Bahía de Cádiz-La Janda,Bahía Cádiz-Janda,Cádiz,TOTAL,Ambos sexos,432
2020-04-13,Campo de Gibraltar,Campo Gibraltar,Cádiz,TOTAL,Ambos sexos,186
2020-04-13,Jerez-Costa Noroeste,Jerez-Costa Noroeste,Cádiz,TOTAL,Ambos sexos,247
2020-04-13,Sierra de Cádiz,Sierra Cádiz,Cádiz,TOTAL,Ambos sexos,134
2020-04-13,Córdoba (distrito),Córdoba,Córdoba,TOTAL,Ambos sexos,527
2020-04-13,Córdoba Norte,Córdoba Norte,Córdoba,TOTAL,Ambos sexos,180
2020-04-13,Córdoba Sur,Córdoba Sur,Córdoba,TOTAL,Ambos sexos,431
2020-04-13,Guadalquivir,Guadalquivir,Córdoba,TOTAL,Ambos sexos,50
2020-04-13,Granada (distrito),Granada,Granada,TOTAL,Ambos sexos,786
2020-04-13,Granada Nordeste,Granada Nordeste,Granada,TOTAL,Ambos sexos,89
2020-04-13,Granada Sur,Granada Sur,Granada,TOTAL,Ambos sexos,141
2020-04-13,Metropolitano de Granada,Granada Metropolitano,Granada,TOTAL,Ambos sexos,838
2020-04-13,Condado-Campiña,Condado-Campiña,Huelva,TOTAL,Ambos sexos,77
2020-04-13,Huelva-Costa,Huelva-Costa,Huelva,TOTAL,Ambos sexos,173
2020-04-13,Sierra de Huelva-Andévalo Central,Sierra-Andévalo,Huelva,TOTAL,Ambos sexos,87
2020-04-13,Jaén (distrito),Jaén,Jaén,TOTAL,Ambos sexos,543
2020-04-13,Jaén Nordeste,Jaén Nordeste,Jaén,TOTAL,Ambos sexos,167
2020-04-13,Jaén Norte,Jaén Norte,Jaén,TOTAL,Ambos sexos,373
2020-04-13,Jaén Sur,Jaén Sur,Jaén,TOTAL,Ambos sexos,93
2020-04-13,Axarquia,Axarquía,Málaga,TOTAL,Ambos sexos,111
2020-04-13,Costa del Sol,Costa Sol,Málaga,TOTAL,Ambos sexos,448
2020-04-13,La Vega,La Vega,Málaga,TOTAL,Ambos sexos,153
