Fecha,Territorio,ConfirmadosPCR,ConfirmadosTotal,Hospitalizados,UCI,Defunciones
2020-02-09,Andalucía,0,1,0,0,0
2020-02-09,Granada,0,1,0,0,0
2020-02-20,Andalucía,0,1,0,0,0
2020-02-20,Málaga,0,1,0,0,0
2020-02-26,Andalucía,2,2,1,0,0
2020-02-26,Huelva,1,1,0,0,0
2020-02-26,Sevilla,1,1,1,0,0
2020-02-27,Andalucía,2,2,1,0,0
2020-02-27,Almería,1,1,1,0,0
2020-02-27,Málaga,1,1,0,0,0
2020-02-28,Andalucía,8,12,1,0,0
2020-02-28,Cádiz,1,1,0,0,0
2020-02-28,Jaén,1,1,0,0,0
2020-02-28,Málaga,5,6,1,0,0
2020-02-28,Sevilla,1,4,0,0,0
2020-02-29,Andalucía,6,7,1,0,1
2020-02-29,Granada,1,1,1,0,1
2020-02-29,Málaga,2,3,0,0,0
2020-02-29,Sevilla,3,3,0,0,0
2020-03-01,Andalucía,1,1,0,0,0
2020-03-01,Málaga,1,1,0,0,0
2020-03-02,Andalucía,1,2,1,1,1
2020-03-02,Málaga,1,1,1,1,1
2020-03-02,Sevilla,0,1,0,0,0
2020-03-03,Andalucía,2,2,0,0,0
2020-03-03,Cádiz,1,1,0,0,0
2020-03-03,Málaga,1,1,0,0,0
2020-03-04,Andalucía,1,2,0,0,0
2020-03-04,Huelva,1,2,0,0,0
2020-03-05,Andalucía,8,11,2,0,0
2020-03-05,Granada,1,1,0,0,0
2020-03-05,Huelva,0,1,0,0,0
2020-03-05,Jaén,1,2,1,0,0
2020-03-05,Málaga,2,2,0,0,0
2020-03-05,Sevilla,4,5,1,0,0
2020-03-06,Andalucía,20,26,7,3,3
2020-03-06,Almería,0,1,0,0,0
2020-03-06,Granada,2,3,0,0,0
2020-03-06,Huelva,1,3,0,0,0
2020-03-06,Jaén,1,1,0,0,0
2020-03-06,Málaga,13,13,7,3,3
2020-03-06,Sevilla,3,5,0,0,0
2020-03-07,Andalucía,8,9,1,0,0
2020-03-07,Almería,2,2,0,0,0
2020-03-07,Cádiz,1,1,0,0,0
2020-03-07,Málaga,2,3,0,0,0
2020-03-07,Sevilla,3,3,1,0,0
2020-03-08,Andalucía,32,33,8,1,0
2020-03-08,Almería,5,5,0,0,0
2020-03-08,Cádiz,1,1,0,0,0
2020-03-08,Granada,2,2,0,0,0
2020-03-08,Huelva,6,7,1,0,0
2020-03-08,Jaén,4,4,2,0,0
2020-03-08,Málaga,14,14,5,1,0
2020-03-09,Andalucía,33,37,8,4,2
2020-03-09,Almería,1,1,0,0,0
2020-03-09,Cádiz,3,4,1,1,0
2020-03-09,Córdoba,1,1,0,0,0
2020-03-09,Granada,2,2,1,1,0
2020-03-09,Huelva,4,4,0,0,0
2020-03-09,Jaén,3,4,1,1,1
2020-03-09,Málaga,17,18,5,1,1
2020-03-09,Sevilla,2,3,0,0,0
2020-03-10,Andalucía,29,36,12,2,2
2020-03-10,Almería,2,2,1,0,0
2020-03-10,Cádiz,3,3,1,0,0
2020-03-10,Córdoba,1,1,1,1,0
2020-03-10,Granada,1,1,1,0,0
2020-03-10,Huelva,3,6,0,0,0
2020-03-10,Jaén,1,2,2,0,1
2020-03-10,Málaga,17,19,6,1,1
2020-03-10,Sevilla,1,2,0,0,0
2020-03-11,Andalucía,67,79,33,8,7
2020-03-11,Almería,4,4,2,0,0
2020-03-11,Cádiz,8,9,2,0,0
2020-03-11,Córdoba,1,1,1,0,0
2020-03-11,Granada,9,9,3,0,0
2020-03-11,Huelva,4,6,0,0,0
2020-03-11,Jaén,9,9,6,1,2
2020-03-11,Málaga,26,31,14,5,5
2020-03-11,Sevilla,6,10,5,2,0
2020-03-12,Andalucía,81,89,32,7,9
2020-03-12,Almería,3,4,0,0,0
2020-03-12,Cádiz,4,4,1,1,0
2020-03-12,Córdoba,6,8,1,1,1
2020-03-12,Granada,8,8,3,1,2
2020-03-12,Huelva,2,3,0,0,0
2020-03-12,Jaén,11,11,5,1,1
2020-03-12,Málaga,40,44,20,3,5
2020-03-12,Sevilla,7,7,2,0,0
2020-03-13,Andalucía,160,164,63,12,15
2020-03-13,Almería,6,6,2,1,1
2020-03-13,Cádiz,10,11,3,0,0
2020-03-13,Córdoba,14,15,3,2,1
2020-03-13,Granada,27,27,12,3,2
2020-03-13,Huelva,3,4,1,0,0
2020-03-13,Jaén,14,14,4,1,2
2020-03-13,Málaga,60,60,32,3,9
2020-03-13,Sevilla,26,27,6,2,0
2020-03-14,Andalucía,124,125,45,11,12
2020-03-14,Almería,2,2,0,0,0
2020-03-14,Cádiz,10,10,3,1,1
2020-03-14,Córdoba,22,22,4,2,1
2020-03-14,Granada,22,22,10,2,4
