Fecha diagnóstico;Territorio;Medida;Valor;
10/09/2020;Andalucía;Confirmados PCR;404;
10/09/2020;Andalucía;Total confirmados;404;
10/09/2020;Andalucía;Hospitalizados;15;
10/09/2020;Andalucía;UCI;1;
10/09/2020;Andalucía;Curados;1;
10/09/2020;Andalucía;Fallecidos;0;
10/09/2020;Almería;Confirmados PCR;37;
10/09/2020;Almería;Total confirmados;37;
10/09/2020;Almería;Hospitalizados;1;
10/09/2020;Almería;UCI;0;
10/09/2020;Almería;Curados;0;
10/09/2020;Almería;Fallecidos;0;
10/09/2020;Cádiz;Confirmados PCR;37;
10/09/2020;Cádiz;Total confirmados;37;
10/09/2020;Cádiz;Hospitalizados;0;
10/09/2020;Cádiz;UCI;0;
10/09/2020;Cádiz;Curados;0;
10/09/2020;Cádiz;Fallecidos;0;
10/09/2020;Córdoba;Confirmados PCR;38;
10/09/2020;Córdoba;Total confirmados;38;
10/09/2020;Córdoba;Hospitalizados;1;
10/09/2020;Córdoba;UCI;0;
10/09/2020;Córdoba;Curados;1;
10/09/2020;Córdoba;Fallecidos;0;
10/09/2020;Granada;Confirmados PCR;74;
10/09/2020;Granada;Total confirmados;74;
10/09/2020;Granada;Hospitalizados;3;
10/09/2020;Granada;UCI;1;
10/09/2020;Granada;Curados;0;
10/09/2020;Granada;Fallecidos;0;
10/09/2020;Huelva;Confirmados PCR;16;
10/09/2020;Huelva;Total confirmados;16;
10/09/2020;Huelva;Hospitalizados;1;
10/09/2020;Huelva;UCI;0;
10/09/2020;Huelva;Curados;0;
10/09/2020;Huelva;Fallecidos;0;
10/09/2020;Jaén;Confirmados PCR;27;
10/09/2020;Jaén;Total confirmados;27;
10/09/2020;Jaén;Hospitalizados;0;
10/09/2020;Jaén;UCI;0;
10/09/2020;Jaén;Curados;0;
10/09/2020;Jaén;Fallecidos;0;
10/09/2020;Málaga;Confirmados PCR;97;
10/09/2020;Málaga;Total confirmados;97;
10/09/2020;Málaga;Hospitalizados;3;
10/09/2020;Málaga;UCI;0;
10/09/2020;Málaga;Curados;0;
10/09/2020;Málaga;Fallecidos;0;
10/09/2020;Sevilla;Confirmados PCR;78;
10/09/2020;Sevilla;Total confirmados;78;
10/09/2020;Sevilla;Hospitalizados;6;
10/09/2020;Sevilla;UCI;0;
10/09/2020;Sevilla;Curados;0;
10/09/2020;Sevilla;Fallecidos;0;
09/09/2020;Andalucía;Confirmados PCR;794;
09/09/2020;Andalucía;Total confirmados;794;
09/09/2020;Andalucía;Hospitalizados;41;
09/09/2020;Andalucía;UCI;0;
09/09/2020;Andalucía;Curados;2;
09/09/2020;Andalucía;Fallecidos;0;
09/09/2020;Almería;Confirmados PCR;134;
09/09/2020;Almería;Total confirmados;134;
09/09/2020;Almería;Hospitalizados;4;
09/09/2020;Almería;UCI;0;
09/09/2020;Almería;Curados;0;
09/09/2020;Almería;Fallecidos;0;
09/09/2020;Cádiz;Confirmados PCR;98;
09/09/2020;Cádiz;Total confirmados;98;
09/09/2020;Cádiz;Hospitalizados;0;
09/09/2020;Cádiz;UCI;0;
09/09/2020;Cádiz;Curados;1;
09/09/2020;Cádiz;Fallecidos;0;
09/09/2020;Córdoba;Confirmados PCR;59;
09/09/2020;Córdoba;Total confirmados;59;
09/09/2020;Córdoba;Hospitalizados;1;
09/09/2020;Córdoba;UCI;0;
09/09/2020;Córdoba;Curados;0;
09/09/2020;Córdoba;Fallecidos;0;
09/09/2020;Granada;Confirmados PCR;74;
09/09/2020;Granada;Total confirmados;74;
09/09/2020;Granada;Hospitalizados;5;
09/09/2020;Granada;UCI;0;
09/09/2020;Granada;Curados;0;
09/09/2020;Granada;Fallecidos;0;
09/09/2020;Huelva;Confirmados PCR;12;
09/09/2020;Huelva;Total confirmados;12;
09/09/2020;Huelva;Hospitalizados;0;
09/09/2020;Huelva;UCI;0;
09/09/2020;Huelva;Curados;0;
09/09/2020;Huelva;Fallecidos;0;
09/09/2020;Jaén;Confirmados PCR;101;
09/09/2020;Jaén;Total confirmados;101;
09/09/2020;Jaén;Hospitalizados;7;
09/09/2020;Jaén;UCI;0;
09/09/2020;Jaén;Curados;1;
09/09/2020;Jaén;Fallecidos;0;
09/09/2020;Málaga;Confirmados PCR;193;
09/09/2020;Málaga;Total confirmados;193;
09/09/2020;Málaga;Hospitalizados;16;
09/09/2020;Málaga;UCI;0;
09/09/2020;Málaga;Curados;0;
09/09/2020;Málaga;Fallecidos;0;
09/09/2020;Sevilla;Confirmados PCR;123;
09/09/2020;Sevilla;Total confirmados;123;
09/09/2020;Sevilla;Hospitalizados;8;
09/09/2020;Sevilla;UCI;0;
09/09/2020;Sevilla;Curados;0;
09/09/2020;Sevilla;Fallecidos;0;
08/09/2020;Andalucía;Confirmados PCR;744;
08/09/2020;Andalucía;Total confirmados;745;
08/09/2020;Andalucía;Hospitalizados;42;
08/09/2020;Andalucía;UCI;0;
08/09/2020;Andalucía;Curados;2;
08/09/2020;Andalucía;Fallecidos;2;
08/09/2020;Almería;Confirmados PCR;108;
08/09/2020;Almería;Total confirmados;108;
08/09/2020;Almería;Hospitalizados;2;
08/09/2020;Almería;UCI;0;
08/09/2020;Almería;Curados;0;
08/09/2020;Almería;Fallecidos;0;
08/09/2020;Cádiz;Confirmados PCR;88;
08/09/2020;Cádiz;Total confirmados;88;
08/09/2020;Cádiz;Hospitalizados;6;
08/09/2020;Cádiz;UCI;0;
08/09/2020;Cádiz;Curados;0;
08/09/2020;Cádiz;Fallecidos;0;
08/09/2020;Córdoba;Confirmados PCR;45;
08/09/2020;Córdoba;Total confirmados;46;
08/09/2020;Córdoba;Hospitalizados;2;
08/09/2020;Córdoba;UCI;0;
08/09/2020;Córdoba;Curados;0;
08/09/2020;Córdoba;Fallecidos;0;
08/09/2020;Granada;Confirmados PCR;129;
08/09/2020;Granada;Total confirmados;129;
08/09/2020;Granada;Hospitalizados;2;
08/09/2020;Granada;UCI;0;
08/09/2020;Granada;Curados;0;
08/09/2020;Granada;Fallecidos;0;
08/09/2020;Huelva;Confirmados PCR;32;
08/09/2020;Huelva;Total confirmados;32;
08/09/2020;Huelva;Hospitalizados;0;
08/09/2020;Huelva;UCI;0;
08/09/2020;Huelva;Curados;0;
08/09/2020;Huelva;Fallecidos;0;
08/09/2020;Jaén;Confirmados PCR;66;
08/09/2020;Jaén;Total confirmados;66;
08/09/2020;Jaén;Hospitalizados;3;
08/09/2020;Jaén;UCI;0;
08/09/2020;Jaén;Curados;0;
08/09/2020;Jaén;Fallecidos;0;
08/09/2020;Málaga;Confirmados PCR;129;
08/09/2020;Málaga;Total confirmados;129;
08/09/2020;Málaga;Hospitalizados;9;
08/09/2020;Málaga;UCI;0;
08/09/2020;Málaga;Curados;2;
08/09/2020;Málaga;Fallecidos;0;
08/09/2020;Sevilla;Confirmados PCR;147;
08/09/2020;Sevilla;Total confirmados;147;
08/09/2020;Sevilla;Hospitalizados;18;
08/09/2020;Sevilla;UCI;0;
08/09/2020;Sevilla;Curados;0;
08/09/2020;Sevilla;Fallecidos;2;
07/09/2020;Andalucía;Confirmados PCR;608;
07/09/2020;Andalucía;Total confirmados;608;
07/09/2020;Andalucía;Hospitalizados;54;
07/09/2020;Andalucía;UCI;1;
07/09/2020;Andalucía;Curados;12;
07/09/2020;Andalucía;Fallecidos;1;
07/09/2020;Almería;Confirmados PCR;107;
07/09/2020;Almería;Total confirmados;107;
07/09/2020;Almería;Hospitalizados;7;
07/09/2020;Almería;UCI;0;
07/09/2020;Almería;Curados;0;
07/09/2020;Almería;Fallecidos;1;
07/09/2020;Cádiz;Confirmados PCR;47;
07/09/2020;Cádiz;Total confirmados;47;
07/09/2020;Cádiz;Hospitalizados;2;
07/09/2020;Cádiz;UCI;0;
07/09/2020;Cádiz;Curados;0;
07/09/2020;Cádiz;Fallecidos;0;
07/09/2020;Córdoba;Confirmados PCR;38;
07/09/2020;Córdoba;Total confirmados;38;
07/09/2020;Córdoba;Hospitalizados;3;
07/09/2020;Córdoba;UCI;0;
07/09/2020;Córdoba;Curados;1;
07/09/2020;Córdoba;Fallecidos;0;
07/09/2020;Granada;Confirmados PCR;92;
07/09/2020;Granada;Total confirmados;92;
07/09/2020;Granada;Hospitalizados;8;
07/09/2020;Granada;UCI;0;
07/09/2020;Granada;Curados;0;
07/09/2020;Granada;Fallecidos;0;
07/09/2020;Huelva;Confirmados PCR;13;
07/09/2020;Huelva;Total confirmados;13;
07/09/2020;Huelva;Hospitalizados;1;
07/09/2020;Huelva;UCI;0;
07/09/2020;Huelva;Curados;0;
07/09/2020;Huelva;Fallecidos;0;
07/09/2020;Jaén;Confirmados PCR;20;
07/09/2020;Jaén;Total confirmados;20;
07/09/2020;Jaén;Hospitalizados;0;
07/09/2020;Jaén;UCI;0;
07/09/2020;Jaén;Curados;0;
07/09/2020;Jaén;Fallecidos;0;
07/09/2020;Málaga;Confirmados PCR;197;
07/09/2020;Málaga;Total confirmados;197;
07/09/2020;Málaga;Hospitalizados;18;
07/09/2020;Málaga;UCI;0;
07/09/2020;Málaga;Curados;10;
07/09/2020;Málaga;Fallecidos;0;
07/09/2020;Sevilla;Confirmados PCR;94;
07/09/2020;Sevilla;Total confirmados;94;
07/09/2020;Sevilla;Hospitalizados;15;
07/09/2020;Sevilla;UCI;1;
07/09/2020;Sevilla;Curados;1;
07/09/2020;Sevilla;Fallecidos;0;
06/09/2020;Andalucía;Confirmados PCR;572;
06/09/2020;Andalucía;Total confirmados;573;
06/09/2020;Andalucía;Hospitalizados;39;
06/09/2020;Andalucía;UCI;2;
06/09/2020;Andalucía;Curados;8;
06/09/2020;Andalucía;Fallecidos;2;
