Territorio;Edad;Sexo;Medida;Valor;
Almería;TOTAL;Ambos sexos;Nº casos;196;
Almería;TOTAL;Hombres;Nº casos;102;
Almería;TOTAL;Mujeres;Nº casos;94;
Almería;De 15 a 29 años;Ambos sexos;Nº casos;18;
Almería;De 15 a 29 años;Hombres;Nº casos;13;
Almería;De 15 a 29 años;Mujeres;Nº casos;5;
Almería;De 30 a 44 años;Ambos sexos;Nº casos;38;
Almería;De 30 a 44 años;Hombres;Nº casos;19;
Almería;De 30 a 44 años;Mujeres;Nº casos;19;
Almería;De 45 a 64 años;Ambos sexos;Nº casos;55;
Almería;De 45 a 64 años;Hombres;Nº casos;25;
Almería;De 45 a 64 años;Mujeres;Nº casos;30;
Almería;De 65 a 84 años;Ambos sexos;Nº casos;51;
Almería;De 65 a 84 años;Hombres;Nº casos;29;
Almería;De 65 a 84 años;Mujeres;Nº casos;22;
Almería;De 85 y más años;Ambos sexos;Nº casos;34;
Almería;De 85 y más años;Hombres;Nº casos;16;
Almería;De 85 y más años;Mujeres;Nº casos;18;
Levante-Alto Almanzora;TOTAL;Ambos sexos;Nº casos;81;
Levante-Alto Almanzora;TOTAL;Hombres;Nº casos;45;
Levante-Alto Almanzora;TOTAL;Mujeres;Nº casos;36;
Levante-Alto Almanzora;De 15 a 29 años;Ambos sexos;Nº casos;6;
Levante-Alto Almanzora;De 15 a 29 años;Hombres;Nº casos;2;
Levante-Alto Almanzora;De 15 a 29 años;Mujeres;Nº casos;4;
Levante-Alto Almanzora;De 30 a 44 años;Ambos sexos;Nº casos;10;
Levante-Alto Almanzora;De 30 a 44 años;Hombres;Nº casos;5;
Levante-Alto Almanzora;De 30 a 44 años;Mujeres;Nº casos;5;
Levante-Alto Almanzora;De 45 a 64 años;Ambos sexos;Nº casos;29;
Levante-Alto Almanzora;De 45 a 64 años;Hombres;Nº casos;17;
Levante-Alto Almanzora;De 45 a 64 años;Mujeres;Nº casos;12;
Levante-Alto Almanzora;De 65 a 84 años;Ambos sexos;Nº casos;30;
Levante-Alto Almanzora;De 65 a 84 años;Hombres;Nº casos;16;
Levante-Alto Almanzora;De 65 a 84 años;Mujeres;Nº casos;14;
Levante-Alto Almanzora;De 85 y más años;Ambos sexos;Nº casos;6;
Levante-Alto Almanzora;De 85 y más años;Hombres;Nº casos;5;
Levante-Alto Almanzora;De 85 y más años;Mujeres;Nº casos;1;
Poniente de Almería;TOTAL;Ambos sexos;Nº casos;184;
Poniente de Almería;TOTAL;Hombres;Nº casos;76;
Poniente de Almería;TOTAL;Mujeres;Nº casos;108;
Poniente de Almería;De 15 a 29 años;Ambos sexos;Nº casos;14;
Poniente de Almería;De 15 a 29 años;Hombres;Nº casos;3;
Poniente de Almería;De 15 a 29 años;Mujeres;Nº casos;11;
Poniente de Almería;De 30 a 44 años;Ambos sexos;Nº casos;36;
Poniente de Almería;De 30 a 44 años;Hombres;Nº casos;18;
Poniente de Almería;De 30 a 44 años;Mujeres;Nº casos;18;
Poniente de Almería;De 45 a 64 años;Ambos sexos;Nº casos;54;
Poniente de Almería;De 45 a 64 años;Hombres;Nº casos;25;
Poniente de Almería;De 45 a 64 años;Mujeres;Nº casos;29;
Poniente de Almería;De 65 a 84 años;Ambos sexos;Nº casos;59;
Poniente de Almería;De 65 a 84 años;Hombres;Nº casos;25;
Poniente de Almería;De 65 a 84 años;Mujeres;Nº casos;34;
Poniente de Almería;De 85 y más años;Ambos sexos;Nº casos;21;
Poniente de Almería;De 85 y más años;Hombres;Nº casos;5;
Poniente de Almería;De 85 y más años;Mujeres;Nº casos;16;
Campo de Gibraltar;TOTAL;Ambos sexos;Nº casos;190;
Campo de Gibraltar;TOTAL;Hombres;Nº casos;94;
Campo de Gibraltar;TOTAL;Mujeres;Nº casos;96;
Campo de Gibraltar;De 0 a 14 años;Ambos sexos;Nº casos;1;
Campo de Gibraltar;De 0 a 14 años;Hombres;Nº casos;1;
Campo de Gibraltar;De 0 a 14 años;Mujeres;Nº casos;;
Campo de Gibraltar;De 15 a 29 años;Ambos sexos;Nº casos;8;
Campo de Gibraltar;De 15 a 29 años;Hombres;Nº casos;2;
Campo de Gibraltar;De 15 a 29 años;Mujeres;Nº casos;6;
Campo de Gibraltar;De 30 a 44 años;Ambos sexos;Nº casos;31;
Campo de Gibraltar;De 30 a 44 años;Hombres;Nº casos;11;
Campo de Gibraltar;De 30 a 44 años;Mujeres;Nº casos;20;
Campo de Gibraltar;De 45 a 64 años;Ambos sexos;Nº casos;85;
Campo de Gibraltar;De 45 a 64 años;Hombres;Nº casos;43;
Campo de Gibraltar;De 45 a 64 años;Mujeres;Nº casos;42;
Campo de Gibraltar;De 65 a 84 años;Ambos sexos;Nº casos;49;
Campo de Gibraltar;De 65 a 84 años;Hombres;Nº casos;33;
Campo de Gibraltar;De 65 a 84 años;Mujeres;Nº casos;16;
Campo de Gibraltar;De 85 y más años;Ambos sexos;Nº casos;16;
Campo de Gibraltar;De 85 y más años;Hombres;Nº casos;4;
Campo de Gibraltar;De 85 y más años;Mujeres;Nº casos;12;
Bahía de Cádiz-La Janda;TOTAL;Ambos sexos;Nº casos;494;
Bahía de Cádiz-La Janda;TOTAL;Hombres;Nº casos;201;
Bahía de Cádiz-La Janda;TOTAL;Mujeres;Nº casos;293;
Bahía de Cádiz-La Janda;De 15 a 29 años;Ambos sexos;Nº casos;24;
Bahía de Cádiz-La Janda;De 15 a 29 años;Hombres;Nº casos;8;
Bahía de Cádiz-La Janda;De 15 a 29 años;Mujeres;Nº casos;16;
Bahía de Cádiz-La Janda;De 30 a 44 años;Ambos sexos;Nº casos;73;
Bahía de Cádiz-La Janda;De 30 a 44 años;Hombres;Nº casos;28;
Bahía de Cádiz-La Janda;De 30 a 44 años;Mujeres;Nº casos;45;
Bahía de Cádiz-La Janda;De 45 a 64 años;Ambos sexos;Nº casos;196;
Bahía de Cádiz-La Janda;De 45 a 64 años;Hombres;Nº casos;84;
Bahía de Cádiz-La Janda;De 45 a 64 años;Mujeres;Nº casos;112;
Bahía de Cádiz-La Janda;De 65 a 84 años;Ambos sexos;Nº casos;136;
Bahía de Cádiz-La Janda;De 65 a 84 años;Hombres;Nº casos;66;
Bahía de Cádiz-La Janda;De 65 a 84 años;Mujeres;Nº casos;70;
Bahía de Cádiz-La Janda;De 85 y más años;Ambos sexos;Nº casos;65;
Bahía de Cádiz-La Janda;De 85 y más años;Hombres;Nº casos;15;
Bahía de Cádiz-La Janda;De 85 y más años;Mujeres;Nº casos;50;
Jerez-Costa Noroeste;TOTAL;Ambos sexos;Nº casos;311;
Jerez-Costa Noroeste;TOTAL;Hombres;Nº casos;144;
Jerez-Costa Noroeste;TOTAL;Mujeres;Nº casos;167;
Jerez-Costa Noroeste;De 15 a 29 años;Ambos sexos;Nº casos;14;
Jerez-Costa Noroeste;De 15 a 29 años;Hombres;Nº casos;7;
Jerez-Costa Noroeste;De 15 a 29 años;Mujeres;Nº casos;7;
Jerez-Costa Noroeste;De 30 a 44 años;Ambos sexos;Nº casos;44;
Jerez-Costa Noroeste;De 30 a 44 años;Hombres;Nº casos;22;
Jerez-Costa Noroeste;De 30 a 44 años;Mujeres;Nº casos;22;
Jerez-Costa Noroeste;De 45 a 64 años;Ambos sexos;Nº casos;135;
Jerez-Costa Noroeste;De 45 a 64 años;Hombres;Nº casos;63;
Jerez-Costa Noroeste;De 45 a 64 años;Mujeres;Nº casos;72;
Jerez-Costa Noroeste;De 65 a 84 años;Ambos sexos;Nº casos;86;
Jerez-Costa Noroeste;De 65 a 84 años;Hombres;Nº casos;41;
Jerez-Costa Noroeste;De 65 a 84 años;Mujeres;Nº casos;45;
Jerez-Costa Noroeste;De 85 y más años;Ambos sexos;Nº casos;32;
Jerez-Costa Noroeste;De 85 y más años;Hombres;Nº casos;11;
Jerez-Costa Noroeste;De 85 y más años;Mujeres;Nº casos;21;
Sierra de Cádiz;TOTAL;Ambos sexos;Nº casos;151;
Sierra de Cádiz;TOTAL;Hombres;Nº casos;64;
Sierra de Cádiz;TOTAL;Mujeres;Nº casos;87;
Sierra de Cádiz;De 15 a 29 años;Ambos sexos;Nº casos;7;
Sierra de Cádiz;De 15 a 29 años;Hombres;Nº casos;3;
Sierra de Cádiz;De 15 a 29 años;Mujeres;Nº casos;4;
Sierra de Cádiz;De 30 a 44 años;Ambos sexos;Nº casos;19;
Sierra de Cádiz;De 30 a 44 años;Hombres;Nº casos;4;
Sierra de Cádiz;De 30 a 44 años;Mujeres;Nº casos;15;
Sierra de Cádiz;De 45 a 64 años;Ambos sexos;Nº casos;33;
Sierra de Cádiz;De 45 a 64 años;Hombres;Nº casos;13;
Sierra de Cádiz;De 45 a 64 años;Mujeres;Nº casos;20;
Sierra de Cádiz;De 65 a 84 años;Ambos sexos;Nº casos;54;
Sierra de Cádiz;De 65 a 84 años;Hombres;Nº casos;30;
Sierra de Cádiz;De 65 a 84 años;Mujeres;Nº casos;24;
Sierra de Cádiz;De 85 y más años;Ambos sexos;Nº casos;38;
Sierra de Cádiz;De 85 y más años;Hombres;Nº casos;14;
Sierra de Cádiz;De 85 y más años;Mujeres;Nº casos;24;
Córdoba;TOTAL;Ambos sexos;Nº casos;574;
Córdoba;TOTAL;Hombres;Nº casos;239;
Córdoba;TOTAL;Mujeres;Nº casos;335;
Córdoba;De 0 a 14 años;Ambos sexos;Nº casos;1;
Córdoba;De 0 a 14 años;Hombres;Nº casos;;
Córdoba;De 0 a 14 años;Mujeres;Nº casos;1;
Córdoba;De 15 a 29 años;Ambos sexos;Nº casos;40;
Córdoba;De 15 a 29 años;Hombres;Nº casos;14;
Córdoba;De 15 a 29 años;Mujeres;Nº casos;26;
Córdoba;De 30 a 44 años;Ambos sexos;Nº casos;97;
Córdoba;De 30 a 44 años;Hombres;Nº casos;53;
Córdoba;De 30 a 44 años;Mujeres;Nº casos;44;
Córdoba;De 45 a 64 años;Ambos sexos;Nº casos;233;
Córdoba;De 45 a 64 años;Hombres;Nº casos;93;
Córdoba;De 45 a 64 años;Mujeres;Nº casos;140;
Córdoba;De 65 a 84 años;Ambos sexos;Nº casos;133;
Córdoba;De 65 a 84 años;Hombres;Nº casos;59;
Córdoba;De 65 a 84 años;Mujeres;Nº casos;74;
Córdoba;De 85 y más años;Ambos sexos;Nº casos;70;
Córdoba;De 85 y más años;Hombres;Nº casos;20;
Córdoba;De 85 y más años;Mujeres;Nº casos;50;
Córdoba Sur;TOTAL;Ambos sexos;Nº casos;462;
Córdoba Sur;TOTAL;Hombres;Nº casos;187;
Córdoba Sur;TOTAL;Mujeres;Nº casos;275;
Córdoba Sur;De 0 a 14 años;Ambos sexos;Nº casos;1;
Córdoba Sur;De 0 a 14 años;Hombres;Nº casos;1;
Córdoba Sur;De 0 a 14 años;Mujeres;Nº casos;;
Córdoba Sur;De 15 a 29 años;Ambos sexos;Nº casos;16;
