Edad;Sexo;Medida;Valor;
De 100 y más años;Hombres;Confirmados PDIA;36;
De 100 y más años;Hombres;% pirámide;0,00;
De 100 y más años;Mujeres;Confirmados PDIA;157;
De 100 y más años;Mujeres;% pirámide;0,02;
De 95 a 99 años;Hombres;Confirmados PDIA;318;
De 95 a 99 años;Hombres;% pirámide;0,04;
De 95 a 99 años;Mujeres;Confirmados PDIA;1117;
De 95 a 99 años;Mujeres;% pirámide;0,1414683323707914;
De 90 a 94 años;Hombres;Confirmados PDIA;1727;
De 90 a 94 años;Hombres;% pirámide;0,2187249865750732;
De 90 a 94 años;Mujeres;Confirmados PDIA;4032;
De 90 a 94 años;Mujeres;% pirámide;0,5106538192650233;
De 85 a 89 años;Hombres;Confirmados PDIA;4213;
De 85 a 89 años;Hombres;% pirámide;0,53357751502072;
De 85 a 89 años;Mujeres;Confirmados PDIA;7496;
De 85 a 89 años;Mujeres;% pirámide;0,9493702949431088;
De 80 a 84 años;Hombres;Confirmados PDIA;5672;
De 80 a 84 años;Hombres;% pirámide;0,7183602338470267;
De 80 a 84 años;Mujeres;Confirmados PDIA;8161;
De 80 a 84 años;Mujeres;% pirámide;1,0335927130510552;
De 75 a 79 años;Hombres;Confirmados PDIA;7930;
De 75 a 79 años;Hombres;% pirámide;1,0043365046556632;
De 75 a 79 años;Mujeres;Confirmados PDIA;9320;
De 75 a 79 años;Mujeres;% pirámide;1,1803803560391906;
De 70 a 74 años;Hombres;Confirmados PDIA;10183;
De 70 a 74 años;Hombres;% pirámide;1,2896795242003303;
De 70 a 74 años;Mujeres;Confirmados PDIA;10880;
De 70 a 74 años;Mujeres;% pirámide;1,377954750397682;
De 65 a 69 años;Hombres;Confirmados PDIA;13678;
De 65 a 69 años;Hombres;% pirámide;1,7323221577150267;
De 65 a 69 años;Mujeres;Confirmados PDIA;13602;
De 65 a 69 años;Mujeres;% pirámide;1,7226967385026901;
De 60 a 64 años;Hombres;Confirmados PDIA;18733;
De 60 a 64 años;Hombres;% pirámide;2,3725391855882143;
De 60 a 64 años;Mujeres;Confirmados PDIA;19621;
De 60 a 64 años;Mujeres;% pirámide;2,485004610069202;
De 55 a 59 años;Hombres;Confirmados PDIA;22986;
De 55 a 59 años;Hombres;% pirámide;2,9111827107206905;
De 55 a 59 años;Mujeres;Confirmados PDIA;25776;
De 55 a 59 años;Mujeres;% pirámide;3,2645369160156847;
De 50 a 54 años;Hombres;Confirmados PDIA;26813;
De 50 a 54 años;Hombres;% pirámide;3,3958732281629636;
De 50 a 54 años;Mujeres;Confirmados PDIA;30527;
De 50 a 54 años;Mujeres;% pirámide;3,866252267039525;
De 45 a 49 años;Hombres;Confirmados PDIA;28970;
De 45 a 49 años;Hombres;% pirámide;3,6690578234394158;
De 45 a 49 años;Mujeres;Confirmados PDIA;33005;
De 45 a 49 años;Mujeres;% pirámide;4,18009159346282;
De 40 a 44 años;Hombres;Confirmados PDIA;29562;
De 40 a 44 años;Hombres;% pirámide;3,7440347730934067;
De 40 a 44 años;Mujeres;Confirmados PDIA;33477;
De 40 a 44 años;Mujeres;% pirámide;4,239870512781543;
De 35 a 39 años;Hombres;Confirmados PDIA;27251;
De 35 a 39 años;Hombres;% pirámide;3,4513460388866934;
De 35 a 39 años;Mujeres;Confirmados PDIA;30479;
De 35 a 39 años;Mujeres;% pirámide;3,8601730549054176;
De 30 a 34 años;Hombres;Confirmados PDIA;27976;
De 30 a 34 años;Hombres;% pirámide;3,5431674721622746;
De 30 a 34 años;Mujeres;Confirmados PDIA;30548;
De 30 a 34 años;Mujeres;% pirámide;3,868911922348197;
De 25 a 29 años;Hombres;Confirmados PDIA;31244;
De 25 a 29 años;Hombres;% pirámide;3,957060498292755;
De 25 a 29 años;Mujeres;Confirmados PDIA;32610;
De 25 a 29 años;Mujeres;% pirámide;4,130064743609228;
De 20 a 24 años;Hombres;Confirmados PDIA;33738;
De 20 a 24 años;Hombres;% pirámide;4,272926228760753;
De 20 a 24 años;Mujeres;Confirmados PDIA;34735;
De 20 a 24 años;Mujeres;% pirámide;4,399196530796275;
De 15 a 19 años;Hombres;Confirmados PDIA;33643;
De 15 a 19 años;Hombres;% pirámide;4,260894454745332;
De 15 a 19 años;Mujeres;Confirmados PDIA;35847;
De 15 a 19 años;Mujeres;% pirámide;4,540031611903098;
De 10 a 14 años;Hombres;Confirmados PDIA;23546;
De 10 a 14 años;Hombres;% pirámide;2,982106852285277;
De 10 a 14 años;Mujeres;Confirmados PDIA;22996;
De 10 a 14 años;Mujeres;% pirámide;2,91244921324863;
De 5 a 9 años;Hombres;Confirmados PDIA;16444;
De 5 a 9 años;Hombres;% pirámide;2,082636756942967;
De 5 a 9 años;Mujeres;Confirmados PDIA;16194;
De 5 a 9 años;Mujeres;% pirámide;2,0509741937444907;
De 0 a 4 años;Hombres;Confirmados PDIA;12317;
De 0 a 4 años;Hombres;% pirámide;1,5599511636625227;
De 0 a 4 años;Mujeres;Confirmados PDIA;11731;
De 0 a 4 años;Mujeres;% pirámide;1,4857341155252946;
