Edad;Sexo;Medida;Valor;
De 100 y más años;Hombres;Recuperados;4;
De 100 y más años;Hombres;% pirámide;0,02;
De 100 y más años;Mujeres;Recuperados;12;
De 100 y más años;Mujeres;% pirámide;0,06;
De 95 a 99 años;Hombres;Recuperados;11;
De 95 a 99 años;Hombres;% pirámide;0,05;
De 95 a 99 años;Mujeres;Recuperados;103;
De 95 a 99 años;Mujeres;% pirámide;0,5125653147549142;
De 90 a 94 años;Hombres;Recuperados;109;
De 90 a 94 años;Hombres;% pirámide;0,5424234884299577;
De 90 a 94 años;Mujeres;Recuperados;314;
De 90 a 94 años;Mujeres;% pirámide;1,562577755660612;
De 85 a 89 años;Hombres;Recuperados;239;
De 85 a 89 años;Hombres;% pirámide;1,1893505847225678;
De 85 a 89 años;Mujeres;Recuperados;589;
De 85 a 89 años;Mujeres;% pirámide;2,931077382433441;
De 80 a 84 años;Hombres;Recuperados;288;
De 80 a 84 años;Hombres;% pirámide;1,43319233640209;
De 80 a 84 años;Mujeres;Recuperados;508;
De 80 a 84 años;Mujeres;% pirámide;2,5279920378203533;
De 75 a 79 años;Hombres;Recuperados;355;
De 75 a 79 años;Hombres;% pirámide;1,766608609106743;
De 75 a 79 años;Mujeres;Recuperados;371;
De 75 a 79 años;Mujeres;% pirámide;1,846230405573526;
De 70 a 74 años;Hombres;Recuperados;438;
De 70 a 74 años;Hombres;% pirámide;2,179646678278179;
De 70 a 74 años;Mujeres;Recuperados;427;
De 70 a 74 años;Mujeres;% pirámide;2,1249066932072656;
De 65 a 69 años;Hombres;Recuperados;486;
De 65 a 69 años;Hombres;% pirámide;2,418512067678527;
De 65 a 69 años;Mujeres;Recuperados;462;
De 65 a 69 años;Mujeres;% pirámide;2,299079372978353;
De 60 a 64 años;Hombres;Recuperados;802;
De 60 a 64 años;Hombres;% pirámide;3,9910425478974867;
De 60 a 64 años;Mujeres;Recuperados;820;
De 60 a 64 años;Mujeres;% pirámide;4,080617068922618;
De 55 a 59 años;Hombres;Recuperados;874;
De 55 a 59 años;Hombres;% pirámide;4,349340631998009;
De 55 a 59 años;Mujeres;Recuperados;1144;
De 55 a 59 años;Mujeres;% pirámide;5,692958447374969;
De 50 a 54 años;Hombres;Recuperados;935;
De 50 a 54 años;Hombres;% pirámide;4,652898731027618;
De 50 a 54 años;Mujeres;Recuperados;1100;
De 50 a 54 años;Mujeres;% pirámide;5,473998507091316;
De 45 a 49 años;Hombres;Recuperados;902;
De 45 a 49 años;Hombres;% pirámide;4,488678775814879;
De 45 a 49 años;Mujeres;Recuperados;1035;
De 45 a 49 años;Mujeres;% pirámide;5,150534958945011;
De 40 a 44 años;Hombres;Recuperados;748;
De 40 a 44 años;Hombres;% pirámide;3,722318984822095;
De 40 a 44 años;Mujeres;Recuperados;965;
De 40 a 44 años;Mujeres;% pirámide;4,802189599402837;
De 35 a 39 años;Hombres;Recuperados;691;
De 35 a 39 años;Hombres;% pirámide;3,4386663349091817;
De 35 a 39 años;Mujeres;Recuperados;838;
De 35 a 39 años;Mujeres;% pirámide;4,170191589947748;
De 30 a 34 años;Hombres;Recuperados;619;
De 30 a 34 años;Hombres;% pirámide;3,0803682508086587;
De 30 a 34 años;Mujeres;Recuperados;780;
De 30 a 34 años;Mujeres;% pirámide;3,881562577755661;
De 25 a 29 años;Hombres;Recuperados;568;
De 25 a 29 años;Hombres;% pirámide;2,8265737745707886;
De 25 a 29 años;Mujeres;Recuperados;760;
De 25 a 29 años;Mujeres;% pirámide;3,7820353321721822;
De 20 a 24 años;Hombres;Recuperados;388;
De 20 a 24 años;Hombres;% pirámide;1,9308285643194825;
De 20 a 24 años;Mujeres;Recuperados;459;
De 20 a 24 años;Mujeres;% pirámide;2,284150286140831;
De 15 a 19 años;Hombres;Recuperados;188;
De 15 a 19 años;Hombres;% pirámide;0,9355561084846977;
De 15 a 19 años;Mujeres;Recuperados;202;
De 15 a 19 años;Mujeres;% pirámide;1,0052251803931327;
De 10 a 14 años;Hombres;Recuperados;90;
De 10 a 14 años;Hombres;% pirámide;0,4478726051256532;
De 10 a 14 años;Mujeres;Recuperados;98;
De 10 a 14 años;Mujeres;% pirámide;0,4876835033590445;
De 5 a 9 años;Hombres;Recuperados;89;
De 5 a 9 años;Hombres;% pirámide;0,4428962428464792;
De 5 a 9 años;Mujeres;Recuperados;86;
De 5 a 9 años;Mujeres;% pirámide;0,4279671560089574;
De 0 a 4 años;Hombres;Recuperados;96;
De 0 a 4 años;Hombres;% pirámide;0,4777307788006967;
De 0 a 4 años;Mujeres;Recuperados;83;
De 0 a 4 años;Mujeres;% pirámide;0,4130380691714357;
