Edad;Sexo;Medida;Valor;
De 100 y más años;Hombres;Fallecidos;1;
De 100 y más años;Hombres;% pirámide;0,04;
De 100 y más años;Mujeres;Fallecidos;8;
De 100 y más años;Mujeres;% pirámide;0,3522677234698371;
De 95 a 99 años;Hombres;Fallecidos;30;
De 95 a 99 años;Hombres;% pirámide;1,321003963011889;
De 95 a 99 años;Mujeres;Fallecidos;67;
De 95 a 99 años;Mujeres;% pirámide;2,9502421840598854;
De 90 a 94 años;Hombres;Fallecidos;101;
De 90 a 94 años;Hombres;% pirámide;4,447380008806693;
De 90 a 94 años;Mujeres;Fallecidos;184;
De 90 a 94 años;Mujeres;% pirámide;8,102157639806252;
De 85 a 89 años;Hombres;Fallecidos;213;
De 85 a 89 años;Hombres;% pirámide;9,379128137384413;
De 85 a 89 años;Mujeres;Fallecidos;248;
De 85 a 89 años;Mujeres;% pirámide;10,920299427564949;
De 80 a 84 años;Hombres;Fallecidos;229;
De 80 a 84 años;Hombres;% pirámide;10,083663584324086;
De 80 a 84 años;Mujeres;Fallecidos;191;
De 80 a 84 años;Mujeres;% pirámide;8,410391897842361;
De 75 a 79 años;Hombres;Fallecidos;212;
De 75 a 79 años;Hombres;% pirámide;9,335094671950682;
De 75 a 79 años;Mujeres;Fallecidos;120;
De 75 a 79 años;Mujeres;% pirámide;5,284015852047556;
De 70 a 74 años;Hombres;Fallecidos;138;
De 70 a 74 años;Hombres;% pirámide;6,07661822985469;
De 70 a 74 años;Mujeres;Fallecidos;75;
De 70 a 74 años;Mujeres;% pirámide;3,302509907529723;
De 65 a 69 años;Hombres;Fallecidos;97;
De 65 a 69 años;Hombres;% pirámide;4,271246147071774;
De 65 a 69 años;Mujeres;Fallecidos;33;
De 65 a 69 años;Mujeres;% pirámide;1,453104359313078;
De 60 a 64 años;Hombres;Fallecidos;90;
De 60 a 64 años;Hombres;% pirámide;3,963011889035667;
De 60 a 64 años;Mujeres;Fallecidos;45;
De 60 a 64 años;Mujeres;% pirámide;1,9815059445178336;
De 55 a 59 años;Hombres;Fallecidos;53;
De 55 a 59 años;Hombres;% pirámide;2,3337736679876704;
De 55 a 59 años;Mujeres;Fallecidos;19;
De 55 a 59 años;Mujeres;% pirámide;0,836635843240863;
De 50 a 54 años;Hombres;Fallecidos;43;
De 50 a 54 años;Hombres;% pirámide;1,893439013650374;
De 50 a 54 años;Mujeres;Fallecidos;8;
De 50 a 54 años;Mujeres;% pirámide;0,3522677234698371;
De 45 a 49 años;Hombres;Fallecidos;22;
De 45 a 49 años;Hombres;% pirámide;0,9687362395420519;
De 45 a 49 años;Mujeres;Fallecidos;10;
De 45 a 49 años;Mujeres;% pirámide;0,44033465433729635;
De 40 a 44 años;Hombres;Fallecidos;4;
De 40 a 44 años;Hombres;% pirámide;0,17613386173491855;
De 40 a 44 años;Mujeres;Fallecidos;6;
De 40 a 44 años;Mujeres;% pirámide;0,26420079260237783;
De 35 a 39 años;Hombres;Fallecidos;6;
De 35 a 39 años;Hombres;% pirámide;0,26420079260237783;
De 35 a 39 años;Mujeres;Fallecidos;2;
De 35 a 39 años;Mujeres;% pirámide;0,09;
De 30 a 34 años;Hombres;Fallecidos;4;
De 30 a 34 años;Hombres;% pirámide;0,17613386173491855;
De 30 a 34 años;Mujeres;Fallecidos;2;
De 30 a 34 años;Mujeres;% pirámide;0,09;
De 25 a 29 años;Hombres;Fallecidos;1;
De 25 a 29 años;Hombres;% pirámide;0,04;
De 25 a 29 años;Mujeres;Fallecidos;2;
De 25 a 29 años;Mujeres;% pirámide;0,09;
De 20 a 24 años;Hombres;Fallecidos;4;
De 20 a 24 años;Hombres;% pirámide;0,17613386173491855;
De 20 a 24 años;Mujeres;Fallecidos;1;
De 20 a 24 años;Mujeres;% pirámide;0,04;
De 15 a 19 años;Hombres;Fallecidos;2;
De 15 a 19 años;Hombres;% pirámide;0,09;
De 15 a 19 años;Mujeres;Fallecidos;0;
De 15 a 19 años;Mujeres;% pirámide;0;
De 10 a 14 años;Hombres;Fallecidos;0;
De 10 a 14 años;Hombres;% pirámide;0;
De 10 a 14 años;Mujeres;Fallecidos;0;
De 10 a 14 años;Mujeres;% pirámide;0;
De 5 a 9 años;Hombres;Fallecidos;0;
De 5 a 9 años;Hombres;% pirámide;0;
De 5 a 9 años;Mujeres;Fallecidos;0;
De 5 a 9 años;Mujeres;% pirámide;0;
De 0 a 4 años;Hombres;Fallecidos;0;
De 0 a 4 años;Hombres;% pirámide;0;
De 0 a 4 años;Mujeres;Fallecidos;0;
De 0 a 4 años;Mujeres;% pirámide;0;
