Edad;Sexo;Medida;Valor;
De 100 y más años;Hombres;Hospitalizados;0;
De 100 y más años;Hombres;% pirámide;0;
De 100 y más años;Mujeres;Hospitalizados;3;
De 100 y más años;Mujeres;% pirámide;0,04;
De 95 a 99 años;Hombres;Hospitalizados;19;
De 95 a 99 años;Hombres;% pirámide;0,26181617748380875;
De 95 a 99 años;Mujeres;Hospitalizados;48;
De 95 a 99 años;Mujeres;% pirámide;0,6614303431169904;
De 90 a 94 años;Hombres;Hospitalizados;104;
De 90 a 94 años;Hombres;% pirámide;1,4330990767534795;
De 90 a 94 años;Mujeres;Hospitalizados;136;
De 90 a 94 años;Mujeres;% pirámide;1,874052638831473;
De 85 a 89 años;Hombres;Hospitalizados;242;
De 85 a 89 años;Hombres;% pirámide;3,334711313214827;
De 85 a 89 años;Mujeres;Hospitalizados;304;
De 85 a 89 años;Mujeres;% pirámide;4,18905883974094;
De 80 a 84 años;Hombres;Hospitalizados;350;
De 80 a 84 años;Hombres;% pirámide;4,822929585228056;
De 80 a 84 años;Mujeres;Hospitalizados;325;
De 80 a 84 años;Mujeres;% pirámide;4,478434614854623;
De 75 a 79 años;Hombres;Hospitalizados;420;
De 75 a 79 años;Hombres;% pirámide;5,787515502273667;
De 75 a 79 años;Mujeres;Hospitalizados;308;
De 75 a 79 años;Mujeres;% pirámide;4,244178035000689;
De 70 a 74 años;Hombres;Hospitalizados;446;
De 70 a 74 años;Hombres;% pirámide;6,145790271462037;
De 70 a 74 años;Mujeres;Hospitalizados;315;
De 70 a 74 años;Mujeres;% pirámide;4,34063662670525;
De 65 a 69 años;Hombres;Hospitalizados;417;
De 65 a 69 años;Hombres;% pirámide;5,746176105828855;
De 65 a 69 años;Mujeres;Hospitalizados;292;
De 65 a 69 años;Mujeres;% pirámide;4,0237012539616925;
De 60 a 64 años;Hombres;Hospitalizados;494;
De 60 a 64 años;Hombres;% pirámide;6,807220614579027;
De 60 a 64 años;Mujeres;Hospitalizados;286;
De 60 a 64 años;Mujeres;% pirámide;3,9410224610720683;
De 55 a 59 años;Hombres;Hospitalizados;413;
De 55 a 59 años;Hombres;% pirámide;5,691056910569105;
De 55 a 59 años;Mujeres;Hospitalizados;263;
De 55 a 59 años;Mujeres;% pirámide;3,6240870883285106;
De 50 a 54 años;Hombres;Hospitalizados;396;
De 50 a 54 años;Hombres;% pirámide;5,456800330715172;
De 50 a 54 años;Mujeres;Hospitalizados;215;
De 50 a 54 años;Mujeres;% pirámide;2,96265674521152;
De 45 a 49 años;Hombres;Hospitalizados;316;
De 45 a 49 años;Hombres;% pirámide;4,354416425520188;
De 45 a 49 años;Mujeres;Hospitalizados;172;
De 45 a 49 años;Mujeres;% pirámide;2,370125396169216;
De 40 a 44 años;Hombres;Hospitalizados;188;
De 40 a 44 años;Hombres;% pirámide;2,590602177208213;
De 40 a 44 años;Mujeres;Hospitalizados;147;
De 40 a 44 años;Mujeres;% pirámide;2,0256304257957836;
De 35 a 39 años;Hombres;Hospitalizados;139;
De 35 a 39 años;Hombres;% pirámide;1,9153920352762848;
De 35 a 39 años;Mujeres;Hospitalizados;106;
De 35 a 39 años;Mujeres;% pirámide;1,4606586743833538;
De 30 a 34 años;Hombres;Hospitalizados;70;
De 30 a 34 años;Hombres;% pirámide;0,964585917045611;
De 30 a 34 años;Mujeres;Hospitalizados;87;
De 30 a 34 años;Mujeres;% pirámide;1,1988424968995453;
De 25 a 29 años;Hombres;Hospitalizados;43;
De 25 a 29 años;Hombres;% pirámide;0,592531349042304;
De 25 a 29 años;Mujeres;Hospitalizados;55;
De 25 a 29 años;Mujeres;% pirámide;0,7578889348215516;
De 20 a 24 años;Hombres;Hospitalizados;34;
De 20 a 24 años;Hombres;% pirámide;0,4685131597078683;
De 20 a 24 años;Mujeres;Hospitalizados;35;
De 20 a 24 años;Mujeres;% pirámide;0,4822929585228055;
De 15 a 19 años;Hombres;Hospitalizados;13;
De 15 a 19 años;Hombres;% pirámide;0,17913738459418493;
De 15 a 19 años;Mujeres;Hospitalizados;14;
De 15 a 19 años;Mujeres;% pirámide;0,19291718340912223;
De 10 a 14 años;Hombres;Hospitalizados;5;
De 10 a 14 años;Hombres;% pirámide;0,07;
De 10 a 14 años;Mujeres;Hospitalizados;3;
De 10 a 14 años;Mujeres;% pirámide;0,04;
De 5 a 9 años;Hombres;Hospitalizados;2;
De 5 a 9 años;Hombres;% pirámide;0,03;
De 5 a 9 años;Mujeres;Hospitalizados;4;
De 5 a 9 años;Mujeres;% pirámide;0,06;
De 0 a 4 años;Hombres;Hospitalizados;19;
De 0 a 4 años;Hombres;% pirámide;0,26181617748380875;
De 0 a 4 años;Mujeres;Hospitalizados;6;
De 0 a 4 años;Mujeres;% pirámide;0,08;
