Fecha,Provincia,Distrito,Municipio,ConfirmadosPCR,ConfirmadosPCR14d,ConfirmadosTotal,Defunciones
2020-04-30,Almería,Almería (distrito),Abla,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Abrucena,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Alboloduy,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Alcudia de Monteagud,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Alhabia,NA,NA,2,NA
2020-04-30,Almería,Almería (distrito),Alhama de Almería,NA,NA,1,NA
2020-04-30,Almería,Almería (distrito),Alicún,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Almería (capital),NA,NA,201,8
2020-04-30,Almería,Almería (distrito),Almócita,NA,NA,1,1
2020-04-30,Almería,Almería (distrito),Alsodux,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Beires,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Benahadux,NA,NA,2,NA
2020-04-30,Almería,Almería (distrito),Benitagla,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Benizalón,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Bentarique,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Canjáyar,NA,NA,1,NA
2020-04-30,Almería,Almería (distrito),Carboneras,NA,NA,2,NA
2020-04-30,Almería,Almería (distrito),Castro de Filabres,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Fiñana,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Gádor,NA,NA,1,NA
2020-04-30,Almería,Almería (distrito),Gérgal,NA,NA,2,1
2020-04-30,Almería,Almería (distrito),Huécija,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Huércal de Almería,NA,NA,10,1
2020-04-30,Almería,Almería (distrito),Íllar,NA,NA,26,2
2020-04-30,Almería,Almería (distrito),Instinción,NA,NA,1,NA
2020-04-30,Almería,Almería (distrito),Lubrín,NA,NA,3,NA
2020-04-30,Almería,Almería (distrito),Lucainena de las Torres,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Nacimiento,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Níjar,NA,NA,7,1
2020-04-30,Almería,Almería (distrito),Ohanes,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Olula de Castro,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Padules,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Pechina,NA,NA,2,NA
2020-04-30,Almería,Almería (distrito),Rágol,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Rioja,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Santa Cruz de Marchena,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Santa Fe de Mondújar,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Senés,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Sorbas,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Tabernas,NA,NA,1,NA
2020-04-30,Almería,Almería (distrito),Tahal,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Terque,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Tres Villas (Las),NA,NA,2,NA
2020-04-30,Almería,Almería (distrito),Turrillas,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Uleila del Campo,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Velefique,NA,NA,NA,NA
2020-04-30,Almería,Almería (distrito),Viator,NA,NA,2,NA
2020-04-30,Almería,Levante-Alto Almanzora,Albanchez,NA,NA,1,NA
2020-04-30,Almería,Levante-Alto Almanzora,Albox,NA,NA,14,3
2020-04-30,Almería,Levante-Alto Almanzora,Alcóntar,NA,NA,NA,NA
2020-04-30,Almería,Levante-Alto Almanzora,Antas,NA,NA,1,NA
2020-04-30,Almería,Levante-Alto Almanzora,Arboleas,NA,NA,3,NA
2020-04-30,Almería,Levante-Alto Almanzora,Armuña de Almanzora,NA,NA,NA,NA
2020-04-30,Almería,Levante-Alto Almanzora,Bacares,NA,NA,NA,NA
2020-04-30,Almería,Levante-Alto Almanzora,Bayarque,NA,NA,NA,NA
2020-04-30,Almería,Levante-Alto Almanzora,Bédar,NA,NA,NA,NA
2020-04-30,Almería,Levante-Alto Almanzora,Cantoria,NA,NA,3,NA
2020-04-30,Almería,Levante-Alto Almanzora,Chercos,NA,NA,NA,NA
2020-04-30,Almería,Levante-Alto Almanzora,Chirivel,NA,NA,1,NA
2020-04-30,Almería,Levante-Alto Almanzora,Cóbdar,NA,NA,NA,NA
2020-04-30,Almería,Levante-Alto Almanzora,Cuevas del Almanzora,NA,NA,4,1
2020-04-30,Almería,Levante-Alto Almanzora,Fines,NA,NA,2,NA
2020-04-30,Almería,Levante-Alto Almanzora,Gallardos (Los),NA,NA,NA,NA
2020-04-30,Almería,Levante-Alto Almanzora,Garrucha,NA,NA,4,NA
2020-04-30,Almería,Levante-Alto Almanzora,Huércal-Overa,NA,NA,15,2
2020-04-30,Almería,Levante-Alto Almanzora,Laroya,NA,NA,NA,NA
2020-04-30,Almería,Levante-Alto Almanzora,Líjar,NA,NA,1,1
2020-04-30,Almería,Levante-Alto Almanzora,Lúcar,NA,NA,1,NA
2020-04-30,Almería,Levante-Alto Almanzora,Macael,NA,NA,10,3
2020-04-30,Almería,Levante-Alto Almanzora,María,NA,NA,2,NA
2020-04-30,Almería,Levante-Alto Almanzora,Mojácar,NA,NA,3,NA
2020-04-30,Almería,Levante-Alto Almanzora,Olula del Río,NA,NA,8,NA
2020-04-30,Almería,Levante-Alto Almanzora,Oria,NA,NA,NA,NA
2020-04-30,Almería,Levante-Alto Almanzora,Partaloa,NA,NA,NA,NA
2020-04-30,Almería,Levante-Alto Almanzora,Pulpí,NA,NA,4,NA
2020-04-30,Almería,Levante-Alto Almanzora,Purchena,NA,NA,3,1
2020-04-30,Almería,Levante-Alto Almanzora,Serón,NA,NA,NA,NA
2020-04-30,Almería,Levante-Alto Almanzora,Sierro,NA,NA,NA,NA
2020-04-30,Almería,Levante-Alto Almanzora,Somontín,NA,NA,NA,NA
2020-04-30,Almería,Levante-Alto Almanzora,Suflí,NA,NA,NA,NA
2020-04-30,Almería,Levante-Alto Almanzora,Taberno,NA,NA,NA,NA
2020-04-30,Almería,Levante-Alto Almanzora,Tíjola,NA,NA,1,NA
