Lugar de residencia;Medida;Valor;
Almería;Población;716820;
Almería;Confirmados PDIA;10607;
Almería;Confirmados PDIA 14 días;1734;
Almería;Tasa PDIA 14 días;241,90173265254876;
Almería;Confirmados PDIA 7 días;1071;
Almería;Total Confirmados ;10919;
Almería;Curados;7756;
Almería;Fallecidos;139;
Almería (distrito);Población;301623;
Almería (distrito);Confirmados PDIA;3615;
Almería (distrito);Confirmados PDIA 14 días;557;
Almería (distrito);Tasa PDIA 14 días;184,66761487021878;
Almería (distrito);Confirmados PDIA 7 días;356;
Almería (distrito);Total Confirmados ;3787;
Almería (distrito);Curados;2427;
Almería (distrito);Fallecidos;57;
Abla;Población;1249;
Abla;Confirmados PDIA;10;
Abla;Confirmados PDIA 14 días;6;
Abla;Tasa PDIA 14 días;480,3843074459568;
Abla;Confirmados PDIA 7 días;0;
Abla;Total Confirmados ;10;
Abla;Curados;2;
Abla;Fallecidos;0;
Abrucena;Población;1202;
Abrucena;Confirmados PDIA;8;
Abrucena;Confirmados PDIA 14 días;2;
Abrucena;Tasa PDIA 14 días;166,38935108153078;
Abrucena;Confirmados PDIA 7 días;0;
Abrucena;Total Confirmados ;8;
Abrucena;Curados;4;
Abrucena;Fallecidos;0;
Alboloduy;Población;616;
Alboloduy;Confirmados PDIA;;
Alboloduy;Confirmados PDIA 14 días;;
Alboloduy;Tasa PDIA 14 días;;
Alboloduy;Confirmados PDIA 7 días;;
Alboloduy;Total Confirmados ;;
Alboloduy;Curados;;
Alboloduy;Fallecidos;;
Alcudia de Monteagud;Población;152;
Alcudia de Monteagud;Confirmados PDIA;;
Alcudia de Monteagud;Confirmados PDIA 14 días;;
Alcudia de Monteagud;Tasa PDIA 14 días;;
Alcudia de Monteagud;Confirmados PDIA 7 días;;
Alcudia de Monteagud;Total Confirmados ;;
Alcudia de Monteagud;Curados;;
Alcudia de Monteagud;Fallecidos;;
Alhabia;Población;671;
Alhabia;Confirmados PDIA;8;
Alhabia;Confirmados PDIA 14 días;0;
Alhabia;Tasa PDIA 14 días;0;
Alhabia;Confirmados PDIA 7 días;0;
Alhabia;Total Confirmados ;9;
Alhabia;Curados;8;
Alhabia;Fallecidos;0;
Alhama de Almería;Población;3641;
