Lugar de residencia;Medida;Valor;
Córdoba;Población;786635;
Córdoba;Confirmados PDIA;19075;
Córdoba;Confirmados PDIA 14 días;4680;
Córdoba;Tasa PDIA 14 días;594,9392030611401;
Córdoba;Confirmados PDIA 7 días;2029;
Córdoba;Total Confirmados ;19537;
Córdoba;Curados;8911;
Córdoba;Fallecidos;325;
Córdoba (distrito);Población;325701;
Córdoba (distrito);Confirmados PDIA;8153;
Córdoba (distrito);Confirmados PDIA 14 días;2035;
Córdoba (distrito);Tasa PDIA 14 días;624,8061872699193;
Córdoba (distrito);Confirmados PDIA 7 días;841;
Córdoba (distrito);Total Confirmados ;8431;
Córdoba (distrito);Curados;4053;
Córdoba (distrito);Fallecidos;130;
Córdoba (capital);Población;325701;
Córdoba (capital);Confirmados PDIA;8153;
Córdoba (capital);Confirmados PDIA 14 días;2035;
Córdoba (capital);Tasa PDIA 14 días;624,8061872699193;
Córdoba (capital);Confirmados PDIA 7 días;841;
Córdoba (capital);Total Confirmados ;8431;
Córdoba (capital);Curados;4053;
Córdoba (capital);Fallecidos;130;
Córdoba Sur;Población;261145;
Córdoba Sur;Confirmados PDIA;6980;
Córdoba Sur;Confirmados PDIA 14 días;1638;
Córdoba Sur;Tasa PDIA 14 días;627,2377414846159;
Córdoba Sur;Confirmados PDIA 7 días;726;
Córdoba Sur;Total Confirmados ;7097;
Córdoba Sur;Curados;2822;
Córdoba Sur;Fallecidos;115;
Aguilar de la Frontera;Población;13328;
Aguilar de la Frontera;Confirmados PDIA;608;
Aguilar de la Frontera;Confirmados PDIA 14 días;106;
Aguilar de la Frontera;Tasa PDIA 14 días;795,3181272509004;
Aguilar de la Frontera;Confirmados PDIA 7 días;46;
Aguilar de la Frontera;Total Confirmados ;614;
Aguilar de la Frontera;Curados;153;
Aguilar de la Frontera;Fallecidos;10;
Almedinilla;Población;2391;
Almedinilla;Confirmados PDIA;60;
Almedinilla;Confirmados PDIA 14 días;19;
Almedinilla;Tasa PDIA 14 días;794,646591384358;
Almedinilla;Confirmados PDIA 7 días;6;
Almedinilla;Total Confirmados ;60;
Almedinilla;Curados;5;
Almedinilla;Fallecidos;2;
Baena;Población;19284;
Baena;Confirmados PDIA;359;
Baena;Confirmados PDIA 14 días;133;
Baena;Tasa PDIA 14 días;689,6909354905621;
Baena;Confirmados PDIA 7 días;72;
Baena;Total Confirmados ;369;
Baena;Curados;105;
Baena;Fallecidos;4;
Benamejí;Población;4966;
Benamejí;Confirmados PDIA;156;
Benamejí;Confirmados PDIA 14 días;16;
Benamejí;Tasa PDIA 14 días;322,1908981071285;
Benamejí;Confirmados PDIA 7 días;3;
Benamejí;Total Confirmados ;157;
Benamejí;Curados;14;
Benamejí;Fallecidos;1;
Cabra;Población;20341;
Cabra;Confirmados PDIA;465;
Cabra;Confirmados PDIA 14 días;174;
Cabra;Tasa PDIA 14 días;855,4151713288433;
Cabra;Confirmados PDIA 7 días;66;
Cabra;Total Confirmados ;471;
Cabra;Curados;132;
Cabra;Fallecidos;3;
Carcabuey;Población;2412;
Carcabuey;Confirmados PDIA;29;
Carcabuey;Confirmados PDIA 14 días;2;
Carcabuey;Tasa PDIA 14 días;82,91873963515755;
Carcabuey;Confirmados PDIA 7 días;0;
Carcabuey;Total Confirmados ;30;
Carcabuey;Curados;15;
Carcabuey;Fallecidos;0;
Castro del Río;Población;7809;
Castro del Río;Confirmados PDIA;150;
Castro del Río;Confirmados PDIA 14 días;45;
Castro del Río;Tasa PDIA 14 días;576,2581636573185;
Castro del Río;Confirmados PDIA 7 días;20;
Castro del Río;Total Confirmados ;152;
Castro del Río;Curados;48;
Castro del Río;Fallecidos;4;
Doña Mencía;Población;4638;
Doña Mencía;Confirmados PDIA;123;
Doña Mencía;Confirmados PDIA 14 días;54;
Doña Mencía;Tasa PDIA 14 días;1164,294954721863;
Doña Mencía;Confirmados PDIA 7 días;23;
Doña Mencía;Total Confirmados ;123;
Doña Mencía;Curados;20;
Doña Mencía;Fallecidos;0;
Encinas Reales;Población;2254;
Encinas Reales;Confirmados PDIA;68;
Encinas Reales;Confirmados PDIA 14 días;7;
Encinas Reales;Tasa PDIA 14 días;310,55900621118013;
Encinas Reales;Confirmados PDIA 7 días;4;
Encinas Reales;Total Confirmados ;68;
Encinas Reales;Curados;32;
Encinas Reales;Fallecidos;1;
Espejo;Población;3329;
Espejo;Confirmados PDIA;71;
Espejo;Confirmados PDIA 14 días;4;
Espejo;Tasa PDIA 14 días;120,15620306398318;
Espejo;Confirmados PDIA 7 días;2;
Espejo;Total Confirmados ;71;
Espejo;Curados;13;
Espejo;Fallecidos;0;
Fernán-Núñez;Población;9663;
Fernán-Núñez;Confirmados PDIA;284;
Fernán-Núñez;Confirmados PDIA 14 días;85;
Fernán-Núñez;Tasa PDIA 14 días;879,6440028976508;
Fernán-Núñez;Confirmados PDIA 7 días;23;
Fernán-Núñez;Total Confirmados ;287;
Fernán-Núñez;Curados;92;
Fernán-Núñez;Fallecidos;2;
Fuente-Tójar;Población;672;
Fuente-Tójar;Confirmados PDIA;2;
Fuente-Tójar;Confirmados PDIA 14 días;0;
Fuente-Tójar;Tasa PDIA 14 días;0;
Fuente-Tójar;Confirmados PDIA 7 días;0;
Fuente-Tójar;Total Confirmados ;4;
Fuente-Tójar;Curados;3;
Fuente-Tójar;Fallecidos;0;
Guijarrosa (La);Población;1399;
Guijarrosa (La);Confirmados PDIA;11;
Guijarrosa (La);Confirmados PDIA 14 días;3;
Guijarrosa (La);Tasa PDIA 14 días;214,43888491779842;
Guijarrosa (La);Confirmados PDIA 7 días;0;
Guijarrosa (La);Total Confirmados ;12;
Guijarrosa (La);Curados;7;
Guijarrosa (La);Fallecidos;0;
Iznájar;Población;4261;
Iznájar;Confirmados PDIA;59;
Iznájar;Confirmados PDIA 14 días;17;
Iznájar;Tasa PDIA 14 días;398,96737854963624;
Iznájar;Confirmados PDIA 7 días;5;
Iznájar;Total Confirmados ;61;
Iznájar;Curados;28;
Iznájar;Fallecidos;3;
Lucena;Población;42605;
Lucena;Confirmados PDIA;1509;
Lucena;Confirmados PDIA 14 días;234;
Lucena;Tasa PDIA 14 días;549,2313108790048;
Lucena;Confirmados PDIA 7 días;135;
Lucena;Total Confirmados ;1530;
Lucena;Curados;922;
Lucena;Fallecidos;16;
Luque;Población;2994;
Luque;Confirmados PDIA;145;
Luque;Confirmados PDIA 14 días;11;
Luque;Tasa PDIA 14 días;367,40146960587845;
Luque;Confirmados PDIA 7 días;5;
Luque;Total Confirmados ;146;
Luque;Curados;98;
Luque;Fallecidos;2;
Montalbán de Córdoba;Población;4489;
Montalbán de Córdoba;Confirmados PDIA;229;
Montalbán de Córdoba;Confirmados PDIA 14 días;17;
Montalbán de Córdoba;Tasa PDIA 14 días;378,70349743818224;
Montalbán de Córdoba;Confirmados PDIA 7 días;7;
Montalbán de Córdoba;Total Confirmados ;231;
Montalbán de Córdoba;Curados;196;
Montalbán de Córdoba;Fallecidos;0;
Montemayor;Población;3855;
Montemayor;Confirmados PDIA;86;
Montemayor;Confirmados PDIA 14 días;30;
Montemayor;Tasa PDIA 14 días;778,2101167315175;
Montemayor;Confirmados PDIA 7 días;9;
Montemayor;Total Confirmados ;89;
Montemayor;Curados;28;
Montemayor;Fallecidos;2;
Montilla;Población;22859;
Montilla;Confirmados PDIA;532;
Montilla;Confirmados PDIA 14 días;107;
Montilla;Tasa PDIA 14 días;468,08696793385536;
Montilla;Confirmados PDIA 7 días;39;
Montilla;Total Confirmados ;533;
Montilla;Curados;242;
Montilla;Fallecidos;11;
Monturque;Población;1958;
Monturque;Confirmados PDIA;19;
Monturque;Confirmados PDIA 14 días;9;
Monturque;Tasa PDIA 14 días;459,6527068437181;
Monturque;Confirmados PDIA 7 días;8;
Monturque;Total Confirmados ;19;
Monturque;Curados;6;
Monturque;Fallecidos;0;
Moriles;Población;3717;
Moriles;Confirmados PDIA;134;
Moriles;Confirmados PDIA 14 días;32;
Moriles;Tasa PDIA 14 días;860,9093354856067;
Moriles;Confirmados PDIA 7 días;17;
Moriles;Total Confirmados ;135;
Moriles;Curados;24;
Moriles;Fallecidos;0;
Nueva Carteya;Población;5379;
Nueva Carteya;Confirmados PDIA;74;
Nueva Carteya;Confirmados PDIA 14 días;48;
Nueva Carteya;Tasa PDIA 14 días;892,3591745677635;
Nueva Carteya;Confirmados PDIA 7 días;24;
Nueva Carteya;Total Confirmados ;75;
Nueva Carteya;Curados;14;
Nueva Carteya;Fallecidos;0;
Palenciana;Población;1478;
Palenciana;Confirmados PDIA;62;
Palenciana;Confirmados PDIA 14 días;5;
Palenciana;Tasa PDIA 14 días;338,29499323410016;
Palenciana;Confirmados PDIA 7 días;3;
Palenciana;Total Confirmados ;62;
Palenciana;Curados;32;
Palenciana;Fallecidos;1;
Priego de Córdoba;Población;22408;
Priego de Córdoba;Confirmados PDIA;510;
Priego de Córdoba;Confirmados PDIA 14 días;187;
Priego de Córdoba;Tasa PDIA 14 días;834,5233845055337;
Priego de Córdoba;Confirmados PDIA 7 días;90;
Priego de Córdoba;Total Confirmados ;522;
Priego de Córdoba;Curados;117;
Priego de Córdoba;Fallecidos;4;
Puente Genil;Población;30048;
Puente Genil;Confirmados PDIA;698;
Puente Genil;Confirmados PDIA 14 días;185;
Puente Genil;Tasa PDIA 14 días;615,6815761448349;
Puente Genil;Confirmados PDIA 7 días;85;
Puente Genil;Total Confirmados ;728;
Puente Genil;Curados;179;
Puente Genil;Fallecidos;30;
Rambla (La);Población;7493;
Rambla (La);Confirmados PDIA;206;
Rambla (La);Confirmados PDIA 14 días;14;
Rambla (La);Tasa PDIA 14 días;186,841051648205;
Rambla (La);Confirmados PDIA 7 días;4;
Rambla (La);Total Confirmados ;208;
Rambla (La);Curados;164;
Rambla (La);Fallecidos;1;
Rute;Población;9845;
Rute;Confirmados PDIA;283;
Rute;Confirmados PDIA 14 días;76;
Rute;Tasa PDIA 14 días;771,9654647028949;
Rute;Confirmados PDIA 7 días;16;
Rute;Total Confirmados ;289;
Rute;Curados;123;
Rute;Fallecidos;17;
Santaella;Población;4629;
Santaella;Confirmados PDIA;26;
Santaella;Confirmados PDIA 14 días;9;
Santaella;Tasa PDIA 14 días;194,42644199611146;
Santaella;Confirmados PDIA 7 días;9;
Santaella;Total Confirmados ;29;
Santaella;Curados;10;
Santaella;Fallecidos;1;
Zuheros;Población;641;
Zuheros;Confirmados PDIA;22;
Zuheros;Confirmados PDIA 14 días;9;
Zuheros;Tasa PDIA 14 días;1404,0561622464897;
Zuheros;Confirmados PDIA 7 días;5;
Zuheros;Total Confirmados ;22;
Zuheros;Curados;0;
Zuheros;Fallecidos;0;
Guadalquivir;Población;124207;
Guadalquivir;Confirmados PDIA;2520;
Guadalquivir;Confirmados PDIA 14 días;568;
Guadalquivir;Tasa PDIA 14 días;457,3011182944601;
Guadalquivir;Confirmados PDIA 7 días;234;
Guadalquivir;Total Confirmados ;2567;
Guadalquivir;Curados;1288;
Guadalquivir;Fallecidos;45;
Adamuz;Población;4192;
Adamuz;Confirmados PDIA;86;
Adamuz;Confirmados PDIA 14 días;28;
Adamuz;Tasa PDIA 14 días;667,9389312977099;
Adamuz;Confirmados PDIA 7 días;11;
Adamuz;Total Confirmados ;87;
Adamuz;Curados;26;
Adamuz;Fallecidos;1;
Almodóvar del Río;Población;7937;
Almodóvar del Río;Confirmados PDIA;246;
Almodóvar del Río;Confirmados PDIA 14 días;20;
Almodóvar del Río;Tasa PDIA 14 días;251,98437696862794;
Almodóvar del Río;Confirmados PDIA 7 días;13;
Almodóvar del Río;Total Confirmados ;250;
Almodóvar del Río;Curados;205;
Almodóvar del Río;Fallecidos;3;
Bujalance;Población;7417;
Bujalance;Confirmados PDIA;193;
Bujalance;Confirmados PDIA 14 días;39;
