Lugar de residencia;Medida;Valor;
Granada;Población;914678;
Granada;Confirmados PDIA;44539;
Granada;Confirmados PDIA 14 días;1518;
Granada;Tasa PDIA 14 días;165,96004276914937;
Granada;Confirmados PDIA 7 días;446;
Granada;Total Confirmados ;45402;
Granada;Curados;27113;
Granada;Fallecidos;921;
Granada Sur;Población;148829;
Granada Sur;Confirmados PDIA;3022;
Granada Sur;Confirmados PDIA 14 días;67;
Granada Sur;Tasa PDIA 14 días;45,01810803002103;
Granada Sur;Confirmados PDIA 7 días;10;
Granada Sur;Total Confirmados ;3047;
Granada Sur;Curados;1934;
Granada Sur;Fallecidos;40;
Albondón;Población;728;
Albondón;Confirmados PDIA;6;
Albondón;Confirmados PDIA 14 días;0;
Albondón;Tasa PDIA 14 días;0;
Albondón;Confirmados PDIA 7 días;0;
Albondón;Total Confirmados ;6;
Albondón;Curados;6;
Albondón;Fallecidos;0;
Albuñol;Población;7233;
Albuñol;Confirmados PDIA;133;
Albuñol;Confirmados PDIA 14 días;0;
Albuñol;Tasa PDIA 14 días;0;
Albuñol;Confirmados PDIA 7 días;0;
Albuñol;Total Confirmados ;133;
Albuñol;Curados;121;
Albuñol;Fallecidos;0;
Almegíjar;Población;365;
Almegíjar;Confirmados PDIA;6;
Almegíjar;Confirmados PDIA 14 días;0;
Almegíjar;Tasa PDIA 14 días;0;
Almegíjar;Confirmados PDIA 7 días;0;
Almegíjar;Total Confirmados ;6;
Almegíjar;Curados;0;
Almegíjar;Fallecidos;0;
Almuñécar;Población;26514;
Almuñécar;Confirmados PDIA;485;
Almuñécar;Confirmados PDIA 14 días;17;
Almuñécar;Tasa PDIA 14 días;64,11707022704987;
Almuñécar;Confirmados PDIA 7 días;5;
Almuñécar;Total Confirmados ;488;
Almuñécar;Curados;303;
Almuñécar;Fallecidos;3;
Alpujarra de la Sierra;Población;989;
Alpujarra de la Sierra;Confirmados PDIA;12;
Alpujarra de la Sierra;Confirmados PDIA 14 días;0;
Alpujarra de la Sierra;Tasa PDIA 14 días;0;
Alpujarra de la Sierra;Confirmados PDIA 7 días;0;
Alpujarra de la Sierra;Total Confirmados ;13;
Alpujarra de la Sierra;Curados;5;
Alpujarra de la Sierra;Fallecidos;2;
Bérchules;Población;716;
Bérchules;Confirmados PDIA;1;
Bérchules;Confirmados PDIA 14 días;0;
Bérchules;Tasa PDIA 14 días;0;
Bérchules;Confirmados PDIA 7 días;0;
Bérchules;Total Confirmados ;1;
Bérchules;Curados;1;
Bérchules;Fallecidos;0;
Bubión;Población;296;
Bubión;Confirmados PDIA;7;
Bubión;Confirmados PDIA 14 días;1;
Bubión;Tasa PDIA 14 días;337,8378378378378;
Bubión;Confirmados PDIA 7 días;0;
Bubión;Total Confirmados ;7;
Bubión;Curados;2;
Bubión;Fallecidos;0;
Busquístar;Población;289;
Busquístar;Confirmados PDIA;24;
Busquístar;Confirmados PDIA 14 días;0;
Busquístar;Tasa PDIA 14 días;0;
Busquístar;Confirmados PDIA 7 días;0;
Busquístar;Total Confirmados ;25;
Busquístar;Curados;11;
Busquístar;Fallecidos;1;
Cádiar;Población;1453;
Cádiar;Confirmados PDIA;10;
Cádiar;Confirmados PDIA 14 días;0;
Cádiar;Tasa PDIA 14 días;0;
Cádiar;Confirmados PDIA 7 días;0;
Cádiar;Total Confirmados ;10;
Cádiar;Curados;9;
Cádiar;Fallecidos;0;
Cáñar;Población;350;
Cáñar;Confirmados PDIA;8;
Cáñar;Confirmados PDIA 14 días;0;
Cáñar;Tasa PDIA 14 días;0;
Cáñar;Confirmados PDIA 7 días;0;
Cáñar;Total Confirmados ;8;
Cáñar;Curados;3;
Cáñar;Fallecidos;0;
Capileira;Población;554;
Capileira;Confirmados PDIA;17;
Capileira;Confirmados PDIA 14 días;1;
Capileira;Tasa PDIA 14 días;180,50541516245488;
Capileira;Confirmados PDIA 7 días;1;
Capileira;Total Confirmados ;17;
Capileira;Curados;12;
Capileira;Fallecidos;0;
Carataunas;Población;194;
Carataunas;Confirmados PDIA;;
Carataunas;Confirmados PDIA 14 días;;
Carataunas;Tasa PDIA 14 días;;
Carataunas;Confirmados PDIA 7 días;;
Carataunas;Total Confirmados ;;
Carataunas;Curados;;
Carataunas;Fallecidos;;
Cástaras;Población;249;
Cástaras;Confirmados PDIA;;
Cástaras;Confirmados PDIA 14 días;;
Cástaras;Tasa PDIA 14 días;;
Cástaras;Confirmados PDIA 7 días;;
Cástaras;Total Confirmados ;;
Cástaras;Curados;;
Cástaras;Fallecidos;;
Guájares (Los);Población;1057;
Guájares (Los);Confirmados PDIA;19;
Guájares (Los);Confirmados PDIA 14 días;0;
Guájares (Los);Tasa PDIA 14 días;0;
Guájares (Los);Confirmados PDIA 7 días;0;
Guájares (Los);Total Confirmados ;20;
Guájares (Los);Curados;11;
Guájares (Los);Fallecidos;0;
Gualchos;Población;5193;
Gualchos;Confirmados PDIA;64;
Gualchos;Confirmados PDIA 14 días;1;
Gualchos;Tasa PDIA 14 días;19,256691700365877;
Gualchos;Confirmados PDIA 7 días;0;
Gualchos;Total Confirmados ;65;
Gualchos;Curados;55;
Gualchos;Fallecidos;2;
Ítrabo;Población;988;
Ítrabo;Confirmados PDIA;9;
Ítrabo;Confirmados PDIA 14 días;0;
Ítrabo;Tasa PDIA 14 días;0;
Ítrabo;Confirmados PDIA 7 días;0;
Ítrabo;Total Confirmados ;9;
Ítrabo;Curados;7;
Ítrabo;Fallecidos;0;
Jete;Población;919;
Jete;Confirmados PDIA;3;
Jete;Confirmados PDIA 14 días;0;
Jete;Tasa PDIA 14 días;0;
Jete;Confirmados PDIA 7 días;0;
Jete;Total Confirmados ;3;
Jete;Curados;0;
Jete;Fallecidos;0;
Juviles;Población;153;
Juviles;Confirmados PDIA;;
Juviles;Confirmados PDIA 14 días;;
Juviles;Tasa PDIA 14 días;;
Juviles;Confirmados PDIA 7 días;;
Juviles;Total Confirmados ;;
Juviles;Curados;;
Juviles;Fallecidos;;
Lanjarón;Población;3507;
Lanjarón;Confirmados PDIA;87;
Lanjarón;Confirmados PDIA 14 días;0;
Lanjarón;Tasa PDIA 14 días;0;
Lanjarón;Confirmados PDIA 7 días;0;
Lanjarón;Total Confirmados ;87;
Lanjarón;Curados;56;
Lanjarón;Fallecidos;3;
Lentegí;Población;326;
Lentegí;Confirmados PDIA;1;
Lentegí;Confirmados PDIA 14 días;0;
Lentegí;Tasa PDIA 14 días;0;
Lentegí;Confirmados PDIA 7 días;0;
Lentegí;Total Confirmados ;1;
Lentegí;Curados;0;
Lentegí;Fallecidos;0;
Lobras;Población;145;
Lobras;Confirmados PDIA;;
Lobras;Confirmados PDIA 14 días;;
Lobras;Tasa PDIA 14 días;;
Lobras;Confirmados PDIA 7 días;;
Lobras;Total Confirmados ;;
Lobras;Curados;;
Lobras;Fallecidos;;
Lújar;Población;488;
Lújar;Confirmados PDIA;6;
Lújar;Confirmados PDIA 14 días;0;
Lújar;Tasa PDIA 14 días;0;
Lújar;Confirmados PDIA 7 días;0;
Lújar;Total Confirmados ;6;
Lújar;Curados;6;
Lújar;Fallecidos;0;
Molvízar;Población;2794;
Molvízar;Confirmados PDIA;30;
Molvízar;Confirmados PDIA 14 días;2;
Molvízar;Tasa PDIA 14 días;71,58196134574088;
Molvízar;Confirmados PDIA 7 días;0;
Molvízar;Total Confirmados ;31;
Molvízar;Curados;16;
Molvízar;Fallecidos;0;
Motril;Población;58020;
Motril;Confirmados PDIA;1410;
Motril;Confirmados PDIA 14 días;16;
Motril;Tasa PDIA 14 días;27,576697690451567;
Motril;Confirmados PDIA 7 días;1;
Motril;Total Confirmados ;1423;
Motril;Curados;951;
Motril;Fallecidos;19;
Murtas;Población;467;
Murtas;Confirmados PDIA;13;
Murtas;Confirmados PDIA 14 días;0;
Murtas;Tasa PDIA 14 días;0;
Murtas;Confirmados PDIA 7 días;0;
Murtas;Total Confirmados ;14;
Murtas;Curados;11;
Murtas;Fallecidos;2;
Nevada;Población;1050;
Nevada;Confirmados PDIA;3;
Nevada;Confirmados PDIA 14 días;0;
Nevada;Tasa PDIA 14 días;0;
Nevada;Confirmados PDIA 7 días;0;
Nevada;Total Confirmados ;3;
Nevada;Curados;1;
Nevada;Fallecidos;0;
Órgiva;Población;5725;
Órgiva;Confirmados PDIA;196;
Órgiva;Confirmados PDIA 14 días;15;
Órgiva;Tasa PDIA 14 días;262,0087336244541;
Órgiva;Confirmados PDIA 7 días;1;
Órgiva;Total Confirmados ;196;
Órgiva;Curados;78;
Órgiva;Fallecidos;2;
Otívar;Población;1034;
Otívar;Confirmados PDIA;17;
Otívar;Confirmados PDIA 14 días;0;
Otívar;Tasa PDIA 14 días;0;
Otívar;Confirmados PDIA 7 días;0;
Otívar;Total Confirmados ;17;
Otívar;Curados;6;
Otívar;Fallecidos;1;
Pampaneira;Población;321;
Pampaneira;Confirmados PDIA;1;
Pampaneira;Confirmados PDIA 14 días;0;
Pampaneira;Tasa PDIA 14 días;0;
Pampaneira;Confirmados PDIA 7 días;0;
Pampaneira;Total Confirmados ;1;
Pampaneira;Curados;0;
Pampaneira;Fallecidos;0;
Polopos;Población;1756;
Polopos;Confirmados PDIA;13;
Polopos;Confirmados PDIA 14 días;1;
Polopos;Tasa PDIA 14 días;56,94760820045558;
Polopos;Confirmados PDIA 7 días;0;
Polopos;Total Confirmados ;14;
Polopos;Curados;6;
Polopos;Fallecidos;0;
Pórtugos;Población;382;
Pórtugos;Confirmados PDIA;11;
Pórtugos;Confirmados PDIA 14 días;1;
Pórtugos;Tasa PDIA 14 días;261,78010471204186;
Pórtugos;Confirmados PDIA 7 días;0;
Pórtugos;Total Confirmados ;11;
Pórtugos;Curados;7;
Pórtugos;Fallecidos;0;
Rubite;Población;394;
Rubite;Confirmados PDIA;3;
Rubite;Confirmados PDIA 14 días;0;
Rubite;Tasa PDIA 14 días;0;
Rubite;Confirmados PDIA 7 días;0;
Rubite;Total Confirmados ;3;
Rubite;Curados;3;
Rubite;Fallecidos;0;
Salobreña;Población;12381;
Salobreña;Confirmados PDIA;182;
Salobreña;Confirmados PDIA 14 días;8;
Salobreña;Tasa PDIA 14 días;64,6151360956304;
Salobreña;Confirmados PDIA 7 días;1;
Salobreña;Total Confirmados ;183;
Salobreña;Curados;94;
Salobreña;Fallecidos;3;
Soportújar;Población;268;
Soportújar;Confirmados PDIA;7;
Soportújar;Confirmados PDIA 14 días;0;
Soportújar;Tasa PDIA 14 días;0;
Soportújar;Confirmados PDIA 7 días;0;
Soportújar;Total Confirmados ;7;
Soportújar;Curados;2;
Soportújar;Fallecidos;0;
Sorvilán;Población;538;
Sorvilán;Confirmados PDIA;7;
Sorvilán;Confirmados PDIA 14 días;0;
Sorvilán;Tasa PDIA 14 días;0;
Sorvilán;Confirmados PDIA 7 días;0;
Sorvilán;Total Confirmados ;7;
Sorvilán;Curados;5;
Sorvilán;Fallecidos;0;
Taha (La);Población;653;
Taha (La);Confirmados PDIA;54;
Taha (La);Confirmados PDIA 14 días;0;
Taha (La);Tasa PDIA 14 días;0;
Taha (La);Confirmados PDIA 7 días;0;
Taha (La);Total Confirmados ;54;
Taha (La);Curados;36;
Taha (La);Fallecidos;0;
Torrenueva Costa;Población;2682;
Torrenueva Costa;Confirmados PDIA;29;
Torrenueva Costa;Confirmados PDIA 14 días;0;
Torrenueva Costa;Tasa PDIA 14 días;0;
Torrenueva Costa;Confirmados PDIA 7 días;0;
Torrenueva Costa;Total Confirmados ;29;
Torrenueva Costa;Curados;20;
Torrenueva Costa;Fallecidos;1;
Torvizcón;Población;648;
Torvizcón;Confirmados PDIA;20;
