Lugar de residencia;Medida;Valor;
Huelva;Población;510743;
Huelva;Confirmados PDIA;7730;
Huelva;Confirmados PDIA 14 días;2556;
Huelva;Tasa PDIA 14 días;500,44738743360165;
Huelva;Confirmados PDIA 7 días;1279;
Huelva;Total Confirmados ;7977;
Huelva;Curados;2284;
Huelva;Fallecidos;94;
Sierra de Huelva-Andévalo Central;Población;67571;
Sierra de Huelva-Andévalo Central;Confirmados PDIA;1130;
Sierra de Huelva-Andévalo Central;Confirmados PDIA 14 días;358;
Sierra de Huelva-Andévalo Central;Tasa PDIA 14 días;529,8130854952568;
Sierra de Huelva-Andévalo Central;Confirmados PDIA 7 días;162;
Sierra de Huelva-Andévalo Central;Total Confirmados ;1189;
Sierra de Huelva-Andévalo Central;Curados;285;
Sierra de Huelva-Andévalo Central;Fallecidos;21;
Alájar;Población;756;
Alájar;Confirmados PDIA;3;
Alájar;Confirmados PDIA 14 días;1;
Alájar;Tasa PDIA 14 días;132,27513227513228;
Alájar;Confirmados PDIA 7 días;0;
Alájar;Total Confirmados ;3;
Alájar;Curados;0;
Alájar;Fallecidos;0;
Almonaster la Real;Población;1819;
Almonaster la Real;Confirmados PDIA;32;
Almonaster la Real;Confirmados PDIA 14 días;4;
Almonaster la Real;Tasa PDIA 14 días;219,90104452996152;
Almonaster la Real;Confirmados PDIA 7 días;2;
Almonaster la Real;Total Confirmados ;34;
Almonaster la Real;Curados;3;
Almonaster la Real;Fallecidos;1;
Aracena;Población;8107;
Aracena;Confirmados PDIA;275;
Aracena;Confirmados PDIA 14 días;121;
Aracena;Tasa PDIA 14 días;1492,5373134328358;
Aracena;Confirmados PDIA 7 días;30;
Aracena;Total Confirmados ;298;
Aracena;Curados;62;
Aracena;Fallecidos;12;
Aroche;Población;3073;
Aroche;Confirmados PDIA;37;
Aroche;Confirmados PDIA 14 días;10;
Aroche;Tasa PDIA 14 días;325,4149040026033;
Aroche;Confirmados PDIA 7 días;4;
Aroche;Total Confirmados ;37;
Aroche;Curados;9;
Aroche;Fallecidos;1;
Berrocal;Población;312;
Berrocal;Confirmados PDIA;;
Berrocal;Confirmados PDIA 14 días;;
Berrocal;Tasa PDIA 14 días;;
Berrocal;Confirmados PDIA 7 días;;
Berrocal;Total Confirmados ;;
Berrocal;Curados;;
Berrocal;Fallecidos;;
Calañas;Población;2791;
Calañas;Confirmados PDIA;36;
Calañas;Confirmados PDIA 14 días;5;
Calañas;Tasa PDIA 14 días;179,14725904693657;
Calañas;Confirmados PDIA 7 días;2;
Calañas;Total Confirmados ;38;
Calañas;Curados;3;
Calañas;Fallecidos;0;
Campillo (El);Población;2023;
Campillo (El);Confirmados PDIA;49;
Campillo (El);Confirmados PDIA 14 días;19;
Campillo (El);Tasa PDIA 14 días;939,1992090954029;
Campillo (El);Confirmados PDIA 7 días;10;
Campillo (El);Total Confirmados ;49;
Campillo (El);Curados;27;
Campillo (El);Fallecidos;0;
Campofrío;Población;675;
Campofrío;Confirmados PDIA;6;
Campofrío;Confirmados PDIA 14 días;1;
Campofrío;Tasa PDIA 14 días;148,14814814814815;
Campofrío;Confirmados PDIA 7 días;1;
Campofrío;Total Confirmados ;6;
Campofrío;Curados;2;
Campofrío;Fallecidos;0;
Cañaveral de León;Población;403;
Cañaveral de León;Confirmados PDIA;1;
Cañaveral de León;Confirmados PDIA 14 días;1;
Cañaveral de León;Tasa PDIA 14 días;248,13895781637717;
Cañaveral de León;Confirmados PDIA 7 días;0;
Cañaveral de León;Total Confirmados ;1;
Cañaveral de León;Curados;0;
Cañaveral de León;Fallecidos;0;
Castaño del Robledo;Población;223;
Castaño del Robledo;Confirmados PDIA;1;
Castaño del Robledo;Confirmados PDIA 14 días;0;
Castaño del Robledo;Tasa PDIA 14 días;0;
Castaño del Robledo;Confirmados PDIA 7 días;0;
Castaño del Robledo;Total Confirmados ;1;
Castaño del Robledo;Curados;0;
Castaño del Robledo;Fallecidos;0;
Cerro de Andévalo (El);Población;2364;
Cerro de Andévalo (El);Confirmados PDIA;30;
Cerro de Andévalo (El);Confirmados PDIA 14 días;2;
Cerro de Andévalo (El);Tasa PDIA 14 días;84,60236886632826;
Cerro de Andévalo (El);Confirmados PDIA 7 días;1;
Cerro de Andévalo (El);Total Confirmados ;30;
Cerro de Andévalo (El);Curados;10;
Cerro de Andévalo (El);Fallecidos;0;
Corteconcepción;Población;548;
Corteconcepción;Confirmados PDIA;11;
Corteconcepción;Confirmados PDIA 14 días;8;
Corteconcepción;Tasa PDIA 14 días;1459,85401459854;
Corteconcepción;Confirmados PDIA 7 días;8;
Corteconcepción;Total Confirmados ;11;
Corteconcepción;Curados;3;
Corteconcepción;Fallecidos;0;
Cortegana;Población;4666;
Cortegana;Confirmados PDIA;124;
Cortegana;Confirmados PDIA 14 días;3;
Cortegana;Tasa PDIA 14 días;64,29489927132448;
Cortegana;Confirmados PDIA 7 días;2;
Cortegana;Total Confirmados ;131;
Cortegana;Curados;22;
Cortegana;Fallecidos;1;
Cortelazor;Población;299;
Cortelazor;Confirmados PDIA;1;
Cortelazor;Confirmados PDIA 14 días;0;
Cortelazor;Tasa PDIA 14 días;0;
Cortelazor;Confirmados PDIA 7 días;0;
Cortelazor;Total Confirmados ;1;
Cortelazor;Curados;0;
Cortelazor;Fallecidos;0;
Cumbres de Enmedio;Población;56;
Cumbres de Enmedio;Confirmados PDIA;;
Cumbres de Enmedio;Confirmados PDIA 14 días;;
Cumbres de Enmedio;Tasa PDIA 14 días;;
Cumbres de Enmedio;Confirmados PDIA 7 días;;
Cumbres de Enmedio;Total Confirmados ;;
Cumbres de Enmedio;Curados;;
Cumbres de Enmedio;Fallecidos;;
Cumbres de San Bartolomé;Población;381;
Cumbres de San Bartolomé;Confirmados PDIA;2;
Cumbres de San Bartolomé;Confirmados PDIA 14 días;0;
Cumbres de San Bartolomé;Tasa PDIA 14 días;0;
Cumbres de San Bartolomé;Confirmados PDIA 7 días;0;
Cumbres de San Bartolomé;Total Confirmados ;2;
Cumbres de San Bartolomé;Curados;1;
Cumbres de San Bartolomé;Fallecidos;0;
Cumbres Mayores;Población;1755;
Cumbres Mayores;Confirmados PDIA;10;
Cumbres Mayores;Confirmados PDIA 14 días;3;
Cumbres Mayores;Tasa PDIA 14 días;170,94017094017093;
Cumbres Mayores;Confirmados PDIA 7 días;0;
Cumbres Mayores;Total Confirmados ;11;
Cumbres Mayores;Curados;4;
Cumbres Mayores;Fallecidos;0;
Encinasola;Población;1305;
Encinasola;Confirmados PDIA;7;
Encinasola;Confirmados PDIA 14 días;4;
Encinasola;Tasa PDIA 14 días;306,51340996168585;
Encinasola;Confirmados PDIA 7 días;0;
Encinasola;Total Confirmados ;7;
Encinasola;Curados;1;
Encinasola;Fallecidos;0;
Fuenteheridos;Población;678;
Fuenteheridos;Confirmados PDIA;2;
Fuenteheridos;Confirmados PDIA 14 días;0;
Fuenteheridos;Tasa PDIA 14 días;0;
Fuenteheridos;Confirmados PDIA 7 días;0;
Fuenteheridos;Total Confirmados ;2;
Fuenteheridos;Curados;1;
Fuenteheridos;Fallecidos;0;
Galaroza;Población;1379;
Galaroza;Confirmados PDIA;7;
Galaroza;Confirmados PDIA 14 días;5;
Galaroza;Tasa PDIA 14 días;362,58158085569255;
Galaroza;Confirmados PDIA 7 días;3;
Galaroza;Total Confirmados ;7;
Galaroza;Curados;0;
Galaroza;Fallecidos;0;
Granada de Río-Tinto (La);Población;239;
Granada de Río-Tinto (La);Confirmados PDIA;;
Granada de Río-Tinto (La);Confirmados PDIA 14 días;;
Granada de Río-Tinto (La);Tasa PDIA 14 días;;
Granada de Río-Tinto (La);Confirmados PDIA 7 días;;
Granada de Río-Tinto (La);Total Confirmados ;;
Granada de Río-Tinto (La);Curados;;
Granada de Río-Tinto (La);Fallecidos;;
Higuera de la Sierra;Población;1287;
Higuera de la Sierra;Confirmados PDIA;15;
Higuera de la Sierra;Confirmados PDIA 14 días;5;
Higuera de la Sierra;Tasa PDIA 14 días;388,5003885003885;
Higuera de la Sierra;Confirmados PDIA 7 días;3;
Higuera de la Sierra;Total Confirmados ;15;
Higuera de la Sierra;Curados;4;
Higuera de la Sierra;Fallecidos;0;
Hinojales;Población;325;
Hinojales;Confirmados PDIA;;
Hinojales;Confirmados PDIA 14 días;;
Hinojales;Tasa PDIA 14 días;;
Hinojales;Confirmados PDIA 7 días;;
Hinojales;Total Confirmados ;;
Hinojales;Curados;;
Hinojales;Fallecidos;;
Jabugo;Población;2250;
Jabugo;Confirmados PDIA;32;
Jabugo;Confirmados PDIA 14 días;12;
Jabugo;Tasa PDIA 14 días;533,3333333333334;
Jabugo;Confirmados PDIA 7 días;10;
Jabugo;Total Confirmados ;36;
Jabugo;Curados;18;
Jabugo;Fallecidos;0;
Linares de la Sierra;Población;263;
Linares de la Sierra;Confirmados PDIA;2;
Linares de la Sierra;Confirmados PDIA 14 días;0;
Linares de la Sierra;Tasa PDIA 14 días;0;
Linares de la Sierra;Confirmados PDIA 7 días;0;
Linares de la Sierra;Total Confirmados ;2;
Linares de la Sierra;Curados;0;
Linares de la Sierra;Fallecidos;0;
Marines (Los);Población;396;
Marines (Los);Confirmados PDIA;5;
Marines (Los);Confirmados PDIA 14 días;3;
Marines (Los);Tasa PDIA 14 días;757,5757575757576;
Marines (Los);Confirmados PDIA 7 días;3;
Marines (Los);Total Confirmados ;5;
Marines (Los);Curados;1;
Marines (Los);Fallecidos;0;
Minas de Riotinto;Población;3848;
Minas de Riotinto;Confirmados PDIA;50;
Minas de Riotinto;Confirmados PDIA 14 días;26;
Minas de Riotinto;Tasa PDIA 14 días;675,6756756756756;
Minas de Riotinto;Confirmados PDIA 7 días;19;
Minas de Riotinto;Total Confirmados ;51;
Minas de Riotinto;Curados;20;
Minas de Riotinto;Fallecidos;1;
Nava (La);Población;266;
Nava (La);Confirmados PDIA;;
Nava (La);Confirmados PDIA 14 días;;
Nava (La);Tasa PDIA 14 días;;
Nava (La);Confirmados PDIA 7 días;;
Nava (La);Total Confirmados ;;
Nava (La);Curados;;
Nava (La);Fallecidos;;
Nerva;Población;5235;
Nerva;Confirmados PDIA;70;
Nerva;Confirmados PDIA 14 días;17;
Nerva;Tasa PDIA 14 días;324,7373447946514;
Nerva;Confirmados PDIA 7 días;11;
Nerva;Total Confirmados ;70;
Nerva;Curados;22;
Nerva;Fallecidos;4;
Puerto Moral;Población;282;
Puerto Moral;Confirmados PDIA;3;
Puerto Moral;Confirmados PDIA 14 días;1;
Puerto Moral;Tasa PDIA 14 días;354,6099290780142;
Puerto Moral;Confirmados PDIA 7 días;1;
Puerto Moral;Total Confirmados ;3;
Puerto Moral;Curados;0;
Puerto Moral;Fallecidos;0;
Rosal de la Frontera;Población;1697;
Rosal de la Frontera;Confirmados PDIA;16;
Rosal de la Frontera;Confirmados PDIA 14 días;1;
Rosal de la Frontera;Tasa PDIA 14 días;58,927519151443725;
Rosal de la Frontera;Confirmados PDIA 7 días;1;
Rosal de la Frontera;Total Confirmados ;16;
Rosal de la Frontera;Curados;2;
Rosal de la Frontera;Fallecidos;0;
Santa Ana la Real;Población;476;
Santa Ana la Real;Confirmados PDIA;1;
Santa Ana la Real;Confirmados PDIA 14 días;1;
Santa Ana la Real;Tasa PDIA 14 días;210,08403361344537;
Santa Ana la Real;Confirmados PDIA 7 días;0;
Santa Ana la Real;Total Confirmados ;2;
Santa Ana la Real;Curados;0;
Santa Ana la Real;Fallecidos;0;
Valdelarco;Población;239;
Valdelarco;Confirmados PDIA;4;
Valdelarco;Confirmados PDIA 14 días;1;
Valdelarco;Tasa PDIA 14 días;418,41004184100416;
Valdelarco;Confirmados PDIA 7 días;0;
Valdelarco;Total Confirmados ;4;
Valdelarco;Curados;1;
Valdelarco;Fallecidos;1;
Valverde del Camino;Población;12820;
Valverde del Camino;Confirmados PDIA;247;
Valverde del Camino;Confirmados PDIA 14 días;92;
Valverde del Camino;Tasa PDIA 14 días;717,6287051482059;
Valverde del Camino;Confirmados PDIA 7 días;47;
Valverde del Camino;Total Confirmados ;264;
Valverde del Camino;Curados;41;
Valverde del Camino;Fallecidos;0;
Zalamea la Real;Población;3068;
Zalamea la Real;Confirmados PDIA;39;
Zalamea la Real;Confirmados PDIA 14 días;6;
Zalamea la Real;Tasa PDIA 14 días;195,5671447196871;
Zalamea la Real;Confirmados PDIA 7 días;2;
Zalamea la Real;Total Confirmados ;40;
Zalamea la Real;Curados;28;
Zalamea la Real;Fallecidos;0;
Zarza-Perrunal (La);Población;1267;
Zarza-Perrunal (La);Confirmados PDIA;12;
Zarza-Perrunal (La);Confirmados PDIA 14 días;6;
Zarza-Perrunal (La);Tasa PDIA 14 días;473,559589581689;
Zarza-Perrunal (La);Confirmados PDIA 7 días;2;
Zarza-Perrunal (La);Total Confirmados ;12;
Zarza-Perrunal (La);Curados;0;
Zarza-Perrunal (La);Fallecidos;0;
Condado-Campiña;Población;155057;
Condado-Campiña;Confirmados PDIA;2415;
Condado-Campiña;Confirmados PDIA 14 días;705;
Condado-Campiña;Tasa PDIA 14 días;454,6715078970959;
Condado-Campiña;Confirmados PDIA 7 días;389;
Condado-Campiña;Total Confirmados ;2467;
Condado-Campiña;Curados;751;
Condado-Campiña;Fallecidos;30;
Almonte;Población;24191;
Almonte;Confirmados PDIA;362;
Almonte;Confirmados PDIA 14 días;87;
Almonte;Tasa PDIA 14 días;359,63788185688895;
Almonte;Confirmados PDIA 7 días;54;
Almonte;Total Confirmados ;364;
Almonte;Curados;80;
Almonte;Fallecidos;0;
Beas;Población;4257;
Beas;Confirmados PDIA;33;
Beas;Confirmados PDIA 14 días;13;
Beas;Tasa PDIA 14 días;305,379375146817;
Beas;Confirmados PDIA 7 días;4;
Beas;Total Confirmados ;34;
Beas;Curados;9;
Beas;Fallecidos;1;
Bollullos Par del Condado;Población;14272;
Bollullos Par del Condado;Confirmados PDIA;203;
Bollullos Par del Condado;Confirmados PDIA 14 días;37;
Bollullos Par del Condado;Tasa PDIA 14 días;259,2488789237668;
Bollullos Par del Condado;Confirmados PDIA 7 días;19;
Bollullos Par del Condado;Total Confirmados ;206;
Bollullos Par del Condado;Curados;109;
Bollullos Par del Condado;Fallecidos;1;
Bonares;Población;6058;
Bonares;Confirmados PDIA;28;
Bonares;Confirmados PDIA 14 días;16;
Bonares;Tasa PDIA 14 días;264,1135688345989;
Bonares;Confirmados PDIA 7 días;7;
Bonares;Total Confirmados ;28;
Bonares;Curados;8;
Bonares;Fallecidos;0;
Escacena del Campo;Población;2284;
Escacena del Campo;Confirmados PDIA;88;
Escacena del Campo;Confirmados PDIA 14 días;10;
Escacena del Campo;Tasa PDIA 14 días;437,82837127845886;
Escacena del Campo;Confirmados PDIA 7 días;3;
Escacena del Campo;Total Confirmados ;93;
Escacena del Campo;Curados;20;
Escacena del Campo;Fallecidos;2;
Gibraleón;Población;12607;
Gibraleón;Confirmados PDIA;315;
Gibraleón;Confirmados PDIA 14 días;88;
Gibraleón;Tasa PDIA 14 días;698,0249067978108;
Gibraleón;Confirmados PDIA 7 días;22;
Gibraleón;Total Confirmados ;325;
Gibraleón;Curados;64;
Gibraleón;Fallecidos;6;
Lucena del Puerto;Población;3371;
Lucena del Puerto;Confirmados PDIA;41;
Lucena del Puerto;Confirmados PDIA 14 días;19;
Lucena del Puerto;Tasa PDIA 14 días;563,6309700385642;
Lucena del Puerto;Confirmados PDIA 7 días;14;
Lucena del Puerto;Total Confirmados ;43;
Lucena del Puerto;Curados;15;
Lucena del Puerto;Fallecidos;1;
Manzanilla;Población;2135;
Manzanilla;Confirmados PDIA;44;
Manzanilla;Confirmados PDIA 14 días;8;
Manzanilla;Tasa PDIA 14 días;374,7072599531616;
Manzanilla;Confirmados PDIA 7 días;2;
Manzanilla;Total Confirmados ;44;
Manzanilla;Curados;20;
Manzanilla;Fallecidos;0;
Moguer;Población;22088;
Moguer;Confirmados PDIA;195;
Moguer;Confirmados PDIA 14 días;94;
Moguer;Tasa PDIA 14 días;425,5704454907642;
Moguer;Confirmados PDIA 7 días;65;
Moguer;Total Confirmados ;197;
Moguer;Curados;52;
Moguer;Fallecidos;4;
Niebla;Población;4117;
Niebla;Confirmados PDIA;79;
Niebla;Confirmados PDIA 14 días;26;
Niebla;Tasa PDIA 14 días;631,5278115132378;
Niebla;Confirmados PDIA 7 días;11;
Niebla;Total Confirmados ;81;
Niebla;Curados;15;
Niebla;Fallecidos;0;
Palma del Condado (La);Población;10761;
Palma del Condado (La);Confirmados PDIA;353;
Palma del Condado (La);Confirmados PDIA 14 días;105;
Palma del Condado (La);Tasa PDIA 14 días;975,7457485363814;
Palma del Condado (La);Confirmados PDIA 7 días;57;
Palma del Condado (La);Total Confirmados ;366;
Palma del Condado (La);Curados;116;
Palma del Condado (La);Fallecidos;2;
Palos de la Frontera;Población;11289;
Palos de la Frontera;Confirmados PDIA;140;
Palos de la Frontera;Confirmados PDIA 14 días;72;
Palos de la Frontera;Tasa PDIA 14 días;637,788998139782;
Palos de la Frontera;Confirmados PDIA 7 días;53;
Palos de la Frontera;Total Confirmados ;142;
Palos de la Frontera;Curados;29;
Palos de la Frontera;Fallecidos;1;
Paterna del Campo;Población;3509;
Paterna del Campo;Confirmados PDIA;49;
Paterna del Campo;Confirmados PDIA 14 días;13;
Paterna del Campo;Tasa PDIA 14 días;370,47591906526077;
Paterna del Campo;Confirmados PDIA 7 días;6;
Paterna del Campo;Total Confirmados ;50;
Paterna del Campo;Curados;16;
Paterna del Campo;Fallecidos;1;
Rociana del Condado;Población;7855;
Rociana del Condado;Confirmados PDIA;63;
Rociana del Condado;Confirmados PDIA 14 días;29;
Rociana del Condado;Tasa PDIA 14 días;369,19159770846596;
Rociana del Condado;Confirmados PDIA 7 días;18;
Rociana del Condado;Total Confirmados ;64;
Rociana del Condado;Curados;11;
Rociana del Condado;Fallecidos;0;
San Bartolomé de la Torre;Población;3736;
San Bartolomé de la Torre;Confirmados PDIA;12;
San Bartolomé de la Torre;Confirmados PDIA 14 días;2;
San Bartolomé de la Torre;Tasa PDIA 14 días;53,53319057815846;
San Bartolomé de la Torre;Confirmados PDIA 7 días;1;
San Bartolomé de la Torre;Total Confirmados ;12;
San Bartolomé de la Torre;Curados;3;
San Bartolomé de la Torre;Fallecidos;0;
San Juan del Puerto;Población;9300;
San Juan del Puerto;Confirmados PDIA;129;
San Juan del Puerto;Confirmados PDIA 14 días;31;
San Juan del Puerto;Tasa PDIA 14 días;333,3333333333333;
San Juan del Puerto;Confirmados PDIA 7 días;22;
San Juan del Puerto;Total Confirmados ;132;
San Juan del Puerto;Curados;76;
San Juan del Puerto;Fallecidos;6;
Trigueros;Población;7713;
Trigueros;Confirmados PDIA;114;
Trigueros;Confirmados PDIA 14 días;23;
Trigueros;Tasa PDIA 14 días;298,19784778944637;
Trigueros;Confirmados PDIA 7 días;11;
Trigueros;Total Confirmados ;116;
Trigueros;Curados;37;
Trigueros;Fallecidos;5;
Villalba del Alcor;Población;3338;
Villalba del Alcor;Confirmados PDIA;81;
Villalba del Alcor;Confirmados PDIA 14 días;12;
Villalba del Alcor;Tasa PDIA 14 días;359,49670461354106;
Villalba del Alcor;Confirmados PDIA 7 días;3;
Villalba del Alcor;Total Confirmados ;82;
Villalba del Alcor;Curados;42;
Villalba del Alcor;Fallecidos;0;
Villarrasa;Población;2176;
Villarrasa;Confirmados PDIA;86;
Villarrasa;Confirmados PDIA 14 días;20;
Villarrasa;Tasa PDIA 14 días;919,1176470588235;
Villarrasa;Confirmados PDIA 7 días;17;
Villarrasa;Total Confirmados ;88;
Villarrasa;Curados;29;
Villarrasa;Fallecidos;0;
Huelva-Costa;Población;288115;
Huelva-Costa;Confirmados PDIA;4081;
Huelva-Costa;Confirmados PDIA 14 días;1481;
Huelva-Costa;Tasa PDIA 14 días;514,0308557346892;
Huelva-Costa;Confirmados PDIA 7 días;724;
