Lugar de residencia;Medida;Valor;
Jaén;Población;633564;
Jaén;Confirmados PDIA;26734;
Jaén;Confirmados PDIA 14 días;1412;
Jaén;Tasa PDIA 14 días;222,86619820570613;
Jaén;Confirmados PDIA 7 días;784;
Jaén;Total Confirmados ;27484;
Jaén;Curados;22928;
Jaén;Fallecidos;636;
Jaén Sur;Población;90904;
Jaén Sur;Confirmados PDIA;3422;
Jaén Sur;Confirmados PDIA 14 días;93;
Jaén Sur;Tasa PDIA 14 días;102,30572912083076;
Jaén Sur;Confirmados PDIA 7 días;51;
Jaén Sur;Total Confirmados ;3492;
Jaén Sur;Curados;3086;
Jaén Sur;Fallecidos;88;
Alcalá la Real;Población;21605;
Alcalá la Real;Confirmados PDIA;870;
Alcalá la Real;Confirmados PDIA 14 días;12;
Alcalá la Real;Tasa PDIA 14 días;55,542698449433004;
Alcalá la Real;Confirmados PDIA 7 días;3;
Alcalá la Real;Total Confirmados ;880;
Alcalá la Real;Curados;790;
Alcalá la Real;Fallecidos;32;
Alcaudete;Población;10498;
Alcaudete;Confirmados PDIA;345;
Alcaudete;Confirmados PDIA 14 días;10;
Alcaudete;Tasa PDIA 14 días;95,25623928367308;
Alcaudete;Confirmados PDIA 7 días;7;
Alcaudete;Total Confirmados ;348;
Alcaudete;Curados;307;
Alcaudete;Fallecidos;8;
Castillo de Locubín;Población;4058;
Castillo de Locubín;Confirmados PDIA;175;
Castillo de Locubín;Confirmados PDIA 14 días;2;
Castillo de Locubín;Tasa PDIA 14 días;49,28536224741252;
Castillo de Locubín;Confirmados PDIA 7 días;0;
Castillo de Locubín;Total Confirmados ;181;
Castillo de Locubín;Curados;158;
Castillo de Locubín;Fallecidos;6;
Frailes;Población;1575;
Frailes;Confirmados PDIA;90;
Frailes;Confirmados PDIA 14 días;0;
Frailes;Tasa PDIA 14 días;0;
Frailes;Confirmados PDIA 7 días;0;
Frailes;Total Confirmados ;91;
Frailes;Curados;90;
Frailes;Fallecidos;1;
Fuensanta de Martos;Población;3074;
Fuensanta de Martos;Confirmados PDIA;69;
Fuensanta de Martos;Confirmados PDIA 14 días;5;
Fuensanta de Martos;Tasa PDIA 14 días;162,65452179570593;
Fuensanta de Martos;Confirmados PDIA 7 días;2;
Fuensanta de Martos;Total Confirmados ;70;
Fuensanta de Martos;Curados;55;
Fuensanta de Martos;Fallecidos;2;
Higuera de Calatrava;Población;619;
Higuera de Calatrava;Confirmados PDIA;13;
Higuera de Calatrava;Confirmados PDIA 14 días;2;
Higuera de Calatrava;Tasa PDIA 14 días;323,10177705977384;
Higuera de Calatrava;Confirmados PDIA 7 días;0;
Higuera de Calatrava;Total Confirmados ;13;
Higuera de Calatrava;Curados;9;
Higuera de Calatrava;Fallecidos;0;
Lopera;Población;3665;
Lopera;Confirmados PDIA;126;
Lopera;Confirmados PDIA 14 días;4;
Lopera;Tasa PDIA 14 días;109,14051841746249;
Lopera;Confirmados PDIA 7 días;4;
Lopera;Total Confirmados ;127;
Lopera;Curados;117;
Lopera;Fallecidos;0;
Martos;Población;24215;
Martos;Confirmados PDIA;864;
Martos;Confirmados PDIA 14 días;30;
Martos;Tasa PDIA 14 días;123,89015073301672;
Martos;Confirmados PDIA 7 días;16;
Martos;Total Confirmados ;890;
Martos;Curados;772;
Martos;Fallecidos;15;
Porcuna;Población;6235;
Porcuna;Confirmados PDIA;209;
Porcuna;Confirmados PDIA 14 días;7;
Porcuna;Tasa PDIA 14 días;112,26944667201283;
Porcuna;Confirmados PDIA 7 días;2;
Porcuna;Total Confirmados ;217;
Porcuna;Curados;175;
Porcuna;Fallecidos;11;
Santiago de Calatrava;Población;699;
Santiago de Calatrava;Confirmados PDIA;2;
Santiago de Calatrava;Confirmados PDIA 14 días;0;
Santiago de Calatrava;Tasa PDIA 14 días;0;
Santiago de Calatrava;Confirmados PDIA 7 días;0;
Santiago de Calatrava;Total Confirmados ;2;
Santiago de Calatrava;Curados;1;
Santiago de Calatrava;Fallecidos;0;
Torredonjimeno;Población;13696;
Torredonjimeno;Confirmados PDIA;642;
Torredonjimeno;Confirmados PDIA 14 días;18;
Torredonjimeno;Tasa PDIA 14 días;131,42523364485982;
Torredonjimeno;Confirmados PDIA 7 días;14;
Torredonjimeno;Total Confirmados ;655;
Torredonjimeno;Curados;599;
Torredonjimeno;Fallecidos;12;
Villardompardo;Población;965;
Villardompardo;Confirmados PDIA;17;
Villardompardo;Confirmados PDIA 14 días;3;
Villardompardo;Tasa PDIA 14 días;310,88082901554407;
Villardompardo;Confirmados PDIA 7 días;3;
Villardompardo;Total Confirmados ;18;
Villardompardo;Curados;13;
Villardompardo;Fallecidos;1;
Jaén (distrito);Población;197150;
Jaén (distrito);Confirmados PDIA;9623;
Jaén (distrito);Confirmados PDIA 14 días;537;
Jaén (distrito);Tasa PDIA 14 días;272,3814354552371;
Jaén (distrito);Confirmados PDIA 7 días;302;
Jaén (distrito);Total Confirmados ;9932;
Jaén (distrito);Curados;8241;
Jaén (distrito);Fallecidos;219;
Albanchez de Mágina;Población;1024;
Albanchez de Mágina;Confirmados PDIA;11;
Albanchez de Mágina;Confirmados PDIA 14 días;2;
Albanchez de Mágina;Tasa PDIA 14 días;195,3125;
Albanchez de Mágina;Confirmados PDIA 7 días;1;
Albanchez de Mágina;Total Confirmados ;12;
Albanchez de Mágina;Curados;10;
Albanchez de Mágina;Fallecidos;0;
Bélmez de la Moraleda;Población;1567;
Bélmez de la Moraleda;Confirmados PDIA;42;
Bélmez de la Moraleda;Confirmados PDIA 14 días;0;
Bélmez de la Moraleda;Tasa PDIA 14 días;0;
Bélmez de la Moraleda;Confirmados PDIA 7 días;0;
Bélmez de la Moraleda;Total Confirmados ;44;
Bélmez de la Moraleda;Curados;43;
Bélmez de la Moraleda;Fallecidos;0;
Cabra del Santo Cristo;Población;1779;
Cabra del Santo Cristo;Confirmados PDIA;53;
Cabra del Santo Cristo;Confirmados PDIA 14 días;6;
Cabra del Santo Cristo;Tasa PDIA 14 días;337,2681281618887;
Cabra del Santo Cristo;Confirmados PDIA 7 días;2;
Cabra del Santo Cristo;Total Confirmados ;54;
Cabra del Santo Cristo;Curados;43;
Cabra del Santo Cristo;Fallecidos;1;
Cambil;Población;2703;
Cambil;Confirmados PDIA;85;
Cambil;Confirmados PDIA 14 días;5;
Cambil;Tasa PDIA 14 días;184,9796522382538;
Cambil;Confirmados PDIA 7 días;4;
Cambil;Total Confirmados ;86;
Cambil;Curados;70;
Cambil;Fallecidos;4;
Campillo de Arenas;Población;1760;
Campillo de Arenas;Confirmados PDIA;99;
Campillo de Arenas;Confirmados PDIA 14 días;30;
Campillo de Arenas;Tasa PDIA 14 días;1704,5454545454545;
Campillo de Arenas;Confirmados PDIA 7 días;23;
Campillo de Arenas;Total Confirmados ;99;
Campillo de Arenas;Curados;62;
Campillo de Arenas;Fallecidos;0;
Cárcheles;Población;1363;
Cárcheles;Confirmados PDIA;28;
Cárcheles;Confirmados PDIA 14 días;0;
Cárcheles;Tasa PDIA 14 días;0;
Cárcheles;Confirmados PDIA 7 días;0;
Cárcheles;Total Confirmados ;30;
