Lugar de residencia;Medida;Valor;
Málaga;Población;1661785;
Málaga;Confirmados PDIA;62213;
Málaga;Confirmados PDIA 14 días;16517;
Málaga;Tasa PDIA 14 días;993,9312245567266;
Málaga;Confirmados PDIA 7 días;8280;
Málaga;Total Confirmados ;64107;
Málaga;Curados;38659;
Málaga;Fallecidos;937;
Axarquía;Población;168169;
Axarquía;Confirmados PDIA;5435;
Axarquía;Confirmados PDIA 14 días;1842;
Axarquía;Tasa PDIA 14 días;1095,3267249017358;
Axarquía;Confirmados PDIA 7 días;971;
Axarquía;Total Confirmados ;5529;
Axarquía;Curados;2766;
Axarquía;Fallecidos;82;
Alcaucín;Población;2230;
Alcaucín;Confirmados PDIA;45;
Alcaucín;Confirmados PDIA 14 días;25;
Alcaucín;Tasa PDIA 14 días;1121,0762331838564;
Alcaucín;Confirmados PDIA 7 días;13;
Alcaucín;Total Confirmados ;45;
Alcaucín;Curados;8;
Alcaucín;Fallecidos;1;
Alfarnate;Población;1069;
Alfarnate;Confirmados PDIA;31;
Alfarnate;Confirmados PDIA 14 días;17;
Alfarnate;Tasa PDIA 14 días;1590,2712815715622;
Alfarnate;Confirmados PDIA 7 días;12;
Alfarnate;Total Confirmados ;31;
Alfarnate;Curados;6;
Alfarnate;Fallecidos;1;
Alfarnatejo;Población;377;
Alfarnatejo;Confirmados PDIA;16;
Alfarnatejo;Confirmados PDIA 14 días;10;
Alfarnatejo;Tasa PDIA 14 días;2652,5198938992044;
Alfarnatejo;Confirmados PDIA 7 días;9;
Alfarnatejo;Total Confirmados ;16;
Alfarnatejo;Curados;2;
Alfarnatejo;Fallecidos;1;
Algarrobo;Población;6444;
Algarrobo;Confirmados PDIA;208;
Algarrobo;Confirmados PDIA 14 días;57;
Algarrobo;Tasa PDIA 14 días;884,5437616387337;
Algarrobo;Confirmados PDIA 7 días;26;
Algarrobo;Total Confirmados ;213;
Algarrobo;Curados;103;
Algarrobo;Fallecidos;0;
Almáchar;Población;1811;
Almáchar;Confirmados PDIA;111;
Almáchar;Confirmados PDIA 14 días;16;
Almáchar;Tasa PDIA 14 días;883,489784649365;
Almáchar;Confirmados PDIA 7 días;11;
Almáchar;Total Confirmados ;111;
Almáchar;Curados;88;
Almáchar;Fallecidos;4;
Árchez;Población;385;
Árchez;Confirmados PDIA;10;
Árchez;Confirmados PDIA 14 días;2;
Árchez;Tasa PDIA 14 días;519,4805194805194;
Árchez;Confirmados PDIA 7 días;2;
Árchez;Total Confirmados ;10;
Árchez;Curados;8;
Árchez;Fallecidos;0;
Arenas;Población;1156;
Arenas;Confirmados PDIA;22;
Arenas;Confirmados PDIA 14 días;5;
Arenas;Tasa PDIA 14 días;432,52595155709344;
Arenas;Confirmados PDIA 7 días;4;
Arenas;Total Confirmados ;22;
Arenas;Curados;8;
Arenas;Fallecidos;1;
Benamargosa;Población;1514;
Benamargosa;Confirmados PDIA;23;
Benamargosa;Confirmados PDIA 14 días;8;
Benamargosa;Tasa PDIA 14 días;528,4015852047556;
Benamargosa;Confirmados PDIA 7 días;4;
Benamargosa;Total Confirmados ;24;
Benamargosa;Curados;12;
Benamargosa;Fallecidos;0;
Benamocarra;Población;3011;
Benamocarra;Confirmados PDIA;106;
