Lugar de residencia;Medida;Valor;
Sevilla;Población;1949860;
Sevilla;Confirmados PDIA;54159;
Sevilla;Confirmados PDIA 14 días;6094;
Sevilla;Tasa PDIA 14 días;312,5352589416676;
Sevilla;Confirmados PDIA 7 días;1761;
Sevilla;Total Confirmados ;55080;
Sevilla;Curados;25362;
Sevilla;Fallecidos;854;
Aljarafe;Población;388572;
Aljarafe;Confirmados PDIA;9241;
Aljarafe;Confirmados PDIA 14 días;990;
Aljarafe;Tasa PDIA 14 días;254,77903708965133;
Aljarafe;Confirmados PDIA 7 días;281;
Aljarafe;Total Confirmados ;9440;
Aljarafe;Curados;3808;
Aljarafe;Fallecidos;160;
Albaida del Aljarafe;Población;3197;
Albaida del Aljarafe;Confirmados PDIA;72;
Albaida del Aljarafe;Confirmados PDIA 14 días;3;
Albaida del Aljarafe;Tasa PDIA 14 días;93,83797309978104;
Albaida del Aljarafe;Confirmados PDIA 7 días;1;
Albaida del Aljarafe;Total Confirmados ;74;
Albaida del Aljarafe;Curados;23;
Albaida del Aljarafe;Fallecidos;2;
Almensilla;Población;6080;
Almensilla;Confirmados PDIA;72;
Almensilla;Confirmados PDIA 14 días;10;
Almensilla;Tasa PDIA 14 días;164,47368421052633;
Almensilla;Confirmados PDIA 7 días;0;
Almensilla;Total Confirmados ;75;
Almensilla;Curados;38;
Almensilla;Fallecidos;3;
Aznalcázar;Población;4586;
Aznalcázar;Confirmados PDIA;136;
Aznalcázar;Confirmados PDIA 14 días;17;
Aznalcázar;Tasa PDIA 14 días;370,6934147405146;
Aznalcázar;Confirmados PDIA 7 días;7;
Aznalcázar;Total Confirmados ;138;
Aznalcázar;Curados;56;
Aznalcázar;Fallecidos;4;
Aznalcóllar;Población;6091;
Aznalcóllar;Confirmados PDIA;69;
Aznalcóllar;Confirmados PDIA 14 días;5;
Aznalcóllar;Tasa PDIA 14 días;82,08832703989492;
Aznalcóllar;Confirmados PDIA 7 días;1;
Aznalcóllar;Total Confirmados ;70;
Aznalcóllar;Curados;25;
Aznalcóllar;Fallecidos;2;
Benacazón;Población;7241;
Benacazón;Confirmados PDIA;210;
Benacazón;Confirmados PDIA 14 días;13;
Benacazón;Tasa PDIA 14 días;179,53321364452424;
Benacazón;Confirmados PDIA 7 días;5;
Benacazón;Total Confirmados ;213;
Benacazón;Curados;69;
Benacazón;Fallecidos;2;
Bollullos de la Mitación;Población;10787;
Bollullos de la Mitación;Confirmados PDIA;176;
Bollullos de la Mitación;Confirmados PDIA 14 días;21;
Bollullos de la Mitación;Tasa PDIA 14 días;194,6787800129786;
Bollullos de la Mitación;Confirmados PDIA 7 días;8;
Bollullos de la Mitación;Total Confirmados ;181;
Bollullos de la Mitación;Curados;58;
Bollullos de la Mitación;Fallecidos;1;
Bormujos;Población;21972;
Bormujos;Confirmados PDIA;495;
Bormujos;Confirmados PDIA 14 días;54;
Bormujos;Tasa PDIA 14 días;245,76734025122883;
Bormujos;Confirmados PDIA 7 días;18;
Bormujos;Total Confirmados ;507;
Bormujos;Curados;215;
Bormujos;Fallecidos;10;
Camas;Población;27509;
Camas;Confirmados PDIA;663;
Camas;Confirmados PDIA 14 días;82;
Camas;Tasa PDIA 14 días;298,08426333200043;
Camas;Confirmados PDIA 7 días;21;
Camas;Total Confirmados ;670;
Camas;Curados;248;
Camas;Fallecidos;8;
Carrión de los Céspedes;Población;2544;
Carrión de los Céspedes;Confirmados PDIA;80;
Carrión de los Céspedes;Confirmados PDIA 14 días;11;
Carrión de los Céspedes;Tasa PDIA 14 días;432,38993710691824;
Carrión de los Céspedes;Confirmados PDIA 7 días;1;
Carrión de los Céspedes;Total Confirmados ;81;
Carrión de los Céspedes;Curados;18;
Carrión de los Céspedes;Fallecidos;0;
Castilleja de Guzmán;Población;2821;
Castilleja de Guzmán;Confirmados PDIA;84;
Castilleja de Guzmán;Confirmados PDIA 14 días;1;
Castilleja de Guzmán;Tasa PDIA 14 días;35,44842254519674;
Castilleja de Guzmán;Confirmados PDIA 7 días;0;
Castilleja de Guzmán;Total Confirmados ;85;
Castilleja de Guzmán;Curados;49;
Castilleja de Guzmán;Fallecidos;0;
Castilleja de la Cuesta;Población;17418;
Castilleja de la Cuesta;Confirmados PDIA;382;
Castilleja de la Cuesta;Confirmados PDIA 14 días;43;
Castilleja de la Cuesta;Tasa PDIA 14 días;246,8710529337467;
Castilleja de la Cuesta;Confirmados PDIA 7 días;11;
Castilleja de la Cuesta;Total Confirmados ;395;
Castilleja de la Cuesta;Curados;146;
Castilleja de la Cuesta;Fallecidos;3;
Castilleja del Campo;Población;629;
Castilleja del Campo;Confirmados PDIA;9;
Castilleja del Campo;Confirmados PDIA 14 días;0;
Castilleja del Campo;Tasa PDIA 14 días;0;
Castilleja del Campo;Confirmados PDIA 7 días;0;
Castilleja del Campo;Total Confirmados ;9;
Castilleja del Campo;Curados;1;
Castilleja del Campo;Fallecidos;0;
Chucena;Población;2222;
Chucena;Confirmados PDIA;23;
Chucena;Confirmados PDIA 14 días;4;
Chucena;Tasa PDIA 14 días;180,01800180018003;
Chucena;Confirmados PDIA 7 días;3;
