Lugar de residencia;Medida;Valor;
Andalucía;Población;8464411;
Andalucía;Confirmados PDIA;443054;
Andalucía;Tasa PDIA;5234,31577223743;
Andalucía;Confirmados PDIA 14 días;61521;
Andalucía;Tasa PDIA 14 dias;726,8196215897361;
Andalucía;Confirmados PDIA 7 días;22567;
Andalucía;Tasa PDIA 7 dias;266,6103997076702;
Andalucía;Total Confirmados ;448700;
Andalucía;Tasa total confirmados;5301,018582391616;
Andalucía;Curados;280844;
Andalucía;Fallecidos;7114;
Almería;Población;727945;
Almería;Confirmados PDIA;41000;
Almería;Tasa PDIA;5632,293648558614;
Almería;Confirmados PDIA 14 días;6899;
Almería;Tasa PDIA 14 dias;947,7364361318506;
Almería;Confirmados PDIA 7 días;2546;
Almería;Tasa PDIA 7 dias;349,75169827390806;
Almería;Total Confirmados ;41318;
Almería;Tasa total confirmados;5675,978267588898;
Almería;Curados;25780;
Almería;Fallecidos;529;
Almería (distrito);Población;306142;
Almería (distrito);Confirmados PDIA;18600;
Almería (distrito);Tasa PDIA;6075,611970915457;
Almería (distrito);Confirmados PDIA 14 días;3379;
Almería (distrito);Tasa PDIA 14 dias;1103,7361747163081;
Almería (distrito);Confirmados PDIA 7 días;1224;
Almería (distrito);Tasa PDIA 7 dias;399,81446518282365;
Almería (distrito);Total Confirmados ;18778;
Almería (distrito);Tasa total confirmados;6133,754924185509;
Almería (distrito);Curados;9714;
Almería (distrito);Fallecidos;219;
Almería (zbs);Población;201322;
Almería (zbs);Confirmados PDIA;12632;
Almería (zbs);Tasa PDIA;6274,52538719067;
Almería (zbs);Confirmados PDIA 14 días;2312;
Almería (zbs);Tasa PDIA 14 dias;1148,4090164015856;
Almería (zbs);Confirmados PDIA 7 días;859;
Almería (zbs);Tasa PDIA 7 dias;426,6796475298278;
Almería (zbs);Total Confirmados ;12786;
Almería (zbs);Tasa total confirmados;6351,0197593904295;
Almería (zbs);Curados;6929;
Almería (zbs);Fallecidos;134;
Alto Andarax;Población;10206;
Alto Andarax;Confirmados PDIA;494;
Alto Andarax;Tasa PDIA;4840,29002547521;
Alto Andarax;Confirmados PDIA 14 días;92;
Alto Andarax;Tasa PDIA 14 dias;901,4305310601607;
Alto Andarax;Confirmados PDIA 7 días;29;
Alto Andarax;Tasa PDIA 7 dias;284,14658044287677;
Alto Andarax;Total Confirmados ;500;
Alto Andarax;Tasa total confirmados;4899,078973153048;
Alto Andarax;Curados;272;
Alto Andarax;Fallecidos;22;
Bajo Andarax;Población;37427;
Bajo Andarax;Confirmados PDIA;2080;
Bajo Andarax;Tasa PDIA;5557,485237929836;
Bajo Andarax;Confirmados PDIA 14 días;416;
Bajo Andarax;Tasa PDIA 14 dias;1111,4970475859673;
Bajo Andarax;Confirmados PDIA 7 días;149;
Bajo Andarax;Tasa PDIA 7 dias;398,1083175247816;
Bajo Andarax;Total Confirmados ;2092;
Bajo Andarax;Tasa total confirmados;5589,547652764048;
Bajo Andarax;Curados;972;
Bajo Andarax;Fallecidos;21;
Carboneras;Población;8105;
Carboneras;Confirmados PDIA;667;
Carboneras;Tasa PDIA;8229,487970388649;
Carboneras;Confirmados PDIA 14 días;145;
Carboneras;Tasa PDIA 14 dias;1789,0191239975325;
Carboneras;Confirmados PDIA 7 días;44;
Carboneras;Tasa PDIA 7 dias;542,8747686613201;
Carboneras;Total Confirmados ;669;
Carboneras;Tasa total confirmados;8254,164096236891;
Carboneras;Curados;159;
Carboneras;Fallecidos;5;
Níjar;Población;31666;
Níjar;Confirmados PDIA;2049;
Níjar;Tasa PDIA;6470,662540264005;
Níjar;Confirmados PDIA 14 días;311;
Níjar;Tasa PDIA 14 dias;982,1259394934631;
Níjar;Confirmados PDIA 7 días;122;
Níjar;Tasa PDIA 7 dias;385,27126886881825;
Níjar;Total Confirmados ;2053;
Níjar;Tasa total confirmados;6483,29438514495;
Níjar;Curados;1114;
Níjar;Fallecidos;26;
Río Nacimiento;Población;6747;
Río Nacimiento;Confirmados PDIA;345;
Río Nacimiento;Tasa PDIA;5113,383726100489;
Río Nacimiento;Confirmados PDIA 14 días;61;
Río Nacimiento;Tasa PDIA 14 dias;904,105528382985;
Río Nacimiento;Confirmados PDIA 7 días;9;
Río Nacimiento;Tasa PDIA 7 dias;133,3926189417519;
Río Nacimiento;Total Confirmados ;345;
Río Nacimiento;Tasa total confirmados;5113,383726100489;
Río Nacimiento;Curados;154;
Río Nacimiento;Fallecidos;8;
Sorbas;Población;5533;
Sorbas;Confirmados PDIA;152;
Sorbas;Tasa PDIA;2747,1534429784924;
Sorbas;Confirmados PDIA 14 días;13;
Sorbas;Tasa PDIA 14 dias;234,95391288631842;
Sorbas;Confirmados PDIA 7 días;4;
Sorbas;Tasa PDIA 7 dias;72,29351165732875;
Sorbas;Total Confirmados ;152;
Sorbas;Tasa total confirmados;2747,1534429784924;
Sorbas;Curados;59;
Sorbas;Fallecidos;2;
Tabernas;Población;5136;
Tabernas;Confirmados PDIA;181;
Tabernas;Tasa PDIA;3524,143302180685;
Tabernas;Confirmados PDIA 14 días;29;
Tabernas;Tasa PDIA 14 dias;564,6417445482866;
Tabernas;Confirmados PDIA 7 días;8;
Tabernas;Tasa PDIA 7 dias;155,76323987538942;
Tabernas;Total Confirmados ;181;
Tabernas;Tasa total confirmados;3524,143302180685;
Tabernas;Curados;55;
Tabernas;Fallecidos;1;
Levante-Alto Almanzora;Población;153184;
Levante-Alto Almanzora;Confirmados PDIA;9649;
Levante-Alto Almanzora;Tasa PDIA;6298,960726968875;
Levante-Alto Almanzora;Confirmados PDIA 14 días;1804;
Levante-Alto Almanzora;Tasa PDIA 14 dias;1177,66868602465;
Levante-Alto Almanzora;Confirmados PDIA 7 días;674;
Levante-Alto Almanzora;Tasa PDIA 7 dias;439,99373302694795;
Levante-Alto Almanzora;Total Confirmados ;9697;
Levante-Alto Almanzora;Tasa total confirmados;6330,295592228953;
Levante-Alto Almanzora;Curados;6637;
Levante-Alto Almanzora;Fallecidos;150;
Albox;Población;24211;
Albox;Confirmados PDIA;1460;
Albox;Tasa PDIA;6030,316798149602;
Albox;Confirmados PDIA 14 días;214;
Albox;Tasa PDIA 14 dias;883,8957498657636;
Albox;Confirmados PDIA 7 días;67;
Albox;Tasa PDIA 7 dias;276,733716079468;
Albox;Total Confirmados ;1462;
Albox;Tasa total confirmados;6038,577506092272;
Albox;Curados;1035;
Albox;Fallecidos;26;
Cuevas de Almanzora;Población;14455;
Cuevas de Almanzora;Confirmados PDIA;948;
Cuevas de Almanzora;Tasa PDIA;6558,284330681426;
Cuevas de Almanzora;Confirmados PDIA 14 días;156;
Cuevas de Almanzora;Tasa PDIA 14 dias;1079,2113455551712;
Cuevas de Almanzora;Confirmados PDIA 7 días;61;
Cuevas de Almanzora;Tasa PDIA 7 dias;421,99930819785544;
Cuevas de Almanzora;Total Confirmados ;953;
Cuevas de Almanzora;Tasa total confirmados;6592,8744379107575;
Cuevas de Almanzora;Curados;674;
Cuevas de Almanzora;Fallecidos;12;
Huércal-Overa;Población;33720;
Huércal-Overa;Confirmados PDIA;1877;
Huércal-Overa;Tasa PDIA;5566,429418742587;
Huércal-Overa;Confirmados PDIA 14 días;292;
Huércal-Overa;Tasa PDIA 14 dias;865,9549228944246;
Huércal-Overa;Confirmados PDIA 7 días;113;
Huércal-Overa;Tasa PDIA 7 dias;335,1126927639383;
Huércal-Overa;Total Confirmados ;1889;
Huércal-Overa;Tasa total confirmados;5602,016607354686;
Huércal-Overa;Curados;1498;
Huércal-Overa;Fallecidos;18;
Los Vélez;Población;11139;
Los Vélez;Confirmados PDIA;960;
Los Vélez;Tasa PDIA;8618,367896579584;
Los Vélez;Confirmados PDIA 14 días;59;
Los Vélez;Tasa PDIA 14 dias;529,6705269772871;
Los Vélez;Confirmados PDIA 7 días;19;
Los Vélez;Tasa PDIA 7 dias;170,5718646198043;
Los Vélez;Total Confirmados ;963;
Los Vélez;Tasa total confirmados;8645,300296256397;
Los Vélez;Curados;730;
Los Vélez;Fallecidos;28;
Mármol;Población;17762;
Mármol;Confirmados PDIA;811;
Mármol;Tasa PDIA;4565,927260443644;
Mármol;Confirmados PDIA 14 días;206;
Mármol;Tasa PDIA 14 dias;1159,7793041324176;
Mármol;Confirmados PDIA 7 días;60;
Mármol;Tasa PDIA 7 dias;337,7997973201216;
Mármol;Total Confirmados ;827;
Mármol;Tasa total confirmados;4656,007206395677;
Mármol;Curados;442;
Mármol;Fallecidos;14;
Serón;Población;7621;
Serón;Confirmados PDIA;375;
Serón;Tasa PDIA;4920,614092638762;
Serón;Confirmados PDIA 14 días;122;
Serón;Tasa PDIA 14 dias;1600,8397848051436;
Serón;Confirmados PDIA 7 días;46;
Serón;Tasa PDIA 7 dias;603,5953286970214;
Serón;Total Confirmados ;379;
Serón;Tasa total confirmados;4973,100642960242;
Serón;Curados;198;
Serón;Fallecidos;9;
Vera;Población;44276;
Vera;Confirmados PDIA;3218;
Vera;Tasa PDIA;7268,045893938026;
Vera;Confirmados PDIA 14 días;755;
Vera;Tasa PDIA 14 dias;1705,2127563465535;
Vera;Confirmados PDIA 7 días;308;
Vera;Tasa PDIA 7 dias;695,6364621917066;
Vera;Total Confirmados ;3224;
Vera;Tasa total confirmados;7281,59725359111;
Vera;Curados;2060;
Vera;Fallecidos;43;
Poniente de Almería;Población;268619;
Poniente de Almería;Confirmados PDIA;12710;
Poniente de Almería;Tasa PDIA;4731,608709733861;
Poniente de Almería;Confirmados PDIA 14 días;1713;
Poniente de Almería;Tasa PDIA 14 dias;637,706193530614;
Poniente de Almería;Confirmados PDIA 7 días;648;
Poniente de Almería;Tasa PDIA 7 dias;241,23386655448797;
Poniente de Almería;Total Confirmados ;12802;
Poniente de Almería;Tasa total confirmados;4765,857962392832;
Poniente de Almería;Curados;9395;
Poniente de Almería;Fallecidos;159;
Adra;Población;25412;
Adra;Confirmados PDIA;1744;
Adra;Tasa PDIA;6862,899417597985;
Adra;Confirmados PDIA 14 días;296;
Adra;Tasa PDIA 14 dias;1164,8040295923186;
Adra;Confirmados PDIA 7 días;102;
Adra;Tasa PDIA 7 dias;401,38517235951525;
Adra;Total Confirmados ;1755;
Adra;Tasa total confirmados;6906,186053832835;
Adra;Curados;1149;
Adra;Fallecidos;23;
Berja;Población;23776;
Berja;Confirmados PDIA;776;
Berja;Tasa PDIA;3263,7954239569312;
Berja;Confirmados PDIA 14 días;142;
Berja;Tasa PDIA 14 dias;597,2409152086137;
Berja;Confirmados PDIA 7 días;48;
Berja;Tasa PDIA 7 dias;201,8842530282638;
Berja;Total Confirmados ;778;
Berja;Tasa total confirmados;3272,207267833109;
Berja;Curados;498;
Berja;Fallecidos;15;
El Ejido;Población;83758;
El Ejido;Confirmados PDIA;4433;
El Ejido;Tasa PDIA;5292,628763819575;
El Ejido;Confirmados PDIA 14 días;554;
El Ejido;Tasa PDIA 14 dias;661,4293560018148;
El Ejido;Confirmados PDIA 7 días;227;
El Ejido;Tasa PDIA 7 dias;271,01888774803604;
El Ejido;Total Confirmados ;4463;
El Ejido;Tasa total confirmados;5328,446237971298;
El Ejido;Curados;3402;
El Ejido;Fallecidos;42;
Roquetas de Mar;Población;99583;
Roquetas de Mar;Confirmados PDIA;4102;
Roquetas de Mar;Tasa PDIA;4119,176967956379;
Roquetas de Mar;Confirmados PDIA 14 días;548;
Roquetas de Mar;Tasa PDIA 14 dias;550,2947290200135;
Roquetas de Mar;Confirmados PDIA 7 días;201;
Roquetas de Mar;Tasa PDIA 7 dias;201,84167980478594;
Roquetas de Mar;Total Confirmados ;4144;
Roquetas de Mar;Tasa total confirmados;4161,352841348423;
Roquetas de Mar;Curados;3030;
Roquetas de Mar;Fallecidos;51;
Vícar;Población;36090;
Vícar;Confirmados PDIA;1655;
Vícar;Tasa PDIA;4585,757827653089;
Vícar;Confirmados PDIA 14 días;173;
Vícar;Tasa PDIA 14 dias;479,35716264893324;
Vícar;Confirmados PDIA 7 días;70;
Vícar;Tasa PDIA 7 dias;193,9595455804932;
Vícar;Total Confirmados ;1662;
Vícar;Tasa total confirmados;4605,153782211139;
Vícar;Curados;1316;
Vícar;Fallecidos;28;
Municipios de Almería sin especificar;Población;;
Municipios de Almería sin especificar;Confirmados PDIA;41;
Municipios de Almería sin especificar;Tasa PDIA;-;
Municipios de Almería sin especificar;Confirmados PDIA 14 días;3;
Municipios de Almería sin especificar;Tasa PDIA 14 dias;-;
Municipios de Almería sin especificar;Confirmados PDIA 7 días;0;
Municipios de Almería sin especificar;Tasa PDIA 7 dias;-;
Municipios de Almería sin especificar;Total Confirmados ;41;
Municipios de Almería sin especificar;Tasa total confirmados;-;
Municipios de Almería sin especificar;Curados;34;
Municipios de Almería sin especificar;Fallecidos;1;
Cádiz;Población;1244049;
Cádiz;Confirmados PDIA;64118;
Cádiz;Tasa PDIA;5153,977053958485;
Cádiz;Confirmados PDIA 14 días;11033;
Cádiz;Tasa PDIA 14 dias;886,8621734352906;
Cádiz;Confirmados PDIA 7 días;4381;
Cádiz;Tasa PDIA 7 dias;352,1565468884264;
Cádiz;Total Confirmados ;64495;
Cádiz;Tasa total confirmados;5184,281326539389;
Cádiz;Curados;34395;
Cádiz;Fallecidos;1000;
Campo de Gibraltar Oeste;Población;165038;
Campo de Gibraltar Oeste;Confirmados PDIA;8861;
Campo de Gibraltar Oeste;Tasa PDIA;5369,066518014033;
Campo de Gibraltar Oeste;Confirmados PDIA 14 días;1627;
Campo de Gibraltar Oeste;Tasa PDIA 14 dias;985,8335656030732;
Campo de Gibraltar Oeste;Confirmados PDIA 7 días;505;
Campo de Gibraltar Oeste;Tasa PDIA 7 dias;305,9901356051334;
Campo de Gibraltar Oeste;Total Confirmados ;8931;
Campo de Gibraltar Oeste;Tasa total confirmados;5411,480992256329;
Campo de Gibraltar Oeste;Curados;4799;
Campo de Gibraltar Oeste;Fallecidos;251;
Algeciras;Población;123078;
Algeciras;Confirmados PDIA;6787;
Algeciras;Tasa PDIA;5514,389249094071;
Algeciras;Confirmados PDIA 14 días;1277;
Algeciras;Tasa PDIA 14 dias;1037,5534214075628;
Algeciras;Confirmados PDIA 7 días;414;
Algeciras;Tasa PDIA 7 dias;336,3720567445035;
Algeciras;Total Confirmados ;6840;
Algeciras;Tasa total confirmados;5557,451372300493;
Algeciras;Curados;3801;
Algeciras;Fallecidos;165;
Los Barrios;Población;23777;
Los Barrios;Confirmados PDIA;1233;
Los Barrios;Tasa PDIA;5185,683643857509;
Los Barrios;Confirmados PDIA 14 días;241;
Los Barrios;Tasa PDIA 14 dias;1013,5845565041848;
Los Barrios;Confirmados PDIA 7 días;64;
Los Barrios;Tasa PDIA 7 dias;269,1676830550532;
Los Barrios;Total Confirmados ;1244;
Los Barrios;Tasa total confirmados;5231,946839382596;
Los Barrios;Curados;499;
Los Barrios;Fallecidos;62;
Tarifa;Población;18183;
Tarifa;Confirmados PDIA;841;
Tarifa;Tasa PDIA;4625,199362041468;
Tarifa;Confirmados PDIA 14 días;109;
Tarifa;Tasa PDIA 14 dias;599,4610350327229;
Tarifa;Confirmados PDIA 7 días;27;
Tarifa;Tasa PDIA 7 dias;148,4903481273717;
Tarifa;Total Confirmados ;847;
Tarifa;Tasa total confirmados;4658,197217180883;
Tarifa;Curados;499;
Tarifa;Fallecidos;24;
Campo de Gibraltar Este;Población;107766;
Campo de Gibraltar Este;Confirmados PDIA;7689;
Campo de Gibraltar Este;Tasa PDIA;7134,903401815043;
Campo de Gibraltar Este;Confirmados PDIA 14 días;938;
Campo de Gibraltar Este;Tasa PDIA 14 dias;870,4043947070505;
Campo de Gibraltar Este;Confirmados PDIA 7 días;272;
Campo de Gibraltar Este;Tasa PDIA 7 dias;252,3987157359464;
Campo de Gibraltar Este;Total Confirmados ;7713;
Campo de Gibraltar Este;Tasa total confirmados;7157,173876732921;
Campo de Gibraltar Este;Curados;3677;
Campo de Gibraltar Este;Fallecidos;111;
Jimena de la Frontera;Población;12565;
Jimena de la Frontera;Confirmados PDIA;691;
Jimena de la Frontera;Tasa PDIA;5499,403103859928;
Jimena de la Frontera;Confirmados PDIA 14 días;130;
Jimena de la Frontera;Tasa PDIA 14 dias;1034,6199761241544;
Jimena de la Frontera;Confirmados PDIA 7 días;38;
Jimena de la Frontera;Tasa PDIA 7 dias;302,4273776362913;
Jimena de la Frontera;Total Confirmados ;694;
Jimena de la Frontera;Tasa total confirmados;5523,278949462793;
Jimena de la Frontera;Curados;240;
Jimena de la Frontera;Fallecidos;4;
La Línea de la Concepción;Población;63630;
La Línea de la Concepción;Confirmados PDIA;4984;
La Línea de la Concepción;Tasa PDIA;7832,783278327833;
La Línea de la Concepción;Confirmados PDIA 14 días;488;
La Línea de la Concepción;Tasa PDIA 14 dias;766,9338362407669;
La Línea de la Concepción;Confirmados PDIA 7 días;141;
La Línea de la Concepción;Tasa PDIA 7 dias;221,59358793022162;
La Línea de la Concepción;Total Confirmados ;4998;
La Línea de la Concepción;Tasa total confirmados;7854,785478547854;
La Línea de la Concepción;Curados;2514;
La Línea de la Concepción;Fallecidos;71;
San Roque;Población;31571;
San Roque;Confirmados PDIA;2014;
San Roque;Tasa PDIA;6379,272116816065;
San Roque;Confirmados PDIA 14 días;320;
San Roque;Tasa PDIA 14 dias;1013,5884197523043;
San Roque;Confirmados PDIA 7 días;93;
San Roque;Tasa PDIA 7 dias;294,5741344905134;
San Roque;Total Confirmados ;2021;
San Roque;Tasa total confirmados;6401,444363498147;
San Roque;Curados;923;
San Roque;Fallecidos;36;
Bahía de Cádiz-La Janda;Población;513384;
Bahía de Cádiz-La Janda;Confirmados PDIA;21650;
Bahía de Cádiz-La Janda;Tasa PDIA;4217,116232683527;
Bahía de Cádiz-La Janda;Confirmados PDIA 14 días;4833;
Bahía de Cádiz-La Janda;Tasa PDIA 14 dias;941,4005890327709;
Bahía de Cádiz-La Janda;Confirmados PDIA 7 días;2230;
Bahía de Cádiz-La Janda;Tasa PDIA 7 dias;434,3727112648622;
Bahía de Cádiz-La Janda;Total Confirmados ;21807;
Bahía de Cádiz-La Janda;Tasa total confirmados;4247,697629844327;
Bahía de Cádiz-La Janda;Curados;10480;
Bahía de Cádiz-La Janda;Fallecidos;246;
Barbate;Población;22556;
Barbate;Confirmados PDIA;965;
Barbate;Tasa PDIA;4278,2408228409295;
Barbate;Confirmados PDIA 14 días;173;
Barbate;Tasa PDIA 14 dias;766,9799609859905;
Barbate;Confirmados PDIA 7 días;101;
Barbate;Tasa PDIA 7 dias;447,77442809008693;
Barbate;Total Confirmados ;966;
Barbate;Tasa total confirmados;4282,674233020039;
Barbate;Curados;637;
Barbate;Fallecidos;13;
Cádiz (zbs);Población;115439;
Cádiz (zbs);Confirmados PDIA;5094;
Cádiz (zbs);Tasa PDIA;4412,720137908333;
Cádiz (zbs);Confirmados PDIA 14 días;1057;
Cádiz (zbs);Tasa PDIA 14 dias;915,6350973241279;
Cádiz (zbs);Confirmados PDIA 7 días;429;
Cádiz (zbs);Tasa PDIA 7 dias;371,6248408250245;
Cádiz (zbs);Total Confirmados ;5153;
Cádiz (zbs);Tasa total confirmados;4463,829381751401;
Cádiz (zbs);Curados;2428;
Cádiz (zbs);Fallecidos;47;
Chiclana;Población;85150;
Chiclana;Confirmados PDIA;3487;
Chiclana;Tasa PDIA;4095,126247798003;
Chiclana;Confirmados PDIA 14 días;930;
Chiclana;Tasa PDIA 14 dias;1092,190252495596;
Chiclana;Confirmados PDIA 7 días;478;
Chiclana;Tasa PDIA 7 dias;561,362301820317;
Chiclana;Total Confirmados ;3506;
Chiclana;Tasa total confirmados;4117,439812096301;
Chiclana;Curados;1656;
Chiclana;Fallecidos;53;
Conil;Población;22775;
Conil;Confirmados PDIA;921;
Conil;Tasa PDIA;4043,90779363337;
Conil;Confirmados PDIA 14 días;208;
Conil;Tasa PDIA 14 dias;913,2821075740944;
Conil;Confirmados PDIA 7 días;103;
Conil;Tasa PDIA 7 dias;452,2502744237102;
Conil;Total Confirmados ;921;
Conil;Tasa total confirmados;4043,90779363337;
Conil;Curados;388;
Conil;Fallecidos;6;
Medina-Sidonia;Población;29438;
Medina-Sidonia;Confirmados PDIA;1016;
Medina-Sidonia;Tasa PDIA;3451,3214212922076;
Medina-Sidonia;Confirmados PDIA 14 días;305;
Medina-Sidonia;Tasa PDIA 14 dias;1036,0758203682315;
Medina-Sidonia;Confirmados PDIA 7 días;145;
Medina-Sidonia;Tasa PDIA 7 dias;492,5606359127658;
Medina-Sidonia;Total Confirmados ;1018;
Medina-Sidonia;Tasa total confirmados;3458,115361097901;
Medina-Sidonia;Curados;414;
Medina-Sidonia;Fallecidos;10;
Puerto de Santa María;Población;88703;
Puerto de Santa María;Confirmados PDIA;2976;
Puerto de Santa María;Tasa PDIA;3355,016177581367;
Puerto de Santa María;Confirmados PDIA 14 días;501;
Puerto de Santa María;Tasa PDIA 14 dias;564,8061508629922;
Puerto de Santa María;Confirmados PDIA 7 días;269;
Puerto de Santa María;Tasa PDIA 7 dias;303,2591907827244;
Puerto de Santa María;Total Confirmados ;2999;
Puerto de Santa María;Tasa total confirmados;3380,945402072083;
Puerto de Santa María;Curados;1927;
Puerto de Santa María;Fallecidos;35;
Puerto Real;Población;41700;
Puerto Real;Confirmados PDIA;1618;
Puerto Real;Tasa PDIA;3880,095923261391;
Puerto Real;Confirmados PDIA 14 días;398;
Puerto Real;Tasa PDIA 14 dias;954,4364508393286;
Puerto Real;Confirmados PDIA 7 días;177;
Puerto Real;Tasa PDIA 7 dias;424,46043165467626;
Puerto Real;Total Confirmados ;1626;
Puerto Real;Tasa total confirmados;3899,2805755395684;
Puerto Real;Curados;694;
Puerto Real;Fallecidos;15;
San Fernando;Población;95001;
San Fernando;Confirmados PDIA;5029;
San Fernando;Tasa PDIA;5293,628488121178;
San Fernando;Confirmados PDIA 14 días;1133;
San Fernando;Tasa PDIA 14 dias;1192,619025062894;
San Fernando;Confirmados PDIA 7 días;481;
San Fernando;Tasa PDIA 7 dias;506,31045988989587;
San Fernando;Total Confirmados ;5073;
San Fernando;Tasa total confirmados;5339,9437900653675;
San Fernando;Curados;2109;
San Fernando;Fallecidos;64;
Vejer de la Frontera;Población;12622;
Vejer de la Frontera;Confirmados PDIA;544;
Vejer de la Frontera;Tasa PDIA;4309,935034067501;
Vejer de la Frontera;Confirmados PDIA 14 días;128;
Vejer de la Frontera;Tasa PDIA 14 dias;1014,1023609570591;
Vejer de la Frontera;Confirmados PDIA 7 días;47;
Vejer de la Frontera;Tasa PDIA 7 dias;372,36571066392014;
Vejer de la Frontera;Total Confirmados ;545;
Vejer de la Frontera;Tasa total confirmados;4317,857708762478;
Vejer de la Frontera;Curados;227;
Vejer de la Frontera;Fallecidos;3;
Jerez-Costa Noroeste;Población;342287;
Jerez-Costa Noroeste;Confirmados PDIA;18393;
Jerez-Costa Noroeste;Tasa PDIA;5373,5607837867055;
Jerez-Costa Noroeste;Confirmados PDIA 14 días;2618;
Jerez-Costa Noroeste;Tasa PDIA 14 dias;764,8552238326316;
Jerez-Costa Noroeste;Confirmados PDIA 7 días;959;
Jerez-Costa Noroeste;Tasa PDIA 7 dias;280,17423974617793;
Jerez-Costa Noroeste;Total Confirmados ;18465;
Jerez-Costa Noroeste;Tasa total confirmados;5394,595763204562;
Jerez-Costa Noroeste;Curados;10491;
Jerez-Costa Noroeste;Fallecidos;258;
Chipiona;Población;19246;
Chipiona;Confirmados PDIA;670;
Chipiona;Tasa PDIA;3481,242855658319;
Chipiona;Confirmados PDIA 14 días;86;
Chipiona;Tasa PDIA 14 dias;446,8460978904708;
Chipiona;Confirmados PDIA 7 días;26;
Chipiona;Tasa PDIA 7 dias;135,09300633897954;
Chipiona;Total Confirmados ;675;
Chipiona;Tasa total confirmados;3507,2222799542765;
Chipiona;Curados;336;
Chipiona;Fallecidos;6;
Jerez;Población;217538;
Jerez;Confirmados PDIA;12769;
Jerez;Tasa PDIA;5869,779073081485;
Jerez;Confirmados PDIA 14 días;1704;
Jerez;Tasa PDIA 14 dias;783,3114214528036;
Jerez;Confirmados PDIA 7 días;615;
Jerez;Tasa PDIA 7 dias;282,7092278130717;
Jerez;Total Confirmados ;12820;
Jerez;Tasa total confirmados;5893,22325294891;
Jerez;Curados;7528;
Jerez;Fallecidos;221;
Rota;Población;29282;
Rota;Confirmados PDIA;938;
Rota;Tasa PDIA;3203,333105662182;
Rota;Confirmados PDIA 14 días;224;
Rota;Tasa PDIA 14 dias;764,9750700088792;
Rota;Confirmados PDIA 7 días;100;
Rota;Tasa PDIA 7 dias;341,5067276825353;
Rota;Total Confirmados ;942;
Rota;Tasa total confirmados;3216,9933747694827;
Rota;Curados;324;
Rota;Fallecidos;5;
Sanlúcar de Barrameda;Población;76221;
Sanlúcar de Barrameda;Confirmados PDIA;4016;
Sanlúcar de Barrameda;Tasa PDIA;5268,889151283767;
Sanlúcar de Barrameda;Confirmados PDIA 14 días;604;
Sanlúcar de Barrameda;Tasa PDIA 14 dias;792,4325317169809;
Sanlúcar de Barrameda;Confirmados PDIA 7 días;218;
Sanlúcar de Barrameda;Tasa PDIA 7 dias;286,01041707665865;
Sanlúcar de Barrameda;Total Confirmados ;4028;
Sanlúcar de Barrameda;Tasa total confirmados;5284,632843966885;
Sanlúcar de Barrameda;Curados;2303;
Sanlúcar de Barrameda;Fallecidos;26;
Sierra de Cádiz;Población;115574;
Sierra de Cádiz;Confirmados PDIA;5892;
Sierra de Cádiz;Tasa PDIA;5098,032429439147;
Sierra de Cádiz;Confirmados PDIA 14 días;964;
Sierra de Cádiz;Tasa PDIA 14 dias;834,0976344160451;
Sierra de Cádiz;Confirmados PDIA 7 días;400;
Sierra de Cádiz;Tasa PDIA 7 dias;346,0986034921349;
Sierra de Cádiz;Total Confirmados ;5940;
Sierra de Cádiz;Tasa total confirmados;5139,564261858203;
Sierra de Cádiz;Curados;3595;
Sierra de Cádiz;Fallecidos;105;
Alcalá del Valle;Población;7784;
Alcalá del Valle;Confirmados PDIA;576;
Alcalá del Valle;Tasa PDIA;7399,794450154162;
Alcalá del Valle;Confirmados PDIA 14 días;65;
Alcalá del Valle;Tasa PDIA 14 dias;835,0462487153135;
Alcalá del Valle;Confirmados PDIA 7 días;17;
Alcalá del Valle;Tasa PDIA 7 dias;218,39671120246658;
Alcalá del Valle;Total Confirmados ;586;
Alcalá del Valle;Tasa total confirmados;7528,263103802672;
Alcalá del Valle;Curados;386;
Alcalá del Valle;Fallecidos;26;
Arcos de la Frontera;Población;36115;
Arcos de la Frontera;Confirmados PDIA;2242;
Arcos de la Frontera;Tasa PDIA;6207,946836494531;
Arcos de la Frontera;Confirmados PDIA 14 días;313;
Arcos de la Frontera;Tasa PDIA 14 dias;866,6758964419216;
Arcos de la Frontera;Confirmados PDIA 7 días;127;
Arcos de la Frontera;Tasa PDIA 7 dias;351,6544372144538;
Arcos de la Frontera;Total Confirmados ;2250;
Arcos de la Frontera;Tasa total confirmados;6230,098297106466;
Arcos de la Frontera;Curados;1359;
Arcos de la Frontera;Fallecidos;36;
Olvera;Población;17472;
Olvera;Confirmados PDIA;766;
Olvera;Tasa PDIA;4384,157509157509;
Olvera;Confirmados PDIA 14 días;231;
