Lugar de residencia;Edad;Medida;Valor;
Andalucía;TOTAL;Nº personas;7226914;
Andalucía;TOTAL;% Personas;85,2994196336413;
Andalucía;De 80 y más años;Nº personas;484435;
Andalucía;De 80 y más años;% Personas;114,81216390124592;
Andalucía;De 70 a 79 años;Nº personas;697053;
Andalucía;De 70 a 79 años;% Personas;107,3967136331071;
Andalucía;De 60 a 69 años;Nº personas;979088;
Andalucía;De 60 a 69 años;% Personas;102,60374202770366;
Andalucía;De 50 a 59 años;Nº personas;1251377;
Andalucía;De 50 a 59 años;% Personas;97,5515011857005;
Andalucía;De 40 a 49 años;Nº personas;1265774;
Andalucía;De 40 a 49 años;% Personas;91,32278628961274;
Andalucía;De 30 a 39 años;Nº personas;940798;
Andalucía;De 30 a 39 años;% Personas;84,77582297963141;
Andalucía;De 20 a 29 años;Nº personas;806741;
Andalucía;De 20 a 29 años;% Personas;87,3704320214175;
Andalucía;De 12 a 19 años;Nº personas;672206;
Andalucía;De 12 a 19 años;% Personas;87,74412673052272;
Andalucía;De 5 a 11 años;Nº personas;129387;
Andalucía;De 5 a 11 años;% Personas;20,846544990526276;
Almería;TOTAL;Nº personas;623095;
Almería;TOTAL;% Personas;85,14646238275357;
Almería;De 80 y más años;Nº personas;34215;
Almería;De 80 y más años;% Personas;115,7084883327697;
Almería;De 70 a 79 años;Nº personas;53378;
Almería;De 70 a 79 años;% Personas;111,07457965706675;
Almería;De 60 a 69 años;Nº personas;77762;
Almería;De 60 a 69 años;% Personas;102,39926257571767;
Almería;De 50 a 59 años;Nº personas;101629;
Almería;De 50 a 59 años;% Personas;98,6727639908346;
Almería;De 40 a 49 años;Nº personas;116986;
Almería;De 40 a 49 años;% Personas;95,2065496923728;
Almería;De 30 a 39 años;Nº personas;94776;
Almería;De 30 a 39 años;% Personas;89,01913268900222;
Almería;De 20 a 29 años;Nº personas;75375;
Almería;De 20 a 29 años;% Personas;88,66395332423657;
Almería;De 12 a 19 años;Nº personas;56803;
Almería;De 12 a 19 años;% Personas;86,54903932592829;
Almería;De 5 a 11 años;Nº personas;12168;
Almería;De 5 a 11 años;% Personas;20,951495428482875;
Abla;TOTAL;Nº personas;1169;
Abla;TOTAL;% Personas;92,92527821939586;
Abla;De 80 y más años;Nº personas;190;
Abla;De 80 y más años;% Personas;118,01242236024845;
Abla;De 70 a 79 años;Nº personas;150;
Abla;De 70 a 79 años;% Personas;123,96694214876032;
Abla;De 60 a 69 años;Nº personas;158;
Abla;De 60 a 69 años;% Personas;89,77272727272727;
Abla;De 50 a 59 años;Nº personas;160;
Abla;De 50 a 59 años;% Personas;85,1063829787234;
Abla;De 40 a 49 años;Nº personas;162;
Abla;De 40 a 49 años;% Personas;98,18181818181819;
Abla;De 30 a 39 años;Nº personas;125;
Abla;De 30 a 39 años;% Personas;91,91176470588235;
Abla;De 20 a 29 años;Nº personas;135;
Abla;De 20 a 29 años;% Personas;95,07042253521126;
Abla;De 12 a 19 años;Nº personas;71;
Abla;De 12 a 19 años;% Personas;100;
Abla;De 5 a 11 años;Nº personas;18;
Abla;De 5 a 11 años;% Personas;30;
Abrucena;TOTAL;Nº personas;902;
Abrucena;TOTAL;% Personas;74,66887417218543;
Abrucena;De 80 y más años;Nº personas;115;
Abrucena;De 80 y más años;% Personas;96,63865546218487;
Abrucena;De 70 a 79 años;Nº personas;133;
Abrucena;De 70 a 79 años;% Personas;108,130081300813;
Abrucena;De 60 a 69 años;Nº personas;166;
Abrucena;De 60 a 69 años;% Personas;85,56701030927834;
Abrucena;De 50 a 59 años;Nº personas;147;
Abrucena;De 50 a 59 años;% Personas;72,77227722772277;
Abrucena;De 40 a 49 años;Nº personas;121;
Abrucena;De 40 a 49 años;% Personas;78,06451612903226;
Abrucena;De 30 a 39 años;Nº personas;87;
Abrucena;De 30 a 39 años;% Personas;64,92537313432835;
Abrucena;De 20 a 29 años;Nº personas;86;
Abrucena;De 20 a 29 años;% Personas;60,99290780141844;
Abrucena;De 12 a 19 años;Nº personas;35;
Abrucena;De 12 a 19 años;% Personas;54,6875;
Abrucena;De 5 a 11 años;Nº personas;12;
Abrucena;De 5 a 11 años;% Personas;26,666666666666668;
Adra;TOTAL;Nº personas;21330;
Adra;TOTAL;% Personas;83,64377867534607;
Adra;De 80 y más años;Nº personas;1092;
Adra;De 80 y más años;% Personas;113,27800829875518;
Adra;De 70 a 79 años;Nº personas;1722;
Adra;De 70 a 79 años;% Personas;106,75759454432735;
Adra;De 60 a 69 años;Nº personas;2747;
Adra;De 60 a 69 años;% Personas;104,44866920152091;
Adra;De 50 a 59 años;Nº personas;3421;
Adra;De 50 a 59 años;% Personas;96,88473520249221;
Adra;De 40 a 49 años;Nº personas;3955;
Adra;De 40 a 49 años;% Personas;94,86687455025186;
Adra;De 30 a 39 años;Nº personas;3312;
Adra;De 30 a 39 años;% Personas;84,25337064360214;
Adra;De 20 a 29 años;Nº personas;2695;
Adra;De 20 a 29 años;% Personas;84,88188976377953;
Adra;De 12 a 19 años;Nº personas;1967;
Adra;De 12 a 19 años;% Personas;87,11248892825509;
Adra;De 5 a 11 años;Nº personas;419;
Adra;De 5 a 11 años;% Personas;21,65374677002584;
Albanchez;TOTAL;Nº personas;548;
Albanchez;TOTAL;% Personas;75,48209366391184;
Albanchez;De 80 y más años;Nº personas;76;
Albanchez;De 80 y más años;% Personas;90,47619047619048;
Albanchez;De 70 a 79 años;Nº personas;122;
Albanchez;De 70 a 79 años;% Personas;82,43243243243244;
Albanchez;De 60 a 69 años;Nº personas;86;
Albanchez;De 60 a 69 años;% Personas;78,18181818181819;
