Lugar de residencia;Medida;Valor;
Cádiz;Población;1240155;
Cádiz;Confirmados;1244;
Cádiz;Defunciones;102;
Campo de Gibraltar;Población;270879;
Campo de Gibraltar;Confirmados;232;
Campo de Gibraltar;Defunciones;27;
Algeciras;Población;121957;
Algeciras;Confirmados;145;
Algeciras;Defunciones;16;
Castellar de la Frontera;Población;3049;
Castellar de la Frontera;Confirmados;;
Castellar de la Frontera;Defunciones;;
Jimena de la Frontera;Población;6951;
Jimena de la Frontera;Confirmados;6;
Jimena de la Frontera;Defunciones;1;
San Martín del Tesorillo;Población;2753;
San Martín del Tesorillo;Confirmados;;
San Martín del Tesorillo;Defunciones;;
Línea de la Concepción (La);Población;63147;
Línea de la Concepción (La);Confirmados;26;
Línea de la Concepción (La);Defunciones;1;
Barrios (Los);Población;23642;
Barrios (Los);Confirmados;22;
Barrios (Los);Defunciones;4;
San Roque;Población;31218;
San Roque;Confirmados;16;
San Roque;Defunciones;1;
Tarifa;Población;18162;
Tarifa;Confirmados;17;
Tarifa;Defunciones;4;
Bahía de Cádiz-La Janda;Población;512524;
Bahía de Cádiz-La Janda;Confirmados;518;
Bahía de Cádiz-La Janda;Defunciones;25;
Barbate;Población;22518;
Barbate;Confirmados;4;
Barbate;Defunciones;;
Cádiz (capital);Población;116027;
Cádiz (capital);Confirmados;158;
Cádiz (capital);Defunciones;5;
Chiclana de la Frontera;Población;84489;
Chiclana de la Frontera;Confirmados;48;
Chiclana de la Frontera;Defunciones;6;
Conil de la Frontera;Población;22529;
Conil de la Frontera;Confirmados;6;
Conil de la Frontera;Defunciones;2;
Alcalá de los Gazules;Población;5219;
Alcalá de los Gazules;Confirmados;8;
Alcalá de los Gazules;Defunciones;;
Benalup-Casas Viejas;Población;6929;
Benalup-Casas Viejas;Confirmados;1;
Benalup-Casas Viejas;Defunciones;;
Medina Sidonia;Población;11708;
Medina Sidonia;Confirmados;3;
Medina Sidonia;Defunciones;;
Paterna de Rivera;Población;5470;
Paterna de Rivera;Confirmados;1;
Paterna de Rivera;Defunciones;;
Puerto de Santa María (El);Población;88405;
Puerto de Santa María (El);Confirmados;55;
Puerto de Santa María (El);Defunciones;1;
Puerto Real;Población;41627;
Puerto Real;Confirmados;43;
Puerto Real;Defunciones;2;
San Fernando;Población;94979;
San Fernando;Confirmados;189;
San Fernando;Defunciones;9;
Vejer de la Frontera;Población;12624;
Vejer de la Frontera;Confirmados;2;
Vejer de la Frontera;Defunciones;;
Jerez-Costa Noroeste;Población;341111;
Jerez-Costa Noroeste;Confirmados;337;
Jerez-Costa Noroeste;Defunciones;33;
Chipiona;Población;19123;
Chipiona;Confirmados;12;
Chipiona;Defunciones;;
Jerez de la Frontera;Población;212749;
Jerez de la Frontera;Confirmados;244;
Jerez de la Frontera;Defunciones;30;
San José del Valle;Población;4418;
San José del Valle;Confirmados;3;
San José del Valle;Defunciones;;
Rota;Población;29109;
Rota;Confirmados;26;
Rota;Defunciones;3;
Sanlúcar de Barrameda;Población;68684;
Sanlúcar de Barrameda;Confirmados;32;
Sanlúcar de Barrameda;Defunciones;;
Trebujena;Población;7028;
Trebujena;Confirmados;20;
Trebujena;Defunciones;;
Sierra de Cádiz;Población;115641;
Sierra de Cádiz;Confirmados;157;
Sierra de Cádiz;Defunciones;17;
Alcalá del Valle;Población;5046;
Alcalá del Valle;Confirmados;64;
Alcalá del Valle;Defunciones;11;
Setenil de las Bodegas;Población;2769;
Setenil de las Bodegas;Confirmados;4;
Setenil de las Bodegas;Defunciones;;
Algar;Población;1413;
Algar;Confirmados;2;
Algar;Defunciones;;
Arcos de la Frontera;Población;30700;
Arcos de la Frontera;Confirmados;10;
Arcos de la Frontera;Defunciones;2;
Espera;Población;3860;
Espera;Confirmados;;
Espera;Defunciones;;
Algodonales;Población;5550;
Algodonales;Confirmados;2;
Algodonales;Defunciones;1;
Gastor (El);Población;1752;
Gastor (El);Confirmados;1;
Gastor (El);Defunciones;;
Olvera;Población;8113;
Olvera;Confirmados;3;
Olvera;Defunciones;1;
Torre Alháquime;Población;790;
Torre Alháquime;Confirmados;;
Torre Alháquime;Defunciones;;
Zahara;Población;1387;
Zahara;Confirmados;;
Zahara;Defunciones;;
Benaocaz;Población;671;
Benaocaz;Confirmados;1;
Benaocaz;Defunciones;;
Grazalema;Población;2027;
Grazalema;Confirmados;1;
Grazalema;Defunciones;;
Ubrique;Población;16597;
Ubrique;Confirmados;48;
Ubrique;Defunciones;1;
Villaluenga del Rosario;Población;455;
Villaluenga del Rosario;Confirmados;2;
Villaluenga del Rosario;Defunciones;;
Bornos;Población;7670;
Bornos;Confirmados;4;
Bornos;Defunciones;;
Bosque (El);Población;2145;
Bosque (El);Confirmados;;
Bosque (El);Defunciones;;
Prado del Rey;Población;5605;
Prado del Rey;Confirmados;5;
Prado del Rey;Defunciones;1;
Puerto Serrano;Población;6941;
Puerto Serrano;Confirmados;;
Puerto Serrano;Defunciones;;
Villamartín;Población;12150;
Villamartín;Confirmados;10;
Villamartín;Defunciones;;

          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
          
               
                    
               
               
               
               
          
     
