Lugar de residencia;Medida;Valor;
Huelva;Población;510743;
Huelva;Confirmados;417;
Huelva;Defunciones;40;
Sierra de Huelva-Andévalo Central;Población;67571;
Sierra de Huelva-Andévalo Central;Confirmados;111;
Sierra de Huelva-Andévalo Central;Defunciones;12;
Alájar;Población;756;
Alájar;Confirmados;;
Alájar;Defunciones;;
Aracena;Población;8107;
Aracena;Confirmados;51;
Aracena;Defunciones;8;
Castaño del Robledo;Población;223;
Castaño del Robledo;Confirmados;;
Castaño del Robledo;Defunciones;;
Corteconcepción;Población;548;
Corteconcepción;Confirmados;1;
Corteconcepción;Defunciones;;
Cortelazor;Población;299;
Cortelazor;Confirmados;;
Cortelazor;Defunciones;;
Fuenteheridos;Población;678;
Fuenteheridos;Confirmados;1;
Fuenteheridos;Defunciones;;
Galaroza;Población;1379;
Galaroza;Confirmados;;
Galaroza;Defunciones;;
Higuera de la Sierra;Población;1287;
Higuera de la Sierra;Confirmados;;
Higuera de la Sierra;Defunciones;;
Linares de la Sierra;Población;263;
Linares de la Sierra;Confirmados;;
Linares de la Sierra;Defunciones;;
Marines (Los);Población;396;
Marines (Los);Confirmados;;
Marines (Los);Defunciones;;
Puerto Moral;Población;282;
Puerto Moral;Confirmados;;
Puerto Moral;Defunciones;;
Santa Ana la Real;Población;476;
Santa Ana la Real;Confirmados;;
Santa Ana la Real;Defunciones;;
Valdelarco;Población;239;
Valdelarco;Confirmados;1;
Valdelarco;Defunciones;;
Calañas;Población;2791;
Calañas;Confirmados;1;
Calañas;Defunciones;;
Cerro de Andévalo (El);Población;2364;
Cerro de Andévalo (El);Confirmados;;
Cerro de Andévalo (El);Defunciones;;
Zarza-Perrunal (La);Población;1267;
Zarza-Perrunal (La);Confirmados;;
Zarza-Perrunal (La);Defunciones;;
Almonaster la Real;Población;1819;
Almonaster la Real;Confirmados;1;
Almonaster la Real;Defunciones;1;
Aroche;Población;3073;
Aroche;Confirmados;1;
Aroche;Defunciones;;
Cortegana;Población;4666;
Cortegana;Confirmados;3;
Cortegana;Defunciones;;
Jabugo;Población;2250;
Jabugo;Confirmados;;
Jabugo;Defunciones;;
Nava (La);Población;266;
Nava (La);Confirmados;;
Nava (La);Defunciones;;
Rosal de la Frontera;Población;1697;
Rosal de la Frontera;Confirmados;2;
Rosal de la Frontera;Defunciones;;
Cañaveral de León;Población;403;
Cañaveral de León;Confirmados;;
Cañaveral de León;Defunciones;;
Cumbres de Enmedio;Población;56;
Cumbres de Enmedio;Confirmados;;
Cumbres de Enmedio;Defunciones;;
Cumbres de San Bartolomé;Población;381;
Cumbres de San Bartolomé;Confirmados;1;
Cumbres de San Bartolomé;Defunciones;;
Cumbres Mayores;Población;1755;
Cumbres Mayores;Confirmados;2;
Cumbres Mayores;Defunciones;;
Encinasola;Población;1305;
Encinasola;Confirmados;;
Encinasola;Defunciones;;
Hinojales;Población;325;
Hinojales;Confirmados;;
Hinojales;Defunciones;;
Berrocal;Población;312;
Berrocal;Confirmados;;
Berrocal;Defunciones;;
Campillo (El);Población;2023;
Campillo (El);Confirmados;1;
Campillo (El);Defunciones;;
Campofrío;Población;675;
Campofrío;Confirmados;2;
Campofrío;Defunciones;;
Granada de Río-Tinto (La);Población;239;
Granada de Río-Tinto (La);Confirmados;;
Granada de Río-Tinto (La);Defunciones;;
Minas de Riotinto;Población;3848;
Minas de Riotinto;Confirmados;5;
Minas de Riotinto;Defunciones;1;
Nerva;Población;5235;
Nerva;Confirmados;11;
Nerva;Defunciones;2;
Zalamea la Real;Población;3068;
Zalamea la Real;Confirmados;9;
Zalamea la Real;Defunciones;;
Valverde del Camino;Población;12820;
Valverde del Camino;Confirmados;18;
Valverde del Camino;Defunciones;;
Condado-Campiña;Población;155057;
Condado-Campiña;Confirmados;88;
Condado-Campiña;Defunciones;10;
Almonte;Población;24191;
Almonte;Confirmados;9;
Almonte;Defunciones;;
Bollullos Par del Condado;Población;14272;
Bollullos Par del Condado;Confirmados;6;
Bollullos Par del Condado;Defunciones;;
Beas;Población;4257;
Beas;Confirmados;3;
Beas;Defunciones;;
Lucena del Puerto;Población;3371;
Lucena del Puerto;Confirmados;3;
Lucena del Puerto;Defunciones;1;
San Juan del Puerto;Población;9300;
San Juan del Puerto;Confirmados;13;
San Juan del Puerto;Defunciones;;
Trigueros;Población;7713;
Trigueros;Confirmados;14;
Trigueros;Defunciones;3;
Moguer;Población;22088;
Moguer;Confirmados;7;
Moguer;Defunciones;2;
Palos de la Frontera;Población;11289;
Palos de la Frontera;Confirmados;3;
Palos de la Frontera;Defunciones;1;
