Fecha;Edad;Medida;Valor;
10/03/2022;De 80 y más;Cobertura Pauta completa;114,8;
10/03/2022;De 70 a 79 años;Cobertura Pauta completa;107,4;
10/03/2022;De 60 a 69 años;Cobertura Pauta completa;102,6;
10/03/2022;De 50 a 59 años;Cobertura Pauta completa;97,6;
10/03/2022;De 40 a 49 años;Cobertura Pauta completa;91,4;
10/03/2022;De 30 a 39 años;Cobertura Pauta completa;84,9;
10/03/2022;De 20 a 29 años;Cobertura Pauta completa;87,6;
10/03/2022;De 12 a 19 años;Cobertura Pauta completa;88,3;
10/03/2022;De 5 a 11 años;Cobertura Pauta completa;30,3;
09/03/2022;De 80 y más;Cobertura Pauta completa;114,8;
09/03/2022;De 70 a 79 años;Cobertura Pauta completa;107,4;
09/03/2022;De 60 a 69 años;Cobertura Pauta completa;102,6;
09/03/2022;De 50 a 59 años;Cobertura Pauta completa;97,6;
09/03/2022;De 40 a 49 años;Cobertura Pauta completa;91,4;
09/03/2022;De 30 a 39 años;Cobertura Pauta completa;84,9;
09/03/2022;De 20 a 29 años;Cobertura Pauta completa;87,5;
09/03/2022;De 12 a 19 años;Cobertura Pauta completa;88,3;
09/03/2022;De 5 a 11 años;Cobertura Pauta completa;28,4;
08/03/2022;De 80 y más;Cobertura Pauta completa;114,8;
08/03/2022;De 70 a 79 años;Cobertura Pauta completa;107,4;
08/03/2022;De 60 a 69 años;Cobertura Pauta completa;102,6;
08/03/2022;De 50 a 59 años;Cobertura Pauta completa;97,6;
08/03/2022;De 40 a 49 años;Cobertura Pauta completa;91,4;
08/03/2022;De 30 a 39 años;Cobertura Pauta completa;84,9;
08/03/2022;De 20 a 29 años;Cobertura Pauta completa;87,5;
08/03/2022;De 12 a 19 años;Cobertura Pauta completa;88,2;
08/03/2022;De 5 a 11 años;Cobertura Pauta completa;26,6;
07/03/2022;De 80 y más;Cobertura Pauta completa;114,8;
07/03/2022;De 70 a 79 años;Cobertura Pauta completa;107,4;
07/03/2022;De 60 a 69 años;Cobertura Pauta completa;102,6;
07/03/2022;De 50 a 59 años;Cobertura Pauta completa;97,6;
07/03/2022;De 40 a 49 años;Cobertura Pauta completa;91,4;
07/03/2022;De 30 a 39 años;Cobertura Pauta completa;84,9;
07/03/2022;De 20 a 29 años;Cobertura Pauta completa;87,5;
07/03/2022;De 12 a 19 años;Cobertura Pauta completa;88,1;
07/03/2022;De 5 a 11 años;Cobertura Pauta completa;25,1;
04/03/2022;De 80 y más;Cobertura Pauta completa;114,8;
04/03/2022;De 70 a 79 años;Cobertura Pauta completa;107,4;
04/03/2022;De 60 a 69 años;Cobertura Pauta completa;102,6;
04/03/2022;De 50 a 59 años;Cobertura Pauta completa;97,6;
04/03/2022;De 40 a 49 años;Cobertura Pauta completa;91,4;
04/03/2022;De 30 a 39 años;Cobertura Pauta completa;84,8;
04/03/2022;De 20 a 29 años;Cobertura Pauta completa;87,5;
04/03/2022;De 12 a 19 años;Cobertura Pauta completa;88;
04/03/2022;De 5 a 11 años;Cobertura Pauta completa;22,1;
03/03/2022;De 80 y más;Cobertura Pauta completa;114,8;
03/03/2022;De 70 a 79 años;Cobertura Pauta completa;107,4;
